Date,Open,High,Low,Close,Volume
2022-01-03,269311,277502,266421,274612,33748
2022-01-04,275574,277019,267866,267867,29985
2022-01-05,267867,267867,261603,262568,26582
2022-01-06,262086,262086,250523,251969,40161
2022-01-07,251969,257268,251487,254378,17046
2022-01-10,254377,260158,250523,252932,19350
2022-01-11,253896,259677,253414,254378,19113
2022-01-12,254858,260157,253895,259677,22983
2022-01-13,259676,261121,256304,258232,25198
2022-01-14,258231,258713,252932,254378,22479
2022-01-17,254377,255822,245704,247151,27664
2022-01-18,247630,250039,242813,245705,23597
2022-01-19,242333,247150,242333,242333,20485
2022-01-20,243777,249077,240887,249078,19828
2022-01-21,258230,267866,249076,250041,89361
2022-01-24,249558,252449,244741,246669,25383
2022-01-25,245704,247631,235587,237997,46653
2022-01-26,237995,241850,235105,235106,22920
2022-01-27,235105,237995,224024,224507,46368
2022-01-28,224506,237996,224506,237997,42551
2022-02-03,242813,247630,240886,245705,31156
2022-02-04,245704,249076,244259,246669,22123
2022-02-07,247150,247632,239924,243297,17851
2022-02-08,247150,252932,243778,251969,37672
2022-02-09,254859,255340,248595,251487,19234
2022-02-10,249077,255340,249077,251005,20296
2022-02-11,248594,250522,244740,249559,15235
2022-02-14,248112,249557,242813,245705,18746
2022-02-15,245705,246187,240888,241852,17743
2022-02-16,243295,252449,243295,250041,18607
2022-02-17,251967,252931,244258,247632,18846
2022-02-18,244259,252450,244259,251005,13331
2022-02-21,246668,255340,246668,253414,15610
2022-02-22,250522,252449,246185,249559,20869
2022-02-23,252450,254377,247632,251487,14355
2022-02-24,247631,250523,241851,243778,24142
2022-02-25,245704,247630,243777,245705,20051
2022-02-28,247632,255341,245705,255341,31173
2022-03-02,254859,256786,251487,253896,18032
2022-03-03,255822,257267,253895,256305,14804
2022-03-04,256304,256304,252450,253896,9183
2022-03-07,248112,250522,246185,247632,18381
2022-03-08,247631,261603,245704,257268,46608
2022-03-10,260639,261121,257748,261122,28079
2022-03-11,263049,267384,259676,259677,30979
2022-03-14,258231,260639,252450,254859,20046
2022-03-15,253413,261121,252449,261122,19785
2022-03-16,263048,271719,262085,269794,53466
2022-03-17,272201,273648,268348,268349,32674
2022-03-18,268348,273649,266903,273649,33877
2022-03-21,273649,273649,265458,266422,25649
2022-03-22,268829,268829,264975,267385,20725
2022-03-23,267384,271719,266420,269794,20056
2022-03-24,267385,268830,264013,266904,26592
2022-03-25,265938,270274,264975,269312,18434
2022-03-28,267384,269792,265457,269312,14135
2022-03-29,270276,270276,266422,266904,15238
2022-03-30,268349,269312,264495,264977,20307
2022-03-31,264976,267866,263531,264013,16345
2022-04-01,264976,264976,260158,263050,17344
2022-04-04,262568,264976,261121,264495,9563
2022-04-05,263530,265457,260639,261604,11659
2022-04-06,261120,264975,259675,260158,13587
2022-04-07,258713,260158,253414,254378,20123
2022-04-08,255340,264976,255340,264013,29703
2022-04-11,263049,265458,260158,264495,18342
2022-04-12,266902,274129,264975,267867,44386
2022-04-13,270274,286655,269311,284247,106246
2022-04-14,287139,295811,281357,289066,78712
2022-04-15,288102,299183,285693,295811,72638
2022-04-18,293882,300145,291955,293883,44682
2022-04-19,293881,299181,292436,292919,31953
2022-04-20,292437,296773,290991,292438,29500
2022-04-21,295327,298700,293882,294365,27206
2022-04-22,290991,296291,290509,293883,21734
2022-04-25,289064,295327,285211,292438,24395
2022-04-26,293883,297256,289547,295811,30252
2022-04-27,290027,299663,289064,294846,39051
2022-04-28,300145,305444,296291,303037,56842
2022-04-29,302073,304963,299664,300628,29520
2022-05-02,298219,302073,296292,298701,18731
2022-05-03,297254,298700,290027,291474,35430
2022-05-04,291473,292437,282319,285693,30033
2022-05-06,280874,282801,272684,278466,39503
2022-05-09,275575,284247,274611,279430,24962
2022-05-10,279428,289064,274129,283765,39271
2022-05-11,280392,286174,280392,281357,14527
2022-05-12,279910,287618,275574,280393,31808
2022-05-13,286657,286657,282320,285212,16295
2022-05-16,289064,289546,282319,283284,13070
2022-05-17,283283,290992,282802,288584,31238
2022-05-18,289065,291474,285211,288584,21975
2022-05-19,282318,287618,282318,283765,19672
2022-05-20,288101,290992,285693,289547,18160
2022-05-23,291474,304964,290029,297738,51181
2022-05-24,297737,304000,293882,297256,27254
2022-05-25,302554,305444,296291,303037,47701
2022-05-26,303036,305926,300145,303037,29454
2022-05-27,304963,305445,298219,300628,17336
2022-05-30,301109,305445,299664,300628,17818
2022-05-31,301110,302555,296774,298220,39165
2022-06-02,296292,297738,291956,297738,15281
2022-06-03,297737,300628,296292,297256,11016
2022-06-07,294365,299665,292919,296293,20296
2022-06-08,294846,298701,293883,296293,10369
2022-06-09,298701,299665,294846,296293,23357
2022-06-10,295326,297254,290027,294846,19069
2022-06-13,290027,293399,283282,284247,23580
2022-06-14,282319,284729,276538,281357,29628
2022-06-15,281356,282801,271721,273649,23497
2022-06-16,274612,282319,273166,274612,22098
2022-06-17,271720,280392,270756,278948,23816
2022-06-20,281838,286656,274612,275576,22515
2022-06-21,279430,289065,276539,287139,29446
2022-06-22,288583,288583,282801,283284,19092
2022-06-23,283764,290991,279428,284247,35623
2022-06-24,283764,290991,282319,290029,20658
2022-06-27,292438,293883,285212,287139,23163
2022-06-28,287138,296774,284248,295811,25209
2022-06-29,293400,296773,291473,293883,15740
2022-06-30,294846,299664,291955,296774,28546
2022-07-01,299663,302554,281837,283284,37726
2022-07-04,284247,288583,279911,286657,16351
2022-07-05,290510,306890,288583,306891,78947
2022-07-06,304962,317488,301590,305927,81966
2022-07-07,308337,314599,305445,312191,49968
2022-07-08,312672,314599,306891,310746,25144
2022-07-11,308336,312190,302554,309300,29655
2022-07-12,309300,312672,303518,309300,26747
2022-07-13,310745,311708,304963,309300,29398
2022-07-14,305445,306409,294846,299665,58473
2022-07-15,300627,306407,295809,302555,32853
2022-07-18,300626,302553,287137,294846,78365
2022-07-19,296292,303036,293882,299183,37098
2022-07-20,302554,303999,297737,301592,27494
2022-07-21,300145,302554,294363,295328,34932
2022-07-22,294363,298218,293882,293883,15981
2022-07-25,292919,297737,292437,295811,10687
2022-07-26,294363,297254,292918,295328,12253
2022-07-27,295811,299664,294846,297738,19079
2022-07-28,297256,300146,297256,297738,16671
2022-07-29,300146,303037,296774,298220,17190
2022-08-01,295811,301110,294846,296293,17846
2022-08-02,297736,298218,292436,293401,19565
2022-08-03,292918,295326,291473,293401,20279
