Date,Open,High,Low,Close,Volume
2022-01-03,29755,29755,29035,29325,2819
2022-01-04,30135,30200,29685,30130,1914
2022-01-05,30110,30110,29000,29235,3482
2022-01-06,28955,28955,27510,27985,6706
2022-01-07,28390,28390,27515,27780,3370
2022-01-10,27305,27305,27085,27085,4218
2022-01-11,27065,27145,26630,26950,2316
2022-01-12,27185,27285,27185,27270,1382
2022-01-13,26270,26325,26260,26300,4615
2022-01-14,26300,26300,25620,25625,3347
2022-01-17,26415,26415,26000,26350,2240
2022-01-18,26885,26885,26035,26275,713
2022-01-19,26000,26000,24650,24685,6296
2022-01-20,24480,24535,24420,24520,3017
2022-01-21,24015,24140,23990,24090,2611
2022-01-24,24090,24090,23485,23620,3403
2022-01-25,23660,24150,23660,24000,2408
2022-01-26,24000,24000,23915,23990,1061
2022-01-27,23975,23975,23575,23650,1652
2022-01-28,23000,23000,22600,22670,10878
2022-02-03,23805,24045,23705,23890,4719
2022-02-04,23890,23890,23650,23720,2591
2022-02-07,24000,24055,23710,23900,1156
2022-02-08,24070,24595,24070,24430,2192
2022-02-09,24650,24650,24100,24480,1574
2022-02-10,25100,25240,25100,25100,3591
2022-02-11,25000,25000,24590,24785,830
2022-02-14,24570,24575,24100,24100,877
2022-02-15,24055,24215,24030,24060,585
2022-02-16,24805,25005,24710,25005,660
2022-02-17,24845,25015,24510,24610,517
2022-02-18,23815,23970,23815,23945,4289
2022-02-21,23600,23610,23520,23550,2463
2022-02-22,23550,23550,22780,23430,4549
2022-02-23,23435,23435,23105,23310,842
2022-02-24,23050,23050,22285,22390,2903
2022-02-25,22500,23565,22500,23470,3097
2022-02-28,23540,23660,23465,23620,1244
2022-03-02,23765,23765,23345,23630,1139
2022-03-03,23680,23680,23400,23635,848
2022-03-04,22950,23015,22785,23015,745
2022-03-07,22410,22615,22340,22605,609
2022-03-08,22545,22765,22225,22735,1723
2022-03-10,23005,23865,23005,23800,7988
2022-03-11,23745,23745,23500,23600,232
2022-03-14,22855,23160,22850,23160,3616
2022-03-15,22500,22500,22055,22155,3866
2022-03-16,22480,22480,22305,22420,4942
2022-03-17,23075,23075,22825,22975,4176
2022-03-18,23520,23780,23460,23590,2258
2022-03-21,24000,24295,24000,24280,1843
2022-03-22,23750,23870,23750,23810,2418
2022-03-23,24660,24680,24390,24510,1684
2022-03-24,24000,24125,24000,24125,2595
2022-03-25,24325,24675,24325,24650,1609
2022-03-28,24000,24135,23755,24075,1829
2022-03-29,24210,24210,23845,24020,951
2022-03-30,24780,24780,24630,24765,2430
2022-03-31,24070,24150,24000,24150,5228
2022-04-01,23945,24125,23945,24095,3919
2022-04-04,24555,24820,24555,24820,2614
2022-04-05,25240,25290,25230,25245,4977
2022-04-06,24910,24910,24610,24870,945
2022-04-07,24875,24875,24645,24820,763
