Date,Open,High,Low,Close,Volume
2022-01-03,57,57,56,56,5231900
2022-01-04,57,58,57,58,9068000
2022-01-05,58,59,58,58,6706300
2022-01-06,58,58,57,58,5820800
2022-01-07,58,59,58,59,4633100
2022-01-10,58,59,57,58,5544300
2022-01-11,59,59,58,59,5720400
2022-01-12,59,60,58,59,3742400
2022-01-13,59,60,59,59,4482600
2022-01-14,59,60,59,60,6795300
2022-01-18,60,61,59,60,4796900
2022-01-19,60,60,59,59,4351100
2022-01-20,59,60,57,57,5765700
2022-01-21,57,57,56,56,6189500
2022-01-24,55,56,54,56,8872700
2022-01-25,55,57,54,57,5644100
2022-01-26,57,58,56,57,6126000
2022-01-27,58,61,58,60,11664200
2022-01-28,60,61,59,60,6971900
2022-01-31,59,60,58,59,8056100
2022-02-01,59,61,59,61,6659400
2022-02-02,61,62,61,61,5463400
2022-02-03,61,62,61,61,5363800
2022-02-04,61,61,60,60,4995100
2022-02-07,60,61,59,59,6214400
2022-02-08,60,61,60,61,5595500
2022-02-09,61,62,61,61,5515900
2022-02-10,61,62,60,60,6537200
2022-02-11,60,61,60,61,6042100
2022-02-14,61,61,60,60,4472000
2022-02-15,60,62,60,61,4076800
2022-02-16,61,62,61,62,5613600
2022-02-17,61,62,60,61,3927800
2022-02-18,60,61,60,60,5078900
2022-02-22,60,61,59,60,5664000
2022-02-23,60,61,59,59,5155100
2022-02-24,58,58,57,58,8108500
2022-02-25,58,60,58,59,5445200
2022-02-28,58,59,58,58,6438200
2022-03-01,59,59,56,57,7668100
2022-03-02,57,59,57,59,6499800
2022-03-03,59,59,58,59,4514800
2022-03-04,58,58,57,58,5869500
2022-03-07,58,59,57,57,6987800
2022-03-08,58,59,57,57,6583400
2022-03-09,59,60,58,59,7484700
2022-03-10,59,61,59,60,5421000
2022-03-11,61,62,60,60,6140000
2022-03-14,61,62,59,60,5836200
2022-03-15,59,60,57,58,8354400
2022-03-16,59,60,58,59,6154800
2022-03-17,59,62,59,62,9420600
2022-03-18,62,63,61,62,9510800
2022-03-21,63,63,62,63,4836500
2022-03-22,64,64,63,63,5136700
2022-03-23,63,63,63,63,2936100
2022-03-24,63,64,63,64,3611400
2022-03-25,64,64,63,64,3962900
2022-03-28,64,64,63,64,3879300
2022-03-29,63,64,62,64,4225600
2022-03-30,64,64,64,64,3145900
2022-03-31,64,64,63,63,4302100
2022-04-01,64,64,63,64,3317100
2022-04-04,64,64,63,64,3650000
2022-04-05,64,64,63,63,3432500
2022-04-06,63,63,61,61,4977000
2022-04-07,61,61,60,61,4644800
2022-04-08,61,62,61,61,3913900
2022-04-11,61,62,61,61,2760400
2022-04-12,62,63,62,63,4137300
2022-04-13,63,64,63,64,3465600
2022-04-14,64,66,64,65,7000200
2022-04-18,65,66,65,65,4958900
2022-04-19,66,67,65,67,5292500
2022-04-20,67,68,67,67,5021500
2022-04-21,69,71,68,69,10282500
2022-04-22,70,71,68,68,7439400
2022-04-25,67,68,65,68,7252100
2022-04-26,68,68,67,67,6612800
2022-04-27,68,68,67,67,5412300
2022-04-28,68,68,66,67,5532300
2022-04-29,68,68,66,66,6499800
2022-05-02,67,67,65,67,7250100
2022-05-03,67,68,67,68,4599500
2022-05-04,68,70,68,70,5589800
