Date,Open,High,Low,Close,Volume
2022-01-03,51,53,51,53,33857600
2022-01-04,53,53,52,53,45681400
2022-01-05,54,56,53,53,59109300
2022-01-06,54,54,53,54,35757900
2022-01-07,54,54,53,53,30717200
2022-01-10,53,55,53,55,49260800
2022-01-11,55,56,54,55,39795200
2022-01-12,56,56,54,55,29136800
2022-01-13,56,56,54,54,29605400
2022-01-14,54,55,54,55,30151500
2022-01-18,55,55,54,54,35313800
2022-01-19,54,54,53,53,30595100
2022-01-20,53,54,51,52,28582600
2022-01-21,52,53,51,52,46372400
2022-01-24,51,52,49,51,64198400
2022-01-25,51,51,50,51,44095400
2022-01-26,51,52,50,51,54895400
2022-01-27,49,50,47,48,89642800
2022-01-28,47,48,46,47,61945400
2022-01-31,47,48,47,48,51828400
2022-02-01,48,49,48,48,35386100
2022-02-02,48,49,48,49,37962700
2022-02-03,49,49,48,48,42145800
2022-02-04,47,48,47,48,32431500
2022-02-07,48,48,47,48,27558500
2022-02-08,47,48,47,48,28051200
2022-02-09,49,49,48,49,35217300
2022-02-10,49,49,48,48,32762700
2022-02-11,48,49,47,47,37208200
2022-02-14,47,48,47,47,28456900
2022-02-15,47,48,47,48,35837900
2022-02-16,48,48,47,48,26022900
2022-02-17,47,48,47,47,32030600
2022-02-18,46,46,44,45,76520100
2022-02-22,44,45,43,44,57093300
2022-02-23,45,45,44,44,38176700
2022-02-24,43,46,43,46,72740100
2022-02-25,46,47,46,47,39266300
2022-02-28,47,47,46,47,41946100
2022-03-01,47,47,46,46,53853000
2022-03-02,47,48,47,48,46936500
2022-03-03,48,48,47,47,36389900
2022-03-04,47,48,47,48,38310700
2022-03-07,48,48,47,47,43813700
2022-03-08,47,48,46,47,44813900
2022-03-09,48,48,46,47,36076500
2022-03-10,47,47,46,46,36456000
2022-03-11,47,47,45,45,27082100
2022-03-14,45,45,44,44,35993900
2022-03-15,44,44,44,44,34448900
2022-03-16,45,46,45,46,38885500
2022-03-17,46,47,45,47,28555000
2022-03-18,46,47,46,47,46237100
2022-03-21,47,47,47,47,32910900
2022-03-22,47,48,47,48,27923300
2022-03-23,48,49,48,48,37126400
