Date,Open,High,Low,Close,Volume
2022-01-03,35,36,35,36,5957600
2022-01-04,36,37,36,36,7887600
2022-01-05,37,37,36,36,7096900
2022-01-06,37,37,36,36,6045400
2022-01-07,36,37,36,37,4915000
2022-01-10,37,37,37,37,8565700
2022-01-11,37,37,36,37,5556300
2022-01-12,37,37,37,37,4793900
2022-01-13,37,37,37,37,6287000
2022-01-14,37,38,37,38,5354500
2022-01-18,37,38,37,37,7062200
2022-01-19,37,37,37,37,5076500
2022-01-20,37,37,36,37,5274100
2022-01-21,37,37,36,37,7544700
2022-01-24,36,37,35,36,12053700
2022-01-25,36,36,35,36,7115700
2022-01-26,36,36,35,36,7220400
2022-01-27,36,36,35,36,6138800
2022-01-28,35,36,35,36,7069800
2022-01-31,35,35,35,35,10230800
2022-02-01,35,36,35,36,5978100
2022-02-02,36,36,35,36,7375900
2022-02-03,36,36,35,35,7982900
2022-02-04,35,35,34,34,12949000
2022-02-07,34,35,34,34,6537000
2022-02-08,34,35,34,34,5424900
2022-02-09,35,35,34,34,5993700
2022-02-10,34,34,34,34,6823500
2022-02-11,34,34,34,34,7097800
2022-02-14,34,34,34,34,7007300
2022-02-15,34,34,34,34,7912500
2022-02-16,35,37,35,36,14217200
2022-02-17,36,37,36,37,14990500
2022-02-18,37,39,37,38,14464500
2022-02-22,38,40,38,40,21506600
2022-02-23,40,40,39,40,13844200
2022-02-24,39,39,38,38,12733700
2022-02-25,39,40,39,39,7638900
2022-02-28,38,39,38,39,7291600
2022-03-01,38,39,38,38,6808100
2022-03-02,38,39,38,39,7331700
2022-03-03,39,40,39,39,9223100
2022-03-04,39,40,39,39,6585500
2022-03-07,39,40,39,40,9906700
2022-03-08,39,40,38,38,8977400
2022-03-09,39,39,38,38,10448500
2022-03-10,37,37,37,37,5216500
2022-03-11,37,38,37,37,4722600
2022-03-14,37,37,37,37,6295200
2022-03-15,37,38,37,37,7324500
2022-03-16,37,37,37,37,5733900
2022-03-17,37,37,37,37,4390100
2022-03-18,37,37,37,37,9386500
2022-03-21,37,37,37,37,5030500
2022-03-22,37,37,37,37,5495500
2022-03-23,38,38,38,38,5893400
2022-03-24,38,38,38,38,4540000
2022-03-25,38,39,38,39,5057600
2022-03-28,39,39,38,39,3517200
2022-03-29,39,39,38,39,4974500
2022-03-30,39,39,38,39,4439200
2022-03-31,39,39,39,39,5208300
2022-04-01,39,39,39,39,4798600
2022-04-04,39,39,38,39,3980900
2022-04-05,39,40,39,39,5432700
2022-04-06,39,40,39,40,5481100
2022-04-07,40,41,39,40,8079000
2022-04-08,40,41,40,40,6556100
2022-04-11,41,41,40,41,7380400
2022-04-12,41,41,40,41,5058500
2022-04-13,41,42,41,42,8202900
2022-04-14,42,42,41,42,7309200
2022-04-18,42,42,41,42,5822900
2022-04-19,42,42,41,42,5835000
2022-04-20,42,43,42,43,5487400
2022-04-21,43,44,43,44,9219400
2022-04-22,44,44,43,43,7307700
2022-04-25,43,43,42,43,6277500
2022-04-26,42,43,42,42,7364900
2022-04-27,42,43,41,42,7960700
2022-04-28,42,43,42,43,7386100
2022-04-29,43,43,42,42,6968300
2022-05-02,42,43,41,41,7637700
2022-05-03,42,42,41,42,6328300
2022-05-04,42,43,42,43,6499900
2022-05-05,42,43,42,43,7079100
2022-05-06,43,43,42,43,6368800
2022-05-09,43,44,43,44,9288000
2022-05-10,44,44,43,43,7641800
2022-05-11,43,44,43,43,6520500
2022-05-12,43,43,42,43,6604400
2022-05-13,43,44,43,44,7857400
2022-05-16,44,44,43,44,5795200
2022-05-17,44,44,42,43,7855600
2022-05-18,42,43,38,39,13824400
2022-05-19,38,38,37,38,8774900
