Date,Open,High,Low,Close,Volume
2022-01-03,165,166,161,163,1836800
2022-01-04,166,171,165,168,2131600
2022-01-05,168,169,164,164,1656700
2022-01-06,165,166,164,165,1421600
2022-01-07,166,168,164,166,1508800
2022-01-10,167,167,160,162,2228400
2022-01-11,161,165,160,165,2141100
2022-01-12,166,166,162,164,1606400
2022-01-13,164,167,164,164,1619700
2022-01-14,163,164,159,162,1886400
2022-01-18,160,161,157,159,2087600
2022-01-19,159,159,154,154,2396300
2022-01-20,155,161,155,156,2160400
2022-01-21,156,160,154,156,4745500
2022-01-24,154,156,150,155,3537700
2022-01-25,153,158,150,157,2197200
2022-01-26,158,164,156,158,2345800
2022-01-27,159,160,152,153,2184100
2022-01-28,154,159,152,159,1930400
2022-01-31,158,161,157,161,1972100
2022-02-01,161,163,160,163,1755100
2022-02-02,163,163,160,160,3912500
2022-02-03,160,164,160,162,2920000
2022-02-04,161,163,158,162,2204700
2022-02-07,163,167,162,166,2003300
2022-02-08,167,172,165,171,2553000
2022-02-09,172,176,172,173,2100300
2022-02-10,170,176,170,174,2122100
2022-02-11,175,177,168,169,2819100
2022-02-14,170,174,169,171,2675200
2022-02-15,175,181,174,181,4264300
2022-02-16,178,184,178,183,3263800
2022-02-17,180,181,177,178,3356300
2022-02-18,177,179,174,174,2882400
2022-02-22,174,175,169,173,2744000
2022-02-23,174,174,167,167,3494800
2022-02-24,163,169,162,168,4332700
2022-02-25,170,174,168,174,2805800
2022-02-28,170,172,167,170,2574400
2022-03-01,168,170,163,164,2886100
2022-03-02,167,171,166,168,2159600
2022-03-03,169,171,164,165,2444900
2022-03-04,163,163,156,159,2858200
2022-03-07,159,159,147,148,3769100
2022-03-08,148,159,146,152,4939400
2022-03-09,158,162,157,159,3509600
2022-03-10,156,164,156,162,2573300
2022-03-11,164,165,161,161,2316300
2022-03-14,162,164,160,161,1917600
2022-03-15,163,167,163,166,2297300
2022-03-16,168,172,167,172,2300300
2022-03-17,170,171,168,171,1582300
2022-03-18,170,173,167,171,3542300
2022-03-21,169,170,167,169,1770400
2022-03-22,171,172,169,170,2004100
2022-03-23,169,170,167,167,2709100
2022-03-24,169,171,167,171,1795800
2022-03-25,172,173,170,171,1427600
2022-03-28,172,172,169,171,1215600
2022-03-29,174,178,174,178,2200900
2022-03-30,177,179,175,176,2285200
2022-03-31,177,179,175,175,2368900
2022-04-01,176,178,172,173,1900400
2022-04-04,173,175,171,174,1394900
2022-04-05,174,176,172,174,1545100
2022-04-06,171,171,165,166,2180100
2022-04-07,165,166,162,164,2608600
2022-04-08,163,165,162,163,1522400
2022-04-11,161,165,161,162,1402500
2022-04-12,164,165,162,163,1549700
2022-04-13,164,176,164,175,3343800
2022-04-14,176,181,176,180,3631700
2022-04-18,179,184,179,183,2961100
2022-04-19,182,189,182,188,2775100
2022-04-20,189,193,188,190,3500700
2022-04-21,193,195,183,184,2905600
2022-04-22,183,184,178,179,1872900
2022-04-25,178,182,177,182,2368300
2022-04-26,181,183,176,177,2085100
2022-04-27,177,181,175,180,1808900
2022-04-28,181,186,180,184,2335500
2022-04-29,182,185,176,177,2605500
2022-05-02,178,180,173,178,2590000
2022-05-03,178,178,170,173,4135800
2022-05-04,176,181,172,181,4283900
2022-05-05,179,183,175,177,3174400
2022-05-06,178,178,169,172,2764100
2022-05-09,170,170,162,163,4058300
2022-05-10,168,170,164,168,2594500
2022-05-11,167,172,165,166,2973800
2022-05-12,165,167,159,163,2619600
2022-05-13,166,167,163,166,2772300
2022-05-16,165,166,161,162,2367900
2022-05-17,166,167,162,164,2302300
2022-05-18,162,164,153,154,3748400
2022-05-19,153,159,152,156,2228000
2022-05-20,159,159,151,155,2105800
2022-05-23,156,159,153,157,1832300
2022-05-24,155,156,149,152,2303600
2022-05-25,151,160,150,159,3079800
2022-05-26,160,171,160,170,3693100
2022-05-27,170,177,170,172,2387200
2022-05-31,171,172,168,171,2224800
2022-06-01,172,174,167,170,1729700
2022-06-02,170,174,170,174,1749800
2022-06-03,172,175,171,174,1370300
2022-06-06,177,179,175,177,1394700
2022-06-07,175,177,173,177,1336400
2022-06-08,175,175,171,173,1693500
2022-06-09,173,173,167,167,1449300
2022-06-10,165,167,159,159,2736300
2022-06-13,154,154,149,152,4029800
2022-06-14,153,154,150,152,2667200
2022-06-15,154,157,153,154,2051200
2022-06-16,149,150,144,145,2610900
2022-06-17,145,147,142,145,3277500
2022-06-21,147,147,141,141,3357100
2022-06-22,139,141,135,136,4112900
2022-06-23,137,137,131,133,3285700
2022-06-24,135,141,133,139,3075900
