Date,Open,High,Low,Close,Volume
2022-01-03,269,270,265,268,2750600
2022-01-04,269,271,268,268,2506000
2022-01-05,269,270,266,267,2473000
2022-01-06,268,270,267,269,2908400
2022-01-07,268,270,267,267,2209100
2022-01-10,266,266,262,264,3122400
2022-01-11,263,263,260,262,3206200
2022-01-12,263,263,260,260,3044000
2022-01-13,261,263,260,261,2371300
2022-01-14,261,261,257,257,3460100
2022-01-18,256,257,254,256,3076500
2022-01-19,257,257,255,255,2304700
2022-01-20,256,258,252,253,2602200
2022-01-21,254,258,253,254,3738100
2022-01-24,252,253,247,253,5153100
2022-01-25,250,252,247,250,3908600
2022-01-26,253,254,247,249,3839000
2022-01-27,249,252,245,248,5199000
2022-01-28,250,256,247,256,3833200
2022-01-31,255,259,254,259,3174200
2022-02-01,259,259,255,258,2496500
2022-02-02,258,262,258,262,2371500
2022-02-03,262,262,260,260,2242200
2022-02-04,259,261,257,260,1989700
2022-02-07,261,261,259,259,1959300
2022-02-08,260,262,259,260,2920000
2022-02-09,261,262,259,259,2379300
2022-02-10,258,260,255,256,3246600
2022-02-11,256,258,254,255,3592700
2022-02-14,255,256,251,253,2825800
2022-02-15,254,256,253,253,2171500
2022-02-16,253,254,251,253,2941800
2022-02-17,251,252,250,250,2831900
2022-02-18,250,252,250,250,2813500
2022-02-22,250,254,249,252,3980500
2022-02-23,253,253,247,247,3497200
2022-02-24,242,245,239,245,4856000
2022-02-25,246,249,243,249,4549700
2022-02-28,244,245,242,244,4410400
2022-03-01,242,243,238,239,3910700
2022-03-02,240,242,239,240,4482000
2022-03-03,241,242,235,236,4707400
2022-03-04,234,236,231,235,4184100
2022-03-07,234,234,224,224,5425000
2022-03-08,224,229,222,222,5258800
2022-03-09,226,227,222,222,5630500
2022-03-10,220,222,217,222,5444900
2022-03-11,224,229,224,226,6126300
2022-03-14,226,228,223,226,4436100
2022-03-15,227,234,227,232,5087400
2022-03-16,234,238,234,238,4173200
2022-03-17,236,237,234,237,3752800
2022-03-18,237,239,235,238,5336500
2022-03-21,239,240,234,235,3704000
2022-03-22,237,238,236,238,2938100
2022-03-23,237,238,235,236,2200500
2022-03-24,237,241,236,240,2337500
2022-03-25,240,241,239,241,2134800
2022-03-28,241,242,239,242,2041800
2022-03-29,246,248,244,248,2657400
2022-03-30,247,250,247,249,2227300
2022-03-31,249,251,247,247,3803400
2022-04-01,248,249,246,249,2023000
2022-04-04,246,247,242,246,2500700
2022-04-05,246,249,245,248,2532500
2022-04-06,247,252,245,251,2886000
2022-04-07,250,255,249,254,4041800
2022-04-08,253,255,250,251,2551000
2022-04-11,251,252,249,250,2326700
2022-04-12,250,252,248,249,2724900
2022-04-13,249,251,249,251,2133800
2022-04-14,251,253,250,250,2105900
2022-04-18,249,252,249,251,1426600
2022-04-19,250,255,250,255,2324500
2022-04-20,256,257,254,255,2278700
2022-04-21,257,259,254,255,2476900
2022-04-22,255,255,249,250,2643600
2022-04-25,249,253,247,252,2523000
2022-04-26,250,252,248,248,2948500
2022-04-27,247,250,247,247,2706500
2022-04-28,249,256,248,254,3547400
2022-04-29,254,254,248,249,3388000
2022-05-02,250,251,242,246,3418700
2022-05-03,247,247,242,245,2562000
2022-05-04,246,254,246,254,3289300
2022-05-05,252,254,246,248,2925900
2022-05-06,248,252,247,250,2964500
