Date,Open,High,Low,Close,Volume
2022-01-03,335,338,329,334,28865100
2022-01-04,334,335,326,329,32674300
2022-01-05,325,326,315,316,40054300
2022-01-06,313,318,311,313,39646100
2022-01-07,314,316,310,314,32720000
2022-01-10,309,314,304,314,44289500
2022-01-11,313,316,309,314,29386800
2022-01-12,319,323,317,318,34372200
2022-01-13,320,320,304,304,45366000
2022-01-14,304,310,303,310,39846400
2022-01-18,304,309,301,302,42333200
2022-01-19,306,313,302,303,45933900
2022-01-20,309,311,301,301,35380700
2022-01-21,302,304,295,296,57984400
2022-01-24,292,297,276,296,85731500
2022-01-25,291,294,285,288,72848600
2022-01-26,307,308,293,296,90428900
2022-01-27,302,307,297,299,53481300
2022-01-28,300,308,294,308,49743700
2022-01-31,308,312,306,310,46444500
2022-02-01,310,310,305,308,40950400
2022-02-02,309,315,308,313,36636000
2022-02-03,309,311,299,301,43730000
2022-02-04,300,308,299,305,35096500
2022-02-07,306,307,299,300,28533300
2022-02-08,301,305,299,304,32421200
2022-02-09,309,311,307,311,31284700
2022-02-10,304,309,300,302,45386200
2022-02-11,303,304,294,295,39175600
2022-02-14,293,296,291,295,36359500
2022-02-15,300,300,297,300,27058300
2022-02-16,298,300,293,299,29982100
2022-02-17,296,296,290,290,32461600
2022-02-18,293,293,286,287,34264000
2022-02-22,285,291,284,287,41736100
2022-02-23,290,291,280,280,37811200
2022-02-24,272,295,271,294,56989700
2022-02-25,295,297,291,297,32546700
2022-02-28,294,299,293,298,34627500
2022-03-01,296,299,292,294,31217800
2022-03-02,295,301,293,300,31873000
2022-03-03,302,303,294,295,27314500
2022-03-04,294,295,287,289,32356500
2022-03-07,288,289,278,278,43157200
2022-03-08,277,283,270,275,48159500
2022-03-09,283,289,280,288,35204500
2022-03-10,283,286,280,285,30628000
2022-03-11,287,289,279,280,27209300
2022-03-14,280,285,275,276,30660700
2022-03-15,280,287,278,287,34245100
2022-03-16,289,294,283,294,37826300
2022-03-17,293,295,289,295,30816600
2022-03-18,295,301,292,300,43390600
2022-03-21,298,300,294,299,28351200
2022-03-22,299,305,298,304,27599700
2022-03-23,300,303,297,299,25715400
2022-03-24,299,304,298,304,24484500
2022-03-25,305,305,299,303,22566500
2022-03-28,304,310,304,310,29578200
2022-03-29,313,315,309,315,30393400
2022-03-30,313,315,311,313,28163600
2022-03-31,313,315,307,308,33422100
2022-04-01,309,310,305,309,27110500
2022-04-04,310,315,309,314,24289600
2022-04-05,313,314,309,310,23156700
2022-04-06,305,307,296,299,40110400
2022-04-07,296,303,296,301,31411200
2022-04-08,300,301,296,296,24361900
2022-04-11,291,292,285,285,34569300
2022-04-12,289,290,280,282,30966700
2022-04-13,282,288,281,287,21907200
2022-04-14,288,288,279,279,28221600
2022-04-18,278,282,278,280,20778000
2022-04-19,279,286,278,285,22297700
2022-04-20,289,289,285,286,22906700
2022-04-21,288,293,280,280,29454600
2022-04-22,281,283,273,274,29405800
2022-04-25,273,281,270,280,35678900
2022-04-26,277,278,270,270,46518400
2022-04-27,282,290,279,283,63477700
2022-04-28,285,290,281,289,33646600
2022-04-29,288,289,276,277,37073900
2022-05-02,277,284,276,284,35151100
2022-05-03,283,284,280,281,25978600
2022-05-04,282,290,276,289,33599300
2022-05-05,285,286,274,277,43260400
2022-05-06,274,279,271,274,37780300
2022-05-09,270,272,263,264,47726000
2022-05-10,271,273,265,269,39336400
2022-05-11,265,271,259,260,48975900
2022-05-12,257,259,250,255,51033800
2022-05-13,257,263,255,261,34925100
2022-05-16,259,265,255,261,32550900
2022-05-17,266,268,262,266,28828800
2022-05-18,263,263,252,254,31356000
2022-05-19,253,257,251,253,32692300
2022-05-20,257,258,246,252,39199300
2022-05-23,255,261,253,260,33175400
2022-05-24,257,261,253,259,29043900
2022-05-25,258,264,257,262,28547900
2022-05-26,262,267,261,265,25002100
2022-05-27,268,273,267,273,26910800
2022-05-31,272,274,268,271,37827700
2022-06-01,275,277,270,272,25292200
2022-06-02,264,274,261,274,44008200
2022-06-03,270,273,268,270,28059000
2022-06-06,272,274,267,268,22400300
2022-06-07,266,273,265,272,22860700
2022-06-08,271,273,269,270,17372300
2022-06-09,267,272,264,264,26439700
2022-06-10,260,260,252,252,31422800
2022-06-13,245,249,241,242,46135800
2022-06-14,243,245,241,244,28651500
2022-06-15,248,255,246,251,33111700
2022-06-16,245,247,243,244,33169200
2022-06-17,244,250,244,247,43084800
2022-06-21,250,254,249,253,29928300
2022-06-22,251,257,250,253,25939900
2022-06-23,255,259,253,258,25861400
2022-06-24,261,267,261,267,33923200
2022-06-27,268,268,263,264,24615100
2022-06-28,263,266,256,256,27295500
2022-06-29,257,261,255,260,20069800
2022-06-30,257,259,252,256,31730900
2022-07-01,256,259,254,259,22837700
2022-07-05,256,262,254,262,22941000
2022-07-06,263,267,262,266,23824400
2022-07-07,265,269,265,268,20859900
2022-07-08,264,268,263,267,19658800
2022-07-11,265,266,262,264,19455200
2022-07-12,265,265,252,253,35868500
2022-07-13,250,253,248,252,29497400
2022-07-14,250,255,245,254,25102800
2022-07-15,255,260,254,256,29774100
2022-07-18,259,260,253,254,20975000
2022-07-19,257,259,253,259,25012600
2022-07-20,259,264,258,262,22788300
2022-07-21,259,264,257,264,22404700
2022-07-22,265,265,259,260,21881300
2022-07-25,261,261,256,258,21056000
2022-07-26,259,259,249,251,39348000
2022-07-27,261,270,258,268,45994000
2022-07-28,269,277,267,276,33459300
2022-07-29,277,282,276,280,32152800
2022-08-01,277,281,275,278,21539600
2022-08-02,276,277,272,274,22754200
2022-08-03,276,283,276,282,23518900
2022-08-04,281,283,280,283,18098700
2022-08-05,279,283,278,282,16774600
2022-08-08,284,285,279,280,18739200
2022-08-09,279,283,277,282,23405200
2022-08-10,288,289,286,289,24687800
2022-08-11,290,291,286,287,20065900
2022-08-12,288,291,286,291,22619700
2022-08-15,291,294,290,293,18085700
2022-08-16,291,294,290,292,18102900
2022-08-17,289,293,289,291,18253400
2022-08-18,290,291,289,290,17186200
2022-08-19,288,289,285,286,20570000
2022-08-22,282,282,277,277,25061100
2022-08-23,276,278,275,276,17527400
2022-08-24,275,277,275,275,18137000
2022-08-25,277,279,274,278,16583400
2022-08-26,279,280,267,268,27549300
2022-08-29,265,267,263,265,20338500
2022-08-30,266,267,260,262,22767100
2022-08-31,265,267,261,261,24791800
2022-09-01,258,260,255,260,23263400
2022-09-02,261,264,254,256,22855400
2022-09-06,256,257,251,253,21328200
2022-09-07,254,258,253,258,24126700
2022-09-08,257,260,254,258,20319900
2022-09-09,260,265,260,264,22084700
2022-09-12,265,267,265,266,18747700
2022-09-13,258,260,251,251,33353300
2022-09-14,253,254,249,252,23913000
2022-09-15,249,251,244,245,31530900
2022-09-16,244,245,242,244,39791800
2022-09-19,242,245,240,244,26826900
2022-09-20,242,243,239,242,26660300
2022-09-21,244,247,238,238,28625600
2022-09-22,237,243,237,240,31061200
2022-09-23,239,241,235,237,34176000
2022-09-26,237,241,236,237,27694200
2022-09-27,239,241,234,236,27018700
2022-09-28,236,242,234,241,29029700
2022-09-29,238,239,234,237,27484200
2022-09-30,238,240,232,232,35694800
2022-10-03,235,241,234,240,28880400
2022-10-04,245,250,244,248,34888400
2022-10-05,245,250,244,249,20347100
2022-10-06,247,250,246,246,20239900
2022-10-07,240,241,233,234,37769600
2022-10-10,233,234,226,229,29743600
2022-10-11,227,229,224,225,30474000
2022-10-12,225,227,223,225,21903900
2022-10-13,219,236,219,234,42551800
2022-10-14,235,237,228,228,30198600
2022-10-17,235,238,235,237,28142300
2022-10-18,243,243,235,238,26329600
2022-10-19,237,239,234,236,19985700
2022-10-20,235,241,234,236,21811000
2022-10-21,234,243,234,242,26299700
2022-10-24,243,247,241,247,24911200
2022-10-25,247,251,245,250,34775500
2022-10-26,231,238,230,231,82543200
2022-10-27,231,233,225,226,40424600
2022-10-28,226,236,226,235,40647700
2022-10-31,233,234,231,232,28357300
2022-11-01,234,235,227,228,30592300
2022-11-02,229,231,220,220,38407000
2022-11-03,220,220,213,214,36633900
2022-11-04,217,221,213,221,36789100
2022-11-07,221,228,221,227,33498000
2022-11-08,228,231,225,228,28192500
2022-11-09,227,228,224,224,27852900
2022-11-10,235,243,235,242,46268000
2022-11-11,242,247,241,247,34620200
2022-11-14,241,243,239,241,31123300
2022-11-15,245,247,240,241,31390100
2022-11-16,242,243,240,241,24093300
2022-11-17,237,243,237,241,23123500
2022-11-18,243,243,239,241,27613500
2022-11-21,241,244,241,242,26394700
2022-11-22,243,245,240,245,19665700
2022-11-23,245,248,244,247,19508500
2022-11-25,247,248,246,247,9200800
2022-11-28,246,246,240,241,24778200
2022-11-29,241,242,238,240,17956300
2022-11-30,240,255,239,255,47594200
2022-12-01,253,256,250,254,26041500
2022-12-02,249,256,249,255,21528500
2022-12-05,252,253,248,250,23435300
2022-12-06,250,251,243,245,22463700
2022-12-07,244,246,242,244,20481500
2022-12-08,244,248,243,247,22611800
2022-12-09,244,248,244,245,20609700
2022-12-12,247,252,247,252,30665100
2022-12-13,261,263,253,256,42196900
2022-12-14,257,262,254,257,35410900
2022-12-15,253,254,247,249,35560400
2022-12-16,248,249,243,244,86102000
2022-12-19,244,245,238,240,29696400
2022-12-20,239,242,238,241,25150800
2022-12-21,241,245,240,244,23690600
2022-12-22,241,241,233,238,28651700
2022-12-23,236,238,233,238,21207000
2022-12-27,238,238,235,236,16688600
2022-12-28,236,239,234,234,17457100
2022-12-29,235,241,235,241,19770700
2022-12-30,238,239,236,239,21938500
2023-01-03,243,245,237,239,25740000
2023-01-04,232,232,225,229,50623400
2023-01-05,227,227,221,222,39585600
2023-01-06,223,225,219,224,43613600
2023-01-09,226,231,226,227,27369800
2023-01-10,227,231,227,228,27033900
2023-01-11,231,235,231,235,28669300
2023-01-12,235,239,233,238,27269500
2023-01-13,237,239,234,239,21333300
2023-01-17,237,240,237,240,29831300
2023-01-18,241,242,235,235,30028700
2023-01-19,233,235,230,231,28623000
2023-01-20,234,240,234,240,35389800
2023-01-23,241,245,239,242,31934000
2023-01-24,242,243,240,242,40234400
2023-01-25,234,243,230,240,66526600
2023-01-26,243,248,242,248,33454500
2023-01-27,248,249,246,248,26498900
2023-01-30,244,245,242,242,25867400
2023-01-31,243,247,242,247,26541100
2023-02-01,248,255,245,252,31259900
2023-02-02,258,264,257,264,39940400
2023-02-03,259,264,257,258,29077300
2023-02-06,257,258,254,256,22518000
2023-02-07,260,268,260,267,50841400
2023-02-08,273,276,266,266,54686000
2023-02-09,273,273,262,263,42375100
2023-02-10,261,264,260,263,25818500
2023-02-13,267,274,267,271,44630900
2023-02-14,272,274,269,272,37047900
2023-02-15,268,270,266,269,28922400
2023-02-16,264,266,261,262,29603600
2023-02-17,259,260,256,258,30000100
2023-02-21,254,255,251,252,28397400
2023-02-22,254,254,250,251,22491100
2023-02-23,255,256,250,254,29219100
2023-02-24,249,251,248,249,24990900
2023-02-27,252,252,249,250,21190000
2023-02-28,249,251,248,249,22491000
2023-03-01,250,250,245,246,27565300
2023-03-02,246,251,245,251,24808200
2023-03-03,252,255,251,255,30760100
2023-03-06,256,260,255,256,24109800
2023-03-07,256,257,253,254,21473200
2023-03-08,254,254,250,253,17340200
2023-03-09,255,259,251,252,26653400
2023-03-10,251,252,247,248,28333900
2023-03-13,247,257,245,253,33339700
2023-03-14,256,261,255,260,33620300
2023-03-15,259,266,259,265,46028000
2023-03-16,265,276,263,276,54768800
2023-03-17,278,283,276,279,69527400
2023-03-20,276,277,269,272,43466600
2023-03-21,274,275,269,273,34558700
2023-03-22,273,281,272,272,34873300
2023-03-23,277,281,275,277,36610900
2023-03-24,277,280,275,280,28172000
2023-03-27,280,281,275,276,26840200
2023-03-28,275,276,272,275,21878600
2023-03-29,278,281,278,280,25087000
2023-03-30,284,284,281,284,25053400
