Date,Open,High,Low,Close,Volume
2022-01-03,29,30,29,30,391547000
2022-01-04,30,30,28,29,527154000
2022-01-05,28,29,27,27,498064000
2022-01-06,27,28,27,28,454186000
2022-01-07,28,28,27,27,409939000
2022-01-10,26,27,25,27,594681000
2022-01-11,27,28,26,27,404089000
2022-01-12,28,28,27,27,383413000
2022-01-13,28,28,26,26,540171000
2022-01-14,26,27,26,26,395832000
2022-01-18,26,26,25,25,424270000
2022-01-19,26,26,25,25,488315000
2022-01-20,25,25,24,24,435181000
2022-01-21,23,24,23,23,718958000
2022-01-24,22,23,20,23,913982000
2022-01-25,22,22,22,22,664616000
2022-01-26,23,24,22,22,755959000
2022-01-27,23,23,21,21,573353000
2022-01-28,22,22,21,22,543774000
2022-01-31,23,24,23,24,564680000
2022-02-01,25,25,23,24,518925000
2022-02-02,25,25,24,25,543419000
2022-02-03,24,25,23,23,410178000
2022-02-04,23,24,23,24,354829000
2022-02-07,24,25,24,24,376868000
2022-02-08,24,25,23,25,410359000
2022-02-09,25,26,25,26,524282000
2022-02-10,25,26,25,25,513200000
2022-02-11,25,26,23,23,605472000
2022-02-14,23,24,23,24,440424000
2022-02-15,24,26,24,26,699869000
2022-02-16,26,26,25,26,732676000
2022-02-17,25,25,24,24,810595000
2022-02-18,24,24,23,23,761255000
2022-02-22,23,24,23,23,633422000
2022-02-23,23,24,22,22,566511000
2022-02-24,21,23,20,23,735801000
2022-02-25,23,24,23,24,528866000
2022-02-28,23,24,23,24,477319000
2022-03-01,24,24,23,23,412056000
2022-03-02,23,24,23,24,389642000
2022-03-03,24,24,23,23,365095000
2022-03-04,23,23,22,22,431415000
2022-03-07,22,23,21,21,450821000
2022-03-08,21,22,20,21,557467000
2022-03-09,22,23,22,23,492742000
2022-03-10,22,22,21,22,428066000
2022-03-11,23,23,22,22,367209000
2022-03-14,21,22,21,21,385354000
2022-03-15,21,23,21,22,491996000
2022-03-16,23,24,23,24,671422000
2022-03-17,24,24,23,24,471941000
2022-03-18,24,26,24,26,730719000
2022-03-21,26,27,25,26,591727000
2022-03-22,26,27,26,26,547007000
2022-03-23,26,26,25,25,502120000
2022-03-24,26,28,25,28,877379000
2022-03-25,27,28,27,27,579016000
2022-03-28,27,28,27,28,425494000
2022-03-29,28,28,27,28,488984000
2022-03-30,28,28,27,27,463487000
2022-03-31,27,28,27,27,523440000
2022-04-01,27,27,26,26,517235000
2022-04-04,26,27,26,27,397120000
2022-04-05,27,27,25,25,436615000
2022-04-06,24,25,24,24,703833000
2022-04-07,24,24,23,24,557992000
2022-04-08,23,23,23,23,524781000
2022-04-11,22,22,21,21,575207000
2022-04-12,22,22,21,21,662258000
2022-04-13,21,22,21,22,516943000
2022-04-14,22,22,21,21,569097000
2022-04-18,21,22,21,21,525701000
2022-04-19,21,22,21,22,512781000
2022-04-20,22,22,21,21,468974000
2022-04-21,21,22,20,20,656209000
2022-04-22,20,20,19,19,624713000
2022-04-25,19,19,19,19,641566000
2022-04-26,19,19,18,18,653143000
2022-04-27,18,19,18,18,499460000
2022-04-28,18,20,18,19,570327000
2022-04-29,19,20,18,18,500435000
2022-05-02,18,19,18,19,572049000
2022-05-03,19,19,19,19,475751000
2022-05-04,19,20,18,20,648855000
2022-05-05,19,19,18,18,626331000
2022-05-06,18,19,17,18,633297000
2022-05-09,18,18,16,16,644455000
2022-05-10,17,18,17,17,761474000
2022-05-11,17,17,16,16,670167000
2022-05-12,16,16,15,16,708728000
2022-05-13,16,17,16,17,670437000
2022-05-16,17,17,17,17,521446000
2022-05-17,18,18,17,18,585830000
2022-05-18,17,18,16,16,545161000
2022-05-19,16,17,16,17,621310000
2022-05-20,17,17,15,16,739105000
2022-05-23,16,16,16,16,639889000
2022-05-24,16,16,15,16,588550000
2022-05-25,16,17,16,16,781132000
2022-05-26,16,18,16,17,996575000
2022-05-27,18,18,18,18,738379000
2022-05-31,18,19,18,18,664100000
2022-06-01,18,19,18,18,544514000
2022-06-02,18,19,18,19,648656000
2022-06-03,19,19,18,18,598779000
2022-06-06,19,19,18,18,422406000
2022-06-07,18,19,18,18,388914000
2022-06-08,18,19,18,18,363252000
2022-06-09,18,18,18,18,395574000
2022-06-10,17,17,16,16,465248000
2022-06-13,16,16,15,15,604153000
2022-06-14,15,16,15,15,469680000
2022-06-15,16,16,15,16,563936000
2022-06-16,15,15,15,15,545749000
2022-06-17,15,15,15,15,630334000
2022-06-21,16,17,16,16,483089000
2022-06-22,16,16,16,16,437135000
2022-06-23,16,16,15,16,463680000
2022-06-24,16,17,16,17,472153000
2022-06-27,17,17,16,16,427968000
2022-06-28,16,17,15,15,461149000
2022-06-29,15,15,15,15,482352000
2022-06-30,15,15,14,15,686070000
2022-07-01,14,15,14,14,577610000
2022-07-05,14,14,14,14,651397000
2022-07-06,15,15,14,15,529066000
2022-07-07,15,15,15,15,492903000
2022-07-08,15,16,15,15,467972000
2022-07-11,15,15,15,15,437321000
2022-07-12,15,15,14,15,458483000
2022-07-13,14,15,14,15,521918000
2022-07-14,15,15,14,15,456235000
2022-07-15,15,15,15,15,385935000
2022-07-18,16,16,16,16,670517000
2022-07-19,16,17,16,16,702366000
2022-07-20,16,17,16,17,760538000
2022-07-21,17,18,17,18,557049000
2022-07-22,17,17,17,17,536671000
2022-07-25,17,17,16,17,480748000
2022-07-26,16,16,16,16,397865000
2022-07-27,17,17,16,17,569776000
2022-07-28,17,18,17,17,474646000
2022-07-29,17,18,17,18,435460000
2022-08-01,18,18,17,18,476469000
2022-08-02,18,18,18,18,489527000
2022-08-03,18,18,18,18,418146000
2022-08-04,18,19,18,19,409652000
2022-08-05,18,19,18,18,386068000
2022-08-08,17,18,17,17,981859000
2022-08-09,17,17,16,17,668263000
2022-08-10,17,18,17,18,597422000
2022-08-11,18,18,17,17,509327000
2022-08-12,18,18,17,18,478094000
2022-08-15,18,19,18,19,457666000
2022-08-16,18,19,18,18,451240000
2022-08-17,18,18,18,18,446799000
2022-08-18,18,18,18,18,415447000
2022-08-19,18,18,17,17,441588000
2022-08-22,17,17,16,17,409593000
2022-08-23,16,17,16,17,369986000
2022-08-24,17,17,16,17,522661000
2022-08-25,16,17,16,17,770691000
2022-08-26,17,17,16,16,769127000
2022-08-29,16,16,15,15,496132000
2022-08-30,15,16,15,15,530181000
2022-08-31,15,15,14,15,573710000
2022-09-01,14,14,13,13,1178865000
2022-09-02,14,14,13,13,743157000
2022-09-06,13,13,13,13,535751000
2022-09-07,13,13,13,13,512657000
2022-09-08,13,14,13,13,624873000
2022-09-09,14,14,14,14,486612000
2022-09-12,14,14,14,14,484159000
2022-09-13,13,13,13,13,714956000
2022-09-14,13,13,12,13,588507000
2022-09-15,13,13,12,12,523625000
2022-09-16,12,13,12,13,670751000
2022-09-19,13,13,13,13,569685000
2022-09-20,13,13,13,13,524818000
2022-09-21,13,14,13,13,807679000
2022-09-22,13,13,12,12,759162000
2022-09-23,12,12,12,12,663309000
2022-09-26,12,12,12,12,547343000
2022-09-27,12,12,12,12,553854000
2022-09-28,12,12,12,12,542414000
2022-09-29,12,12,11,12,532763000
2022-09-30,12,12,12,12,565638000
2022-10-03,12,12,12,12,547478000
2022-10-04,12,13,12,13,584182000
2022-10-05,12,13,12,13,507131000
2022-10-06,13,13,13,13,644157000
2022-10-07,12,12,12,12,672478000
2022-10-10,12,12,11,11,698699000
2022-10-11,11,11,11,11,667482000
2022-10-12,11,11,11,11,492590000
2022-10-13,10,12,10,11,850103000
2022-10-14,12,12,11,11,713432000
2022-10-17,11,11,11,11,580774000
2022-10-18,12,12,11,11,659362000
2022-10-19,11,12,11,12,523131000
2022-10-20,12,12,12,12,652398000
2022-10-21,12,12,11,12,609494000
2022-10-24,12,12,12,12,517457000
2022-10-25,12,13,12,13,505482000
2022-10-26,12,13,12,12,532953000
2022-10-27,13,13,13,13,583113000
2022-10-28,13,13,13,13,521040000
2022-10-31,13,13,13,13,486341000
2022-11-01,13,13,13,13,432817000
2022-11-02,13,14,13,13,672628000
2022-11-03,13,13,12,13,500065000
2022-11-04,13,14,13,14,612576000
2022-11-07,14,14,13,14,410061000
2022-11-08,14,14,14,14,595292000
2022-11-09,14,14,13,13,454414000
