Date,Open,High,Low,Close,Volume
2022-01-03,54,54,53,54,2312600
2022-01-04,51,53,51,53,5726400
2022-01-05,52,52,51,51,2874400
2022-01-06,50,51,50,51,6665800
2022-01-07,50,50,50,50,7812400
2022-01-10,50,50,49,50,2980200
2022-01-11,50,50,49,50,2404400
2022-01-12,50,50,50,50,2445200
2022-01-13,50,50,49,49,1931200
2022-01-14,48,49,47,48,4927600
2022-01-18,47,48,47,48,2290000
2022-01-19,48,49,48,48,2052800
2022-01-20,47,48,47,47,4022400
2022-01-21,47,48,47,47,2700400
2022-01-24,46,47,45,47,5764800
2022-01-25,47,47,46,47,5165000
2022-01-26,47,47,46,46,3709000
2022-01-27,47,48,47,47,2640600
2022-01-28,47,48,47,48,1981400
2022-01-31,49,50,49,49,2890000
2022-02-01,50,51,50,51,4038200
2022-02-02,53,53,52,53,4395600
2022-02-03,52,52,51,52,3937800
2022-02-04,50,51,49,49,5665000
2022-02-07,50,51,50,50,2094800
2022-02-08,50,50,50,50,1945800
2022-02-09,52,53,52,52,2559600
2022-02-10,52,53,51,52,1889800
2022-02-11,50,50,49,49,3747400
2022-02-14,48,49,48,49,3157800
2022-02-15,50,51,50,50,1900000
2022-02-16,50,51,50,51,2010600
2022-02-17,51,51,51,51,1578200
2022-02-18,50,51,50,50,1177000
2022-02-22,49,50,49,49,1595200
2022-02-23,49,49,48,48,1413000
2022-02-24,47,49,47,49,2918600
2022-02-25,50,51,50,51,2675200
2022-02-28,51,51,50,51,2163000
2022-03-01,51,52,51,51,2104600
2022-03-02,51,52,51,52,2701400
2022-03-03,53,53,51,52,1861400
2022-03-04,50,52,50,52,2401400
2022-03-07,51,51,50,50,5455600
2022-03-08,51,52,50,51,7352800
2022-03-09,51,52,51,52,5377200
2022-03-10,51,52,51,52,4426000
2022-03-11,50,51,50,50,5354200
2022-03-14,51,51,50,50,1393000
2022-03-15,51,51,50,51,2286200
2022-03-16,52,53,52,53,2457800
2022-03-17,53,54,53,54,1684200
2022-03-18,54,55,54,55,2721400
2022-03-21,55,55,54,55,2305600
2022-03-22,54,55,54,54,1954200
2022-03-23,54,55,54,54,1622600
2022-03-24,53,54,53,54,1413000
2022-03-25,53,53,52,53,1527200
2022-03-28,53,53,53,53,1057800
2022-03-29,55,55,54,55,2005000
2022-03-30,55,56,55,56,2362400
2022-03-31,56,56,55,55,1668000
2022-04-01,55,56,55,56,1883000
2022-04-04,56,57,56,56,2961200
2022-04-05,57,57,57,57,2003800
2022-04-06,57,58,57,58,2827400
2022-04-07,59,61,59,60,4647800
2022-04-08,60,60,59,60,2578400
2022-04-11,60,60,59,60,5004400
2022-04-12,58,59,57,58,5920600
2022-04-13,59,59,58,59,2903200
2022-04-14,59,59,59,59,1771600
2022-04-18,58,59,57,58,1188200
2022-04-19,57,57,56,57,2391000
2022-04-20,57,58,57,57,1594000
2022-04-21,57,57,55,55,4305200
2022-04-22,56,56,55,55,2365800
2022-04-25,55,56,55,56,2668600
2022-04-26,55,56,54,54,2829000
2022-04-27,55,56,55,55,2137200
2022-04-28,53,55,53,55,3558200
2022-04-29,57,58,56,57,6458800
2022-05-02,56,57,56,56,3401200
2022-05-03,56,57,56,56,2393200
2022-05-04,56,57,55,56,3267600
2022-05-05,56,56,56,56,4392600
2022-05-06,55,56,55,55,5187400
2022-05-09,54,54,52,53,4423000
2022-05-10,53,54,53,53,2776400
2022-05-11,52,53,51,51,3516800
2022-05-12,52,52,51,52,4213000
2022-05-13,53,53,52,53,2968800
2022-05-16,51,52,51,51,3786400
2022-05-17,53,53,52,53,2363800
2022-05-18,52,52,51,51,1984400
2022-05-19,51,52,51,52,4347200
2022-05-20,53,54,53,53,4591400
2022-05-23,53,54,53,53,1647400
2022-05-24,54,54,53,53,1733200
2022-05-25,53,53,52,52,4474200
2022-05-26,52,53,52,53,1896000
2022-05-27,52,53,52,53,1824400
2022-05-31,55,55,54,55,4559000
2022-06-01,55,55,54,55,3973400
2022-06-02,55,56,55,56,2167200
2022-06-03,56,56,55,56,1410400
2022-06-06,56,56,55,56,2822400
2022-06-07,57,57,57,57,2156400
2022-06-08,57,58,57,57,2908200
2022-06-09,57,57,56,56,1787200
2022-06-10,55,56,55,55,2074600
2022-06-13,54,54,53,53,2128600
2022-06-14,53,53,52,53,2646400
2022-06-15,52,53,52,53,2834400
2022-06-16,52,53,52,52,2571000
2022-06-17,52,53,52,52,2408000
2022-06-21,54,54,53,53,1761400
2022-06-22,53,54,53,53,3375600
2022-06-23,53,54,53,54,4412800
2022-06-24,55,56,55,56,2870800
2022-06-27,56,56,56,56,1984800
