Date,Open,High,Low,Close,Volume
2022-01-03,259,259,256,259,192600
2022-01-04,261,271,261,269,691900
2022-01-05,268,268,262,262,278700
2022-01-06,262,263,259,261,302000
2022-01-07,257,258,254,257,276600
2022-01-10,252,254,249,254,586800
2022-01-11,251,254,250,254,331200
2022-01-12,256,259,256,258,240700
2022-01-13,256,257,250,251,251900
2022-01-14,246,247,242,245,346500
2022-01-18,238,239,236,236,326100
2022-01-19,241,242,237,239,448800
2022-01-20,240,243,236,236,293500
2022-01-21,234,235,231,232,391200
2022-01-24,227,231,221,231,476200
2022-01-25,225,229,224,226,385500
2022-01-26,228,232,224,226,406100
2022-01-27,225,225,220,221,400100
2022-01-28,222,226,221,226,280200
2022-01-31,225,232,225,230,818600
2022-02-01,233,235,231,235,551400
2022-02-02,237,239,235,238,551800
2022-02-03,232,235,229,229,288700
2022-02-04,227,231,226,230,268300
2022-02-07,225,228,224,225,577700
2022-02-08,221,228,220,227,578400
2022-02-09,231,234,231,233,345400
2022-02-10,225,229,224,224,443900
2022-02-11,222,223,216,218,773100
2022-02-14,217,219,216,218,433400
2022-02-15,224,226,223,224,357900
2022-02-16,223,224,221,224,241500
2022-02-17,225,225,220,220,196500
2022-02-18,221,222,219,220,256300
2022-02-22,217,219,214,216,344200
2022-02-23,221,221,215,215,301200
2022-02-24,204,215,204,215,732800
2022-02-25,212,215,210,213,460300
2022-02-28,212,218,211,215,376300
2022-03-01,214,215,207,208,357700
2022-03-02,208,211,208,210,321300
2022-03-03,211,211,203,203,341100
2022-03-04,200,201,196,198,753800
2022-03-07,195,195,181,183,941700
2022-03-08,186,188,178,181,1001300
2022-03-09,195,199,193,197,731900
2022-03-10,193,194,189,192,658200
2022-03-11,195,195,189,190,459500
2022-03-14,194,197,192,192,423600
2022-03-15,193,195,192,195,275800
2022-03-16,201,209,201,208,631900
2022-03-17,204,209,204,209,376200
2022-03-18,204,210,204,209,359500
2022-03-21,210,210,205,207,263500
2022-03-22,211,214,211,212,621500
2022-03-23,210,210,207,207,518900
2022-03-24,209,213,208,213,322800
2022-03-25,214,214,210,213,296700
2022-03-28,215,217,213,214,385400
2022-03-29,224,225,219,222,586500
2022-03-30,222,224,219,221,362500
2022-03-31,222,222,217,218,462800
2022-04-01,220,221,218,221,264600
2022-04-04,229,232,228,231,754700
2022-04-05,228,230,224,225,620100
2022-04-06,221,221,218,220,553800
2022-04-07,221,222,216,221,458800
2022-04-08,217,222,217,219,356400
2022-04-11,219,223,218,220,595200
