Date,Open,High,Low,Close,Volume
2022-01-03,50,50,50,50,963400
2022-01-04,49,49,49,49,1310000
2022-01-05,50,50,49,49,1189600
2022-01-06,50,50,49,49,907100
2022-01-07,50,50,50,50,1695400
2022-01-10,50,51,50,51,1885300
2022-01-11,50,51,50,51,1467800
2022-01-12,51,51,51,51,1522800
2022-01-13,51,51,50,50,1172100
2022-01-14,51,52,51,51,1980100
2022-01-18,52,52,51,52,1620600
2022-01-19,51,52,51,52,1088100
2022-01-20,52,52,52,52,2094400
2022-01-21,52,52,51,51,1556100
2022-01-24,50,50,49,50,2113400
2022-01-25,50,51,50,51,1412200
2022-01-26,51,52,51,51,2744800
2022-01-27,52,53,52,52,2448600
2022-01-28,52,52,52,52,1309000
2022-01-31,51,52,51,52,1557800
2022-02-01,51,51,51,51,1234100
2022-02-02,52,52,51,52,1159300
2022-02-03,52,52,51,52,1491500
2022-02-04,50,52,50,52,2891200
2022-02-07,52,53,52,53,3241300
2022-02-08,53,53,53,53,1798500
2022-02-09,53,53,53,53,1338400
2022-02-10,52,53,52,52,3182000
2022-02-11,53,53,52,52,3687400
2022-02-14,52,52,51,52,1244100
2022-02-15,52,53,52,53,1890100
2022-02-16,52,53,52,53,1778200
2022-02-17,52,53,52,52,1265800
2022-02-18,52,53,52,52,1448000
2022-02-22,51,52,51,52,918400
2022-02-23,53,53,52,52,1851500
2022-02-24,50,51,49,51,4110000
2022-02-25,52,53,52,53,1822900
2022-02-28,52,52,51,52,1265900
2022-03-01,51,51,50,51,1850000
2022-03-02,50,51,50,51,1856900
2022-03-03,50,50,49,50,3341000
2022-03-04,48,48,47,48,3394100
2022-03-07,48,48,48,48,3528900
2022-03-08,50,50,49,50,2329600
2022-03-09,51,52,50,51,2216000
2022-03-10,50,51,50,51,1226400
2022-03-11,51,51,50,50,1239000
2022-03-14,49,51,49,50,2949100
2022-03-15,51,51,50,51,1648300
2022-03-16,51,52,51,51,1588700
2022-03-17,51,52,51,52,1131600
2022-03-18,51,52,51,52,2048300
2022-03-21,51,51,50,50,2154900
2022-03-22,51,52,51,51,1064400
2022-03-23,51,51,51,51,2476300
2022-03-24,51,51,51,51,1079800
2022-03-25,51,51,51,51,2046200
2022-03-28,51,51,51,51,1360100
2022-03-29,51,51,50,51,2319400
2022-03-30,51,52,51,51,1857500
2022-03-31,51,51,51,51,1702200
2022-04-01,51,52,51,52,2026900
2022-04-04,51,52,51,52,1773000
2022-04-05,52,53,52,52,2511000
2022-04-06,53,54,53,54,2012800
2022-04-07,54,55,54,55,5275500
2022-04-08,55,57,55,56,4472000
2022-04-11,57,58,57,57,2516800
2022-04-12,56,56,55,55,2700300
2022-04-13,56,56,56,56,1799300
2022-04-14,55,55,55,55,1589700
2022-04-18,55,55,55,55,733800
2022-04-19,55,55,55,55,1201400
2022-04-20,55,55,54,55,4130200
2022-04-21,56,56,55,55,2423500
2022-04-22,55,55,54,54,1348000
2022-04-25,54,54,53,54,1884200
2022-04-26,53,54,53,53,1947200
2022-04-27,54,54,53,54,1922000
2022-04-28,52,54,52,54,3030900
2022-04-29,53,54,52,52,2657900
2022-05-02,52,53,52,53,2096300
2022-05-03,53,53,53,53,2990900
2022-05-04,51,52,51,52,2344500
2022-05-05,51,52,51,51,2403300
2022-05-06,51,52,51,51,2741200
2022-05-09,50,51,50,50,1865800
2022-05-10,51,52,51,52,4041600
2022-05-11,51,52,50,50,2593300
2022-05-12,50,51,50,51,3439100
2022-05-13,51,52,51,52,2022500
2022-05-16,52,52,51,52,1333700
2022-05-17,52,53,52,52,1750500
2022-05-18,53,53,52,52,1012800
