Date,Open,High,Low,Close,Volume
2013-01-02,10460,10639,10451,10604,3195
2013-01-03,10755,10755,10695,10721,963
2013-01-04,10713,10743,10559,10565,1178
2013-01-07,10553,10553,10375,10412,1691
2013-01-08,10351,10408,10296,10358,621
2013-01-09,10376,10376,10294,10299,46
2013-01-10,10266,10355,10188,10363,87
2013-01-11,10353,10353,10207,10219,1273
2013-01-14,10107,10107,10031,10068,1293
2013-01-15,10067,10067,9955,9964,124
2013-01-16,9954,9988,9948,9954,383
2013-01-17,9992,9992,9992,9997,509
2013-01-18,10008,10008,9915,9921,31317
2013-01-21,9968,9972,9950,9973,327
2013-01-22,9968,9968,9894,9899,144
2013-01-23,10016,10016,9902,9964,37406
2013-01-24,9906,10004,9855,9862,380
2013-01-25,9871,9876,9821,9875,313
2013-01-28,9875,9883,9829,9890,17032
2013-01-29,9927,9927,9894,9913,2683
2013-01-30,9981,9981,9885,9917,31507
2013-01-31,9921,9921,9837,9880,1155
2013-02-01,9836,9836,9704,9722,31595
2013-02-04,9778,9813,9755,9778,34
2013-02-05,9687,9687,9629,9633,352
2013-02-06,9629,9671,9588,9595,476
2013-02-07,9622,9622,9553,9566,619
2013-02-08,9622,9688,9622,9670,5696
2013-02-12,9638,9638,9638,9642,1
2013-02-13,9746,9929,9746,9938,301
2013-02-14,9990,10029,9981,10026,16836
2013-02-15,10016,10016,9972,9980,212
2013-02-18,9959,9959,9899,9904,4647
2013-02-19,9953,9953,9929,9938,202
2013-02-20,9969,10063,9969,10068,3478
2013-02-21,9990,9994,9899,9917,192
2013-02-22,9873,9929,9873,9904,280
2013-02-25,9947,9947,9924,9930,31350
2013-02-26,9768,9871,9768,9828,111583
2013-02-27,9801,9813,9696,9727,324
2013-02-28,9810,9883,9791,9890,5437
2013-03-04,9835,9835,9559,9566,3242
2013-03-05,9588,9648,9570,9611,613
2013-03-06,9675,9675,9539,9579,930
2013-03-07,9593,9593,9500,9552,117
2013-03-08,9588,9588,9500,9557,226
2013-03-11,9539,9551,9417,9458,28277
2013-03-12,9477,9549,9411,9427,5821
2013-03-13,9424,9523,9377,9415,1425
2013-03-14,9379,9443,9297,9364,644
2013-03-15,9406,9477,9325,9334,134
2013-03-18,9265,9281,9202,9209,895
2013-03-19,9244,9286,9217,9235,1550
2013-03-20,9163,9166,9087,9105,47056
2013-03-21,9175,9270,9163,9255,31122
2013-03-22,9174,9201,9094,9147,2909
2013-03-25,9164,9211,9120,9133,668600
2013-03-26,9164,9181,9085,9163,22586
2013-03-27,9190,9253,9132,9209,10772
2013-03-28,9239,9261,9139,9205,12737
2013-03-29,9248,9275,9181,9188,680594
2013-04-01,9178,9202,9121,9126,958
2013-04-02,9122,9130,8936,8978,955
2013-04-03,8962,8962,8848,8930,14699
2013-04-04,8857,8857,8701,8822,3301
2013-04-05,8733,8733,8541,8617,390
2013-04-08,8566,8698,8566,8703,1989
2013-04-09,8664,8714,8584,8675,1004
2013-04-10,8667,8771,8667,8774,679
2013-04-11,8733,8742,8617,8748,1561
2013-04-12,8714,8747,8416,8424,38205
2013-04-15,8408,8462,8298,8442,20048
2013-04-16,8274,8352,8260,8331,33198
2013-04-17,8317,8333,8197,8318,15088
2013-04-18,8310,8360,8285,8347,817
2013-04-19,8308,8434,8254,8385,336
2013-04-22,8462,8462,8319,8451,290
2013-04-23,8451,8451,8339,8347,134
2013-04-24,8453,8533,8416,8508,40945
2013-04-25,8558,8710,8558,8713,593
2013-04-26,8707,8709,8636,8640,4299
2013-04-29,8627,8627,8438,8510,613
2013-04-30,8577,8664,8559,8631,4223
2013-05-02,8628,8628,8542,8568,520
2013-05-03,8642,8642,8525,8573,536
2013-05-06,8734,8846,8734,8793,3211
