Date,Open,High,Low,Close,Volume
2013-01-02,24,24,23,24,2812000
2013-01-03,24,24,23,24,1941200
2013-01-04,23,24,23,24,1854800
2013-01-07,23,24,23,24,1932200
2013-01-08,23,24,23,24,1853800
2013-01-09,23,24,23,23,2471800
2013-01-10,24,24,24,24,3082800
2013-01-11,24,24,24,24,2101200
2013-01-14,24,24,24,24,3654800
2013-01-15,24,24,24,24,2426800
2013-01-16,24,24,24,24,2747000
2013-01-17,24,24,24,24,2218400
2013-01-18,24,24,24,24,1489000
2013-01-22,24,24,24,24,2693800
2013-01-23,24,24,24,24,3253400
2013-01-24,24,24,24,24,5453000
2013-01-25,24,25,24,25,3373400
2013-01-28,24,24,24,24,3424400
2013-01-29,24,25,24,25,2629800
2013-01-30,24,24,24,24,2824600
2013-01-31,23,24,23,24,8916000
2013-02-01,24,24,24,24,8044400
2013-02-04,23,24,23,23,4531200
2013-02-05,24,24,23,23,6043600
2013-02-06,23,24,23,24,4055200
2013-02-07,23,23,23,23,4199200
2013-02-08,23,23,23,23,2574200
2013-02-11,23,23,23,23,4217800
2013-02-12,23,23,23,23,7313200
2013-02-13,23,23,22,22,5801400
2013-02-14,22,22,22,22,3048800
2013-02-15,22,22,22,22,2927400
2013-02-19,22,22,22,22,4073200
2013-02-20,22,22,22,22,3995400
2013-02-21,22,22,22,22,3365200
2013-02-22,22,22,22,22,3389800
2013-02-25,22,22,22,22,6193600
2013-02-26,22,22,22,22,5020800
2013-02-27,22,22,22,22,3762000
2013-02-28,22,22,22,22,3444000
2013-03-01,22,22,22,22,2235000
2013-03-04,22,22,22,22,2440800
2013-03-05,22,23,22,23,2475600
2013-03-06,22,23,22,22,2973200
2013-03-07,22,22,22,22,2500400
2013-03-08,22,22,22,22,4474200
2013-03-11,22,22,22,22,4215600
2013-03-12,22,22,22,22,4388800
2013-03-13,22,22,22,22,2751600
2013-03-14,22,23,22,23,3754400
2013-03-15,23,23,23,23,2122200
2013-03-18,23,23,23,23,2917200
2013-03-19,23,23,23,23,3389400
2013-03-20,23,23,23,23,3457000
2013-03-21,23,23,23,23,10765600
2013-03-22,24,24,24,24,10048000
2013-03-25,24,24,24,24,7023800
2013-03-26,24,24,24,24,5555200
2013-03-27,24,24,24,24,3342200
2013-03-28,24,25,24,24,6603600
2013-04-01,24,25,24,25,3628600
2013-04-02,25,25,25,25,5328600
2013-04-03,25,25,24,24,3334400
2013-04-04,24,25,24,25,3103000
2013-04-05,25,25,25,25,5682800
2013-04-08,25,25,25,25,5984400
2013-04-09,25,25,25,25,4751400
2013-04-10,25,25,25,25,4929400
2013-04-11,25,25,25,25,4230000
2013-04-12,25,25,25,25,4140800
2013-04-15,25,25,25,25,4872800
2013-04-16,25,25,25,25,2695800
2013-04-17,25,25,25,25,8015800
2013-04-18,25,25,25,25,4374800
2013-04-19,25,25,25,25,2766400
2013-04-22,25,25,25,25,3935800
2013-04-23,25,25,25,25,3812800
2013-04-24,25,25,25,25,4376600
2013-04-25,25,25,25,25,5399000
2013-04-26,25,25,25,25,2982200
2013-04-29,25,26,25,26,2785400
2013-04-30,26,26,25,25,2088200
2013-05-01,25,26,25,25,2342400
2013-05-02,25,25,25,25,2195200
2013-05-03,26,26,25,26,3276000
2013-05-06,25,25,25,25,2193600
2013-05-07,25,25,25,25,2629000
2013-05-08,25,25,25,25,3221400
2013-05-09,25,25,25,25,1766400
2013-05-10,25,25,25,25,2319000
2013-05-13,25,25,25,25,2161400
2013-05-14,25,25,25,25,4235600
2013-05-15,25,25,25,25,4847400
2013-05-16,25,26,25,25,2697400
2013-05-17,25,25,25,25,5473600
2013-05-20,25,25,25,25,5988400
2013-05-21,25,25,25,25,3548200
2013-05-22,25,26,25,26,6270000
2013-05-23,25,26,25,26,3274000
2013-05-24,25,26,25,26,2648200
2013-05-28,26,26,26,26,3243800
2013-05-29,26,26,26,26,2644200
2013-05-30,26,26,26,26,2656000
2013-05-31,25,25,25,25,4249600
2013-06-03,25,25,25,25,2727600
2013-06-04,25,25,25,25,3063600
2013-06-05,25,25,25,25,4544000
2013-06-06,25,25,25,25,4183000
2013-06-07,25,25,25,25,4926200
2013-06-10,25,25,25,25,3971200
2013-06-11,25,25,25,25,4944400
2013-06-12,25,25,25,25,5092400
2013-06-13,25,25,25,25,3848800
2013-06-14,25,25,25,25,3021000
2013-06-17,25,25,25,25,3807800
2013-06-18,25,25,25,25,4225800
2013-06-19,25,25,25,25,2342200
2013-06-20,24,24,24,24,7253400
2013-06-21,24,24,23,24,5613800
2013-06-24,23,23,23,23,6638800
2013-06-25,23,23,23,23,4995000
2013-06-26,23,24,23,23,3293000
2013-06-27,24,24,23,23,2427800
2013-06-28,23,23,23,23,4429200
2013-07-01,23,24,23,23,4195400
2013-07-02,23,24,23,23,3120400
2013-07-03,23,24,23,23,2845200
2013-07-05,24,24,23,24,2368400
2013-07-08,24,24,24,24,3448600
2013-07-09,24,24,24,24,2687200
2013-07-10,24,24,24,24,2738200
2013-07-11,24,24,24,24,3096000
2013-07-12,24,24,24,24,1789400
2013-07-15,24,24,24,24,2727400
2013-07-16,24,24,24,24,2785000
2013-07-17,25,25,24,24,3744600
2013-07-18,25,25,25,25,3633800
2013-07-19,24,25,24,25,3041000
2013-07-22,25,25,25,25,2444000
2013-07-23,25,25,25,25,4860400
2013-07-24,25,25,25,25,3707800
2013-07-25,25,25,25,25,3159400
2013-07-26,25,25,24,25,2438000
2013-07-29,25,25,25,25,2195800
2013-07-30,25,25,25,25,1867200
2013-07-31,25,25,25,25,3819400
2013-08-01,25,25,25,25,3434200
2013-08-02,25,25,25,25,2625200
2013-08-05,25,25,25,25,2546800
2013-08-06,25,25,25,25,2638200
2013-08-07,25,25,24,25,3806200
2013-08-08,25,25,24,25,4689800
2013-08-09,25,25,25,25,2858000
2013-08-12,25,25,25,25,3766800
2013-08-13,25,25,25,25,3258600
2013-08-14,25,25,25,25,3495400
2013-08-15,24,24,24,24,8182000
2013-08-16,24,25,24,24,4581600
2013-08-19,24,25,24,24,3982800
2013-08-20,25,25,25,25,2805400
2013-08-21,25,25,24,24,2593000
2013-08-22,25,25,25,25,2164400
2013-08-23,25,25,25,25,1937400
2013-08-26,25,25,25,25,1536000
2013-08-27,25,25,25,25,2226600
2013-08-28,24,25,24,25,3223600
2013-08-29,24,24,24,24,2668000
2013-08-30,24,24,24,24,2378000
2013-09-03,24,24,24,24,2791000
2013-09-04,24,24,24,24,2130400
2013-09-05,24,24,24,24,2814000
2013-09-06,24,24,24,24,3956600
2013-09-09,24,24,24,24,2036600
2013-09-10,24,24,24,24,2839000
2013-09-11,24,26,24,25,5908800
2013-09-12,25,25,25,25,3878800
2013-09-13,25,25,25,25,2656800
2013-09-16,25,25,25,25,3562600
2013-09-17,25,25,25,25,2943200
2013-09-18,25,26,25,26,2730400
2013-09-19,26,26,25,25,2442400
2013-09-20,26,26,25,25,1963800
2013-09-23,25,25,25,25,2112000
2013-09-24,25,25,25,25,1997000
2013-09-25,25,25,25,25,1773400
2013-09-26,25,26,25,26,2135600
2013-09-27,25,25,25,25,2313800
2013-09-30,25,26,25,25,2922200
2013-10-01,26,26,25,25,2601800
2013-10-02,25,26,25,26,2105800
2013-10-03,26,26,25,25,2066800
2013-10-04,25,25,25,25,2172200
2013-10-07,25,25,25,25,3338200
2013-10-08,25,25,25,25,3251800
2013-10-09,24,25,24,24,3226400
2013-10-10,24,25,24,25,2410600
2013-10-11,25,25,25,25,3124800
2013-10-14,25,25,25,25,1548600
2013-10-15,25,25,25,25,2336800
2013-10-16,25,25,25,25,2047200
2013-10-17,25,25,25,25,1876400
2013-10-18,25,25,25,25,1234800
2013-10-21,25,25,25,25,1188800
2013-10-22,25,25,25,25,1239600
2013-10-23,25,26,25,26,1816000
2013-10-24,26,26,25,25,2945600
2013-10-25,26,26,26,26,2401800
2013-10-28,26,26,26,26,3000000
2013-10-29,26,26,26,26,1350200
2013-10-30,26,26,26,26,3965800
2013-10-31,26,26,26,26,3296000
2013-11-01,26,26,26,26,4067400
2013-11-04,26,26,26,26,2395600
2013-11-05,26,26,26,26,2105400
2013-11-06,26,26,26,26,1294000
2013-11-07,26,26,26,26,1921200
2013-11-08,26,26,26,26,2110600
2013-11-11,26,26,26,26,7071600
2013-11-12,26,26,26,26,4817200
2013-11-13,26,26,26,26,4747000
2013-11-14,26,26,26,26,2599200
2013-11-15,26,26,26,26,1648600
2013-11-18,26,26,26,26,2401800
2013-11-19,26,26,26,26,1847000
2013-11-20,26,26,26,26,1334200
2013-11-21,27,27,27,27,5118400
2013-11-22,27,28,27,27,5625800
2013-11-25,27,27,27,27,2266600
2013-11-26,27,27,27,27,3324600
2013-11-27,27,27,27,27,3028000
2013-11-29,28,28,28,28,4661400
2013-12-02,28,28,28,28,5575000
2013-12-03,28,28,28,28,7952600
2013-12-04,28,28,28,28,4180200
2013-12-05,28,28,28,28,9013400
2013-12-06,28,28,28,28,3105200
2013-12-09,28,28,28,28,5263600
2013-12-10,28,28,28,28,2499600
2013-12-11,28,28,28,28,2370000
2013-12-12,28,28,28,28,3674000
2013-12-13,28,28,28,28,3465600
2013-12-16,28,28,28,28,4625200
2013-12-17,28,28,28,28,6072600
2013-12-18,29,29,28,29,9595600
2013-12-19,29,29,29,29,10566200
2013-12-20,29,29,29,29,9034200
2013-12-23,29,29,29,29,3824000
2013-12-24,29,29,29,29,1380400
2013-12-26,29,29,29,29,1423200
2013-12-27,29,29,29,29,2331600
2013-12-30,29,29,29,29,4036600
2013-12-31,29,29,29,29,1244200
2014-01-02,29,29,29,29,2026000
2014-01-03,29,29,29,29,1841400
2014-01-06,29,29,29,29,1931200
2014-01-07,29,29,29,29,2772200
2014-01-08,29,29,29,29,4639400
2014-01-09,29,29,29,29,3495200
2014-01-10,29,30,29,30,5064400
2014-01-13,29,30,29,29,3226000
2014-01-14,30,31,30,31,8026600
2014-01-15,31,31,31,31,4957400
2014-01-16,31,31,31,31,4055600
2014-01-17,31,31,31,31,4204600
2014-01-21,32,32,32,32,10410000
2014-01-22,32,32,32,32,5875200
2014-01-23,32,32,32,32,5519800
2014-01-24,32,32,31,32,14172400
2014-01-27,32,32,31,31,7121800
2014-01-28,31,32,31,32,4474400
2014-01-29,31,31,31,31,2285000
2014-01-30,31,32,31,32,3501000
2014-01-31,31,31,31,31,2840800
2014-02-03,31,31,31,31,3806400
2014-02-04,31,31,31,31,2320800
2014-02-05,31,31,31,31,4473800
2014-02-06,31,31,30,31,6778600
2014-02-07,31,31,31,31,3548600
2014-02-10,32,32,31,32,3242200
2014-02-11,32,32,32,32,3281600
2014-02-12,32,33,32,33,2645400
2014-02-13,33,33,33,33,4215800
2014-02-14,33,34,33,33,12092800
2014-02-18,34,34,33,34,15014000
