Date,Open,High,Low,Close,Volume
2019-03-20,52,53,49,49,2350800
2019-03-21,49,50,48,48,1764700
2019-03-22,48,49,48,48,844700
2019-03-25,48,49,48,49,440900
2019-03-26,49,49,48,48,504700
2019-03-27,49,50,49,50,1788600
2019-03-28,50,51,49,50,585400
2019-03-29,49,52,49,51,1769000
2019-04-01,52,54,51,53,19663400
2019-04-02,55,57,54,56,17414200
2019-04-03,57,57,55,56,15066200
2019-04-04,57,60,57,59,13309200
2019-04-05,58,58,56,57,17000800
2019-04-08,56,58,56,57,10764600
2019-04-09,56,57,56,56,9179900
2019-04-10,55,56,55,55,9081900
2019-04-11,55,56,54,54,7346100
2019-04-12,55,58,55,58,9281700
2019-04-15,58,58,57,57,5727300
2019-04-16,58,58,57,58,6681600
2019-04-17,58,59,58,58,6420700
2019-04-18,58,58,57,57,5178800
2019-04-22,57,58,57,57,4401700
2019-04-23,57,57,57,57,5687200
2019-04-24,57,57,55,55,5431300
2019-04-25,55,55,54,55,6260500
2019-04-26,55,55,54,55,4009800
2019-04-29,55,55,54,55,5935200
2019-04-30,55,57,55,56,6454100
2019-05-01,56,57,55,56,7644400
2019-05-02,55,56,52,52,13932700
2019-05-03,53,53,51,53,7401700
2019-05-06,52,54,51,53,6089500
2019-05-07,52,53,52,52,7330800
2019-05-08,53,53,52,52,5390700
2019-05-09,52,53,51,52,4579700
2019-05-10,52,53,52,53,4758100
2019-05-13,52,52,50,50,4213100
2019-05-14,51,53,50,52,4204500
2019-05-15,51,53,51,52,2928700
2019-05-16,53,53,52,52,3689700
2019-05-17,52,52,50,50,4440800
2019-05-20,50,50,49,50,5168400
2019-05-21,50,51,50,50,4968400
2019-05-22,50,50,49,50,3019100
2019-05-23,49,49,48,48,4919200
2019-05-24,49,49,48,49,2918900
2019-05-28,49,49,48,48,6613000
2019-05-29,48,49,48,48,3525900
2019-05-30,48,48,48,48,3777600
2019-05-31,47,48,46,46,3396900
2019-06-03,46,47,46,47,5905200
2019-06-04,48,49,48,49,7043000
2019-06-05,50,50,49,50,6413300
2019-06-06,50,51,50,51,6228100
2019-06-07,51,51,50,51,5391100
2019-06-10,51,52,51,51,5434400
2019-06-11,52,52,51,52,5144300
2019-06-12,52,52,51,52,3103900
2019-06-13,52,52,52,52,4179800
2019-06-14,52,52,51,51,3919300
2019-06-17,50,50,49,49,5787300
2019-06-18,49,50,49,49,5014200
2019-06-19,49,50,48,48,5404000
2019-06-20,49,49,48,48,4228300
2019-06-21,48,49,48,48,9478500
2019-06-24,48,49,48,49,4602300
2019-06-25,49,50,49,49,4005200
2019-06-26,49,51,49,50,5244400
2019-06-27,50,51,50,50,4097200
2019-06-28,51,51,49,49,6507400
2019-07-01,50,50,49,50,4641700
2019-07-02,50,50,48,49,4725800
2019-07-03,49,49,49,49,2479400
2019-07-05,49,49,48,49,2529800
2019-07-08,49,49,48,48,5936000
2019-07-09,48,48,47,47,4967400
2019-07-10,48,48,47,47,3507400
2019-07-11,47,48,47,47,4202000
2019-07-12,48,50,48,49,4328400
2019-07-15,49,50,49,50,4923800
2019-07-16,50,52,50,52,6011200
2019-07-17,52,52,51,51,4417500
2019-07-18,51,52,51,51,3620300
2019-07-19,51,51,51,51,3221500
2019-07-22,51,51,50,50,2814900
2019-07-23,51,52,50,52,4387700
2019-07-24,52,52,52,52,3516400
2019-07-25,51,51,50,50,4254600
2019-07-26,50,50,48,49,5066000
2019-07-29,48,48,47,48,4219800
2019-07-30,47,48,47,48,4194300
2019-07-31,48,49,47,48,5188500
2019-08-01,48,48,46,46,5803200
2019-08-02,46,47,45,45,5346400
2019-08-05,45,45,44,44,5147300
2019-08-06,45,45,43,44,4702800
2019-08-07,44,45,43,44,4490100
2019-08-08,45,46,45,46,4573400
2019-08-09,46,46,46,46,4468000
2019-08-12,46,46,45,45,4491600
2019-08-13,45,47,45,46,5407300
2019-08-14,45,46,44,44,6178300
2019-08-15,44,44,42,43,3494600
2019-08-16,43,44,42,44,4586000
2019-08-19,45,45,45,45,3615500
2019-08-20,45,45,43,43,5972800
2019-08-21,43,44,43,43,4397800
2019-08-22,43,43,42,42,6072100
2019-08-23,42,42,40,40,6696800
2019-08-26,41,41,40,40,3402400
2019-08-27,41,41,40,41,4152200
2019-08-28,41,42,40,42,4539300
2019-08-29,42,43,42,42,3292500
2019-08-30,42,43,42,42,4099200
2019-09-03,42,42,41,41,3343300
2019-09-04,42,42,41,42,2651400
2019-09-05,43,43,43,43,4041400
2019-09-06,43,43,42,43,3217900
2019-09-09,43,44,43,44,3848000
2019-09-10,45,46,44,46,4704000
2019-09-11,46,47,45,46,4445000
2019-09-12,47,47,45,46,3649700
2019-09-13,47,48,47,48,4027600
2019-09-16,48,49,48,49,5040600
2019-09-17,48,49,47,48,3741900
2019-09-18,47,47,47,47,2588200
2019-09-19,48,48,47,47,2418300
2019-09-20,47,48,47,48,10570400
2019-09-23,47,48,47,47,3599400
2019-09-24,47,48,45,46,4515300
2019-09-25,46,47,46,47,4396200
2019-09-26,47,47,46,47,2994200
2019-09-27,47,47,47,47,3722300
2019-09-30,47,47,47,47,2512200
2019-10-01,47,48,45,45,3838400
2019-10-02,44,45,44,44,4759500
2019-10-03,44,45,44,45,3422400
2019-10-04,45,45,45,45,3512300
2019-10-07,45,45,44,45,2977900
2019-10-08,44,45,43,43,2985900
