Date,Open,High,Low,Close,Volume
2013-01-02,131,131,129,131,4449000
2013-01-03,131,131,130,130,4584600
2013-01-04,130,134,130,134,5234600
2013-01-07,134,134,132,134,3556900
2013-01-08,133,133,132,133,2760200
2013-01-09,133,134,133,134,3666500
2013-01-10,135,138,134,137,5960700
2013-01-11,137,137,136,137,3211700
2013-01-14,137,137,135,136,2855800
2013-01-15,135,137,135,135,4322800
2013-01-16,138,141,137,141,10650800
2013-01-17,140,141,139,141,6596000
2013-01-18,141,144,141,144,7349000
2013-01-22,144,146,143,145,5158400
2013-01-23,145,145,144,145,3948700
2013-01-24,145,146,144,144,4638200
2013-01-25,144,145,143,144,4639400
2013-01-28,144,145,143,144,3045600
2013-01-29,144,147,143,147,4519800
2013-01-30,146,147,145,147,4083100
2013-01-31,146,148,146,147,3680900
2013-02-01,148,150,147,149,4563800
2013-02-04,148,148,146,147,4679400
2013-02-05,148,150,148,150,4219200
2013-02-06,149,151,149,151,3940600
2013-02-07,150,152,149,150,4890800
2013-02-08,150,151,150,151,3612300
2013-02-11,151,152,150,152,3751400
2013-02-12,152,154,151,154,4309000
2013-02-13,154,154,153,154,4369100
2013-02-14,153,156,153,155,5035800
2013-02-15,156,156,154,154,4254400
2013-02-19,155,159,155,158,5103400
2013-02-20,158,158,154,155,5029700
2013-02-21,153,153,149,150,8318000
2013-02-22,152,154,152,154,4772700
2013-02-25,155,155,147,147,6294200
2013-02-26,148,149,146,148,5686600
2013-02-27,147,152,147,151,4695000
2013-02-28,151,152,149,149,4956000
2013-03-01,148,151,147,150,4538400
2013-03-04,150,152,149,152,3209200
2013-03-05,153,154,152,152,4589300
2013-03-06,154,155,152,154,3593200
2013-03-07,154,157,154,156,3886300
2013-03-08,155,156,152,152,6615000
2013-03-11,152,154,152,153,3586400
2013-03-12,153,153,150,151,3432200
2013-03-13,152,152,150,151,3356400
2013-03-14,152,154,152,154,3886600
2013-03-15,151,155,151,154,7301200
2013-03-18,152,153,150,151,3788100
2013-03-19,152,153,147,148,4726900
2013-03-20,150,151,149,150,2883800
2013-03-21,149,150,145,145,4704000
2013-03-22,146,147,145,146,3456800
2013-03-25,147,148,144,146,3775400
2013-03-26,148,148,144,146,3860400
2013-03-27,145,148,145,147,3964800
2013-03-28,148,149,147,147,3701300
2013-04-01,146,148,144,146,2581100
2013-04-02,145,147,144,146,3374100
2013-04-03,146,146,142,143,4373300
2013-04-04,143,144,142,142,3423800
2013-04-05,140,143,140,143,3864300
2013-04-08,143,144,141,143,2908700
2013-04-09,144,147,144,146,3262800
2013-04-10,147,149,147,149,3127600
2013-04-11,149,150,148,149,2951800
2013-04-12,148,149,147,149,3131400
2013-04-15,148,151,145,146,5554900
2013-04-16,148,148,142,144,8274400
2013-04-17,142,143,138,140,6361500
2013-04-18,140,140,137,138,4819700
