Date,Open,High,Low,Close,Volume
2013-01-02,21,21,21,21,47623000
2013-01-03,21,21,21,21,41054100
2013-01-04,21,21,21,21,30142500
2013-01-07,21,21,21,21,36352100
2013-01-08,21,21,21,21,48672000
2013-01-09,21,21,21,21,34290000
2013-01-10,21,21,21,21,44621600
2013-01-11,21,22,21,22,44944700
2013-01-14,21,22,21,22,35724500
2013-01-15,21,22,21,21,33990300
2013-01-16,21,22,21,22,36763700
2013-01-17,22,23,22,22,101020600
2013-01-18,21,21,21,21,143760400
2013-01-22,21,21,21,21,51127400
2013-01-23,21,21,21,21,42432300
2013-01-24,21,21,20,20,58396800
2013-01-25,21,21,20,20,107632800
2013-01-28,21,21,20,21,105398300
2013-01-29,21,21,21,21,105703100
2013-01-30,21,21,21,21,34151300
2013-01-31,21,21,21,21,36534100
2013-02-01,21,21,21,21,31867100
2013-02-04,21,21,21,21,38345600
2013-02-05,21,21,21,21,30076500
2013-02-06,21,21,20,20,32361000
2013-02-07,20,20,20,20,41015200
2013-02-08,20,21,20,21,28150100
2013-02-11,21,21,20,21,18897200
2013-02-12,21,21,20,21,28391400
2013-02-13,21,21,21,21,21267200
2013-02-14,21,21,21,21,35262200
2013-02-15,21,21,20,21,33809100
2013-02-19,21,21,21,21,31061600
2013-02-20,21,21,20,20,46119800
2013-02-21,20,20,20,20,60754500
2013-02-22,20,20,20,20,34534800
2013-02-25,20,20,20,20,41525600
2013-02-26,20,20,20,20,67247100
2013-02-27,20,21,20,20,46966600
2013-02-28,20,21,20,20,34808000
2013-03-01,20,21,20,21,45695700
2013-03-04,21,21,20,21,47545800
2013-03-05,21,21,21,21,38796400
2013-03-06,21,21,21,21,37188900
2013-03-07,21,21,21,21,42380000
2013-03-08,21,22,21,21,44990500
2013-03-11,21,21,21,21,42148200
2013-03-12,21,21,21,21,28617300
2013-03-13,21,21,21,21,24617400
2013-03-14,21,21,21,21,28836500
2013-03-15,21,21,21,21,52949600
2013-03-18,21,21,21,21,35154400
2013-03-19,21,21,21,21,42546000
2013-03-20,21,21,21,21,29919000
2013-03-21,21,21,20,21,32607200
2013-03-22,21,21,21,21,30803200
2013-03-25,21,21,21,21,32740700
2013-03-26,21,21,21,21,39548500
