Date,Open,High,Low,Close,Volume
2015-07-06,71,74,71,72,3809700
2015-07-07,73,74,72,74,5794300
2015-07-08,74,75,74,75,4276600
2015-07-09,76,77,74,74,4267100
2015-07-10,75,77,75,77,4983000
2015-07-13,79,79,77,78,9078900
2015-07-14,79,79,77,78,18746100
2015-07-15,77,78,76,76,6330500
2015-07-16,76,78,76,78,5634100
2015-07-17,79,79,77,79,6100900
2015-07-20,79,81,79,80,10284500
2015-07-21,79,80,79,80,6088600
2015-07-22,80,80,78,78,5201200
2015-07-23,78,78,76,76,2975400
2015-07-24,76,77,75,76,3116000
2015-07-27,76,77,76,77,5774300
2015-07-28,78,78,77,78,1895900
2015-07-29,78,78,77,77,2278600
2015-07-30,78,79,77,79,3247000
2015-07-31,79,79,78,79,2685500
2015-08-03,80,81,79,80,2681800
2015-08-04,80,81,79,79,2429600
2015-08-05,80,81,79,80,4324300
2015-08-06,81,81,79,79,3708600
2015-08-07,79,79,77,78,3274100
2015-08-10,79,79,78,78,3252300
2015-08-11,77,80,77,77,3889100
2015-08-12,77,78,76,76,3688800
2015-08-13,77,77,75,75,2917500
2015-08-14,76,76,75,76,2572800
2015-08-17,75,76,75,75,2260300
2015-08-18,75,75,75,75,2009700
2015-08-19,75,75,73,74,3025700
2015-08-20,74,74,73,74,2207000
2015-08-21,73,74,72,72,5564500
2015-08-24,68,72,61,70,9844600
2015-08-25,71,72,70,70,4423400
2015-08-26,71,74,69,73,5356300
2015-08-27,73,75,73,75,5937800
2015-08-28,74,75,73,74,2150100
2015-08-31,74,74,72,72,2688400
2015-09-01,71,72,69,70,4671400
2015-09-02,70,72,70,72,2986500
2015-09-03,72,73,71,72,2595300
2015-09-04,71,71,70,70,2997000
2015-09-08,71,74,70,74,4450700
2015-09-09,74,74,71,72,2936400
2015-09-10,72,73,71,72,3619700
2015-09-11,72,73,71,73,2146700
2015-09-14,73,74,72,74,2927400
2015-09-15,74,75,73,75,3393300
2015-09-16,75,76,74,76,2302800
2015-09-17,76,77,76,76,3142600
2015-09-18,75,76,75,75,7231700
2015-09-21,75,76,74,75,3256300
2015-09-22,74,74,73,74,2628700
2015-09-23,74,74,73,73,3713200
2015-09-24,73,73,71,72,4416100
2015-09-25,73,73,72,73,3517000
2015-09-28,72,73,69,69,5006600
2015-09-29,70,70,68,69,3870900
2015-09-30,69,70,69,70,3132800
2015-10-01,71,71,69,70,2519700
2015-10-02,70,71,69,71,2593100
2015-10-05,72,73,71,72,6323500
2015-10-06,72,73,71,72,2760200
2015-10-07,72,73,72,73,2325200
2015-10-08,73,74,72,74,2239700
2015-10-09,74,75,73,74,2938100
2015-10-12,74,74,73,73,2081100
2015-10-13,73,73,73,73,2147500
2015-10-14,73,74,73,73,1956800
2015-10-15,74,75,73,75,2135700
2015-10-16,75,78,74,77,3435200
2015-10-19,76,77,76,76,1951900
2015-10-20,76,77,76,76,1922100
2015-10-21,77,77,76,77,2370100
2015-10-22,77,79,77,79,3951700
2015-10-23,79,79,77,77,3179000
2015-10-26,78,78,76,76,2563800
2015-10-27,76,77,76,77,2435200
2015-10-28,77,79,76,79,2382000
2015-10-29,78,78,77,78,1788500
2015-10-30,78,78,77,77,2053000
2015-11-02,78,78,77,78,1536500
2015-11-03,77,78,75,76,4489800
2015-11-04,76,76,75,75,2630400
2015-11-05,76,76,74,75,3347200
2015-11-06,73,74,71,72,8819900
2015-11-09,72,72,70,71,4231000
2015-11-10,71,72,71,72,3470400
2015-11-11,72,72,71,72,3537300
2015-11-12,71,71,70,70,3931500
2015-11-13,70,71,70,70,3008000
2015-11-16,71,72,70,71,2398400
2015-11-17,72,72,70,71,4247400
2015-11-18,71,73,71,72,3780200
2015-11-19,73,73,72,73,2828700
2015-11-20,74,75,73,73,4003200
2015-11-23,74,74,73,74,2706000
2015-11-24,73,74,73,74,2863900
2015-11-25,74,74,73,74,2384100
2015-11-27,74,75,74,74,777300
2015-11-30,74,74,73,73,4200100
2015-12-01,74,75,73,74,3749300
2015-12-02,74,74,72,73,2568600
2015-12-03,73,73,71,71,3019000
2015-12-04,71,72,71,72,4495900
2015-12-07,71,72,70,71,3323600
2015-12-08,71,71,70,71,4519800
2015-12-09,71,72,70,70,3940800
2015-12-10,70,71,70,70,2733700
2015-12-11,70,70,69,69,3756000
2015-12-14,70,71,69,70,3881600
2015-12-15,71,72,71,72,4168700
2015-12-16,72,73,71,73,2176900
2015-12-17,72,73,71,71,2402700
2015-12-18,71,71,70,70,6568300
2015-12-21,70,71,70,71,5466900
2015-12-22,71,73,71,72,5053300
2015-12-23,73,74,72,74,4193400
2015-12-24,74,74,73,73,1962500
2015-12-28,73,73,72,73,5421800
2015-12-29,73,74,73,74,4350900
2015-12-30,74,74,73,73,1779900
2015-12-31,73,73,72,72,1857100
2016-01-04,71,72,71,72,5209400
2016-01-05,72,73,72,73,3858200
2016-01-06,72,73,72,73,3294700
2016-01-07,72,72,71,71,4050300
2016-01-08,72,72,71,71,3092100
2016-01-11,71,72,70,72,3329000
2016-01-12,72,73,72,73,2924600
2016-01-13,73,73,70,70,3448500
2016-01-14,70,71,70,70,4610600
2016-01-15,68,70,68,69,6551200
2016-01-19,70,70,69,70,5107100
2016-01-20,69,71,68,71,4607000
2016-01-21,72,73,71,73,6208200
2016-01-22,73,74,72,74,3111700
2016-01-25,73,74,73,74,4123100
2016-01-26,73,76,73,75,3851300
2016-01-27,75,77,75,75,5348200
2016-01-28,76,76,75,76,3542400
2016-01-29,76,78,76,78,4508200
2016-02-01,77,77,75,77,3564200
2016-02-02,75,76,75,75,5631600
2016-02-03,76,76,73,74,6239700
2016-02-04,75,75,72,74,7077100
2016-02-05,74,74,72,72,9351600
2016-02-08,72,72,70,71,4704600
2016-02-09,70,71,70,71,4616900
2016-02-10,72,73,71,72,2520100
2016-02-11,70,71,70,71,3041500
2016-02-12,72,72,71,71,2985800
2016-02-16,72,73,71,72,3852100
2016-02-17,73,74,72,74,3628100
2016-02-18,74,74,73,73,2755200
2016-02-19,72,73,72,73,4333500
2016-02-22,74,74,72,73,2916700
2016-02-23,73,73,72,72,2805600
2016-02-24,72,73,71,72,3526500
2016-02-25,73,74,73,74,4962300
2016-02-26,78,78,76,77,10319700
2016-02-29,77,78,76,77,4885500
2016-03-01,77,77,76,77,5445500
2016-03-02,77,77,76,77,5075800
2016-03-03,77,77,76,77,3239900
2016-03-04,77,77,76,77,3677800
2016-03-07,77,77,76,76,2574800
2016-03-08,76,77,75,76,2783700
2016-03-09,76,77,75,76,2631300
2016-03-10,76,77,75,76,2107200
2016-03-11,77,77,76,76,2342700
2016-03-14,76,77,76,77,2278300
2016-03-15,77,77,76,77,2924700
2016-03-16,77,78,76,78,3400000
2016-03-17,77,78,76,78,4506000
2016-03-18,78,78,76,77,9081000
2016-03-21,76,77,76,76,3203400
2016-03-22,76,77,76,76,2615600
2016-03-23,76,77,76,76,2295800
2016-03-24,76,77,75,76,3356700
2016-03-28,76,77,76,77,3581800
2016-03-29,77,78,77,78,3907400
2016-03-30,78,79,78,78,3339900
2016-03-31,78,78,78,78,3400300
2016-04-01,78,79,78,79,3418200
2016-04-04,78,79,78,78,3495200
2016-04-05,78,78,77,78,2679600
2016-04-06,78,78,77,78,2421900
2016-04-07,78,78,77,77,3216400
2016-04-08,77,78,77,78,2139000
2016-04-11,78,79,77,77,2894800
2016-04-12,78,78,77,78,2348300
2016-04-13,78,78,77,77,3246400
2016-04-14,77,77,76,77,3150500
2016-04-15,77,78,77,78,3042200
2016-04-18,77,78,77,78,2207300
2016-04-19,78,78,77,78,2591200
2016-04-20,78,78,77,77,1867400
2016-04-21,77,77,76,76,2110700
2016-04-22,76,78,76,78,2409800
2016-04-25,77,78,77,78,2323800
2016-04-26,78,79,78,78,2315700
2016-04-27,79,79,77,79,2249600
2016-04-28,78,79,78,78,1962600
2016-04-29,77,78,77,78,3208700
2016-05-02,78,80,78,79,3700700
2016-05-03,79,79,78,78,2508200
2016-05-04,78,80,78,79,4687000
2016-05-05,82,84,82,82,8629300
2016-05-06,82,84,81,84,3993600
2016-05-09,84,84,83,84,3272300
2016-05-10,84,86,84,86,3593700
2016-05-11,85,86,85,85,2824500
2016-05-12,85,86,85,86,2427500
2016-05-13,86,86,84,85,2857300
2016-05-16,85,86,85,85,2061900
2016-05-17,85,86,81,82,7395100
2016-05-18,81,82,80,81,8695600
2016-05-19,80,83,80,83,3932800
2016-05-20,82,82,81,82,2720100
2016-05-23,82,83,82,82,1996900
2016-05-24,83,84,82,84,2385600
2016-05-25,83,84,83,84,2563100
2016-05-26,84,84,83,83,2424000
