Date,Open,High,Low,Close,Volume
2013-01-02,36,37,36,37,21872400
2013-01-03,37,37,37,37,16357900
2013-01-04,37,37,37,37,15311300
2013-01-07,37,37,37,37,14610200
2013-01-08,37,37,36,37,14324300
2013-01-09,37,37,36,37,10563700
2013-01-10,37,37,36,36,15603700
2013-01-11,36,36,36,36,15644800
2013-01-14,36,37,36,36,11001500
2013-01-15,36,37,36,37,12721600
2013-01-16,37,37,37,37,9168000
2013-01-17,37,37,37,37,12121800
2013-01-18,37,37,37,37,14056100
2013-01-22,37,37,37,37,21249400
2013-01-23,37,37,37,37,13570200
2013-01-24,37,37,37,37,13258900
2013-01-25,37,37,36,37,14040700
2013-01-28,37,37,36,37,13386500
2013-01-29,36,37,36,37,17705800
2013-01-30,37,37,37,37,13219400
2013-01-31,37,37,37,37,12969100
2013-02-01,37,37,37,37,11932600
2013-02-04,37,37,37,37,9456300
2013-02-05,37,38,37,38,17897300
2013-02-06,38,38,38,38,16823700
2013-02-07,38,39,38,38,18805300
2013-02-08,38,38,38,38,12308000
2013-02-11,38,38,38,38,12159900
2013-02-12,38,38,37,37,30700500
2013-02-13,37,37,37,37,19943800
2013-02-14,37,37,36,36,22748600
2013-02-15,36,37,36,37,25204300
2013-02-19,37,37,37,37,14850600
2013-02-20,37,37,37,37,12949300
2013-02-21,37,37,37,37,14135100
2013-02-22,37,38,37,38,20102800
2013-02-25,38,38,37,37,15874600
2013-02-26,37,38,37,38,15770000
2013-02-27,38,38,37,38,14271100
2013-02-28,38,38,38,38,19005500
2013-03-01,38,38,38,38,13724500
2013-03-04,38,38,38,38,9934300
2013-03-05,38,39,38,38,13240700
2013-03-06,38,39,38,39,11653900
2013-03-07,39,39,38,39,15094900
2013-03-08,39,39,39,39,11183600
2013-03-11,39,39,39,39,9200400
2013-03-12,39,39,38,38,11375900
2013-03-13,38,38,38,38,14358300
2013-03-14,38,39,38,39,14572500
2013-03-15,38,38,38,38,20781900
2013-03-18,38,38,38,38,11479900
2013-03-19,38,39,38,39,15192000
2013-03-20,39,39,39,39,19271900
2013-03-21,39,40,39,40,23063600
2013-03-22,39,40,39,40,16128500
2013-03-25,40,40,39,40,15718400
2013-03-26,40,40,40,40,13666500
2013-03-27,40,40,40,40,14559900
2013-03-28,40,40,40,40,14227200
2013-04-01,40,40,40,40,8200500
2013-04-02,40,40,40,40,13359200
2013-04-03,40,40,40,40,13639200
2013-04-04,40,40,40,40,11435900
2013-04-05,40,40,40,40,10729500
2013-04-08,40,40,39,40,22757900
2013-04-09,40,41,40,40,21056100
2013-04-10,40,41,40,41,9703700
2013-04-11,41,41,41,41,10962500
2013-04-12,40,41,40,41,10394700
2013-04-15,40,40,40,40,16050600
2013-04-16,41,42,41,42,32135700
2013-04-17,42,42,42,42,24208000
2013-04-18,42,42,42,42,16034200
2013-04-19,42,42,42,42,13875800
2013-04-22,42,42,42,42,10544100
2013-04-23,42,42,42,42,11216200
2013-04-24,42,42,42,42,11368200
2013-04-25,42,42,42,42,10197100
2013-04-26,42,42,42,42,15159800
2013-04-29,42,42,41,42,11311100
2013-04-30,42,42,41,42,13432200
