Date,Open,High,Low,Close,Volume
2013-01-02,0,0,0,0,478836000
2013-01-03,0,0,0,0,298888000
2013-01-04,0,0,0,0,524968000
2013-01-07,0,0,0,0,610732000
2013-01-08,0,0,0,0,466424000
2013-01-09,0,0,0,0,695020000
2013-01-10,0,0,0,0,506368000
2013-01-11,0,0,0,0,513172000
2013-01-14,0,0,0,0,305684000
2013-01-15,0,0,0,0,375888000
2013-01-16,0,0,0,0,337376000
2013-01-17,0,0,0,0,580736000
2013-01-18,0,0,0,0,397088000
2013-01-22,0,0,0,0,308224000
2013-01-23,0,0,0,0,421808000
2013-01-24,0,0,0,0,396980000
2013-01-25,0,0,0,0,393920000
2013-01-28,0,0,0,0,422492000
2013-01-29,0,0,0,0,388872000
2013-01-30,0,0,0,0,287592000
2013-01-31,0,0,0,0,470544000
2013-02-01,0,0,0,0,288816000
2013-02-04,0,0,0,0,511744000
2013-02-05,0,0,0,0,367296000
2013-02-06,0,0,0,0,530688000
2013-02-07,0,0,0,0,440000000
2013-02-08,0,0,0,0,307232000
2013-02-11,0,0,0,0,408308000
2013-02-12,0,0,0,0,277804000
2013-02-13,0,0,0,0,856396000
2013-02-14,0,0,0,0,882096000
2013-02-15,0,0,0,0,733860000
2013-02-19,0,0,0,0,433552000
2013-02-20,0,0,0,0,713012000
2013-02-21,0,0,0,0,580408000
2013-02-22,0,0,0,0,370148000
2013-02-25,0,0,0,0,644444000
2013-02-26,0,0,0,0,487504000
2013-02-27,0,0,0,0,476980000
2013-02-28,0,0,0,0,591392000
2013-03-01,0,0,0,0,389396000
2013-03-04,0,0,0,0,353680000
2013-03-05,0,0,0,0,366168000
2013-03-06,0,0,0,0,342928000
2013-03-07,0,0,0,0,314824000
2013-03-08,0,0,0,0,246464000
2013-03-11,0,0,0,0,299748000
2013-03-12,0,0,0,0,310856000
2013-03-13,0,0,0,0,485840000
2013-03-14,0,0,0,0,383304000
2013-03-15,0,0,0,0,355776000
2013-03-18,0,0,0,0,298312000
2013-03-19,0,0,0,0,355480000
2013-03-20,0,0,0,0,340588000
2013-03-21,0,0,0,0,339032000
2013-03-22,0,0,0,0,232476000
2013-03-25,0,0,0,0,362076000
2013-03-26,0,0,0,0,232540000
2013-03-27,0,0,0,0,254944000
2013-03-28,0,0,0,0,349276000
2013-04-01,0,0,0,0,442828000
2013-04-02,0,0,0,0,371524000
2013-04-03,0,0,0,0,353156000
2013-04-04,0,0,0,0,294676000
2013-04-05,0,0,0,0,551352000
2013-04-08,0,0,0,0,326660000
2013-04-09,0,0,0,0,380584000
2013-04-10,0,0,0,0,384688000
2013-04-11,0,0,0,0,969220000
2013-04-12,0,0,0,0,770548000
2013-04-15,0,0,0,0,430420000
2013-04-16,0,0,0,0,468844000
2013-04-17,0,0,0,0,532948000
2013-04-18,0,0,0,0,402548000
2013-04-19,0,0,0,0,303028000
2013-04-22,0,0,0,0,245568000
2013-04-23,0,0,0,0,376948000
2013-04-24,0,0,0,0,556556000
2013-04-25,0,0,0,0,353224000
2013-04-26,0,0,0,0,324332000
2013-04-29,0,0,0,0,269712000
2013-04-30,0,0,0,0,276712000
2013-05-01,0,0,0,0,341316000
2013-05-02,0,0,0,0,323480000
2013-05-03,0,0,0,0,293864000
2013-05-06,0,0,0,0,217116000
