Date,Open,High,Low,Close,Volume
2013-01-02,16,16,16,16,1380000
2013-01-03,16,16,16,16,2462000
2013-01-04,16,16,16,16,1611000
2013-01-07,16,16,16,16,2802000
2013-01-08,16,16,16,16,4150000
2013-01-09,16,16,16,16,2535000
2013-01-10,16,17,16,17,3815000
2013-01-11,17,17,17,17,1597000
2013-01-14,17,17,17,17,2842000
2013-01-15,17,17,17,17,2341000
2013-01-16,17,17,17,17,4158000
2013-01-17,17,17,17,17,1753000
2013-01-18,17,17,17,17,3530000
2013-01-22,17,17,17,17,2779000
2013-01-23,18,18,17,18,3012000
2013-01-24,18,18,17,18,1770000
2013-01-25,18,18,18,18,3051000
2013-01-28,18,18,18,18,2834000
2013-01-29,18,18,18,18,1537000
2013-01-30,18,18,18,18,1775000
2013-01-31,18,18,18,18,3151000
2013-02-01,18,19,18,19,3096000
2013-02-04,19,19,18,18,3261000
2013-02-05,19,19,19,19,2993000
2013-02-06,19,19,19,19,6183000
2013-02-07,19,19,19,19,2389000
2013-02-08,19,19,19,19,2117000
2013-02-11,16,16,16,16,22676000
2013-02-12,16,16,16,16,9748000
2013-02-13,16,17,16,17,3750000
2013-02-14,16,17,16,17,5832000
2013-02-15,17,17,17,17,5134000
2013-02-19,17,17,17,17,3556000
2013-02-20,17,17,17,17,2638000
2013-02-21,17,17,17,17,3301000
2013-02-22,17,17,17,17,2292000
2013-02-25,17,17,17,17,2667000
2013-02-26,17,17,17,17,2709000
2013-02-27,17,17,17,17,1604000
2013-02-28,17,17,17,17,1602000
2013-03-01,17,17,17,17,1407000
2013-03-04,17,18,17,18,2272000
2013-03-05,18,18,18,18,4567000
2013-03-06,18,18,17,17,4542000
2013-03-07,17,17,17,17,4081000
2013-03-08,17,17,17,17,2933000
2013-03-11,17,17,17,17,2931000
2013-03-12,17,17,17,17,2876000
2013-03-13,17,17,17,17,2946000
2013-03-14,17,17,17,17,4469000
2013-03-15,17,17,17,17,6102000
2013-03-18,16,16,16,16,7042000
2013-03-19,16,16,16,16,3351000
2013-03-20,16,16,16,16,4332000
2013-03-21,16,16,16,16,4286000
2013-03-22,16,16,16,16,5400000
2013-03-25,16,16,16,16,4366000
2013-03-26,16,16,16,16,3083000
2013-03-27,16,16,16,16,3598000
2013-03-28,16,16,16,16,3728000
2013-04-01,16,16,16,16,1763000
2013-04-02,16,16,16,16,1882000
2013-04-03,16,16,16,16,3186000
2013-04-04,16,16,16,16,2766000
2013-04-05,16,16,16,16,1617000
2013-04-08,16,16,16,16,1752000
2013-04-09,16,16,16,16,1460000
2013-04-10,16,16,16,16,1759000
2013-04-11,16,16,16,16,2522000
2013-04-12,16,16,16,16,1724000
2013-04-15,16,16,16,16,2170000
2013-04-16,17,17,16,16,2368000
2013-04-17,16,16,16,16,1999000
2013-04-18,16,16,16,16,1702000
2013-04-19,16,16,16,16,1370000
2013-04-22,16,16,16,16,1610000
2013-04-23,16,16,16,16,1848000
2013-04-24,17,17,16,17,5384000
2013-04-25,17,17,16,16,2422000
2013-04-26,16,17,16,17,2746000
2013-04-29,17,17,17,17,9419000
2013-04-30,17,17,17,17,3477000
2013-05-01,17,17,17,17,2369000
2013-05-02,17,17,17,17,1440000
2013-05-03,17,17,17,17,2852000
2013-05-06,17,17,17,17,1334000
2013-05-07,17,17,17,17,889000
2013-05-08,17,17,17,17,2442000
2013-05-09,17,17,17,17,877000
2013-05-10,17,17,17,17,1090000
2013-05-13,17,17,17,17,1310000
2013-05-14,17,17,17,17,1737000
2013-05-15,17,17,17,17,2975000
2013-05-16,17,17,17,17,3098000
2013-05-17,17,17,17,17,2198000
2013-05-20,17,17,17,17,2016000
2013-05-21,17,17,17,17,2946000
2013-05-22,17,17,16,16,3232000
2013-05-23,16,16,16,16,2373000
2013-05-24,16,16,16,16,1916000
2013-05-28,16,16,16,16,2306000
2013-05-29,16,16,16,16,1964000
2013-05-30,16,16,16,16,2166000
2013-05-31,16,16,16,16,4478000
2013-06-03,16,16,16,16,2091000
2013-06-04,16,16,16,16,3490000
2013-06-05,16,16,16,16,1662000
2013-06-06,16,16,16,16,1136000
2013-06-07,16,16,16,16,2132000
2013-06-10,16,16,16,16,2243000
2013-06-11,16,16,16,16,2476000
2013-06-12,16,16,16,16,4417000
2013-06-13,16,16,16,16,1646000
2013-06-14,16,16,16,16,1629000
2013-06-17,16,16,16,16,5039000
2013-06-18,16,16,16,16,2440000
2013-06-19,16,16,15,15,3835000
2013-06-20,15,15,15,15,6221000
2013-06-21,15,15,15,15,4343000
2013-06-24,14,15,14,15,4066000
2013-06-25,15,15,15,15,3964000
2013-06-26,15,15,15,15,4164000
2013-06-27,15,15,15,15,8390000
2013-06-28,15,15,15,15,3505000
2013-07-01,15,15,15,15,15196000
2013-07-02,15,15,15,15,5924000
2013-07-03,15,15,15,15,2724000
2013-07-05,16,16,15,16,2559000
2013-07-08,16,16,16,16,2587000
2013-07-09,15,16,15,15,1559000
2013-07-10,15,16,15,16,3569000
2013-07-11,16,16,16,16,2881000
2013-07-12,16,16,16,16,1595000
2013-07-15,16,16,16,16,1478000
2013-07-16,16,16,16,16,2114000
2013-07-17,16,16,16,16,2009000
2013-07-18,16,16,16,16,1782000
2013-07-19,16,16,16,16,2264000
2013-07-22,16,16,16,16,2976000
2013-07-23,16,16,16,16,2296000
2013-07-24,16,16,16,16,2140000
2013-07-25,16,16,16,16,2209000
2013-07-26,16,16,16,16,1737000
