Date,Open,High,Low,Close,Volume
2013-01-02,48,48,47,47,623100
2013-01-03,47,47,47,47,896300
2013-01-04,47,48,47,48,2355800
2013-01-07,47,48,47,48,1311100
2013-01-08,48,48,48,48,1139800
2013-01-09,47,48,47,48,671000
2013-01-10,48,48,48,48,3218500
2013-01-11,49,49,48,48,1478400
2013-01-14,48,48,48,48,1168100
2013-01-15,48,48,47,47,2034300
2013-01-16,48,48,47,47,2180800
2013-01-17,48,49,48,49,2174700
2013-01-18,48,48,47,47,1308700
2013-01-22,47,47,47,47,1435300
2013-01-23,47,48,47,48,1015600
2013-01-24,48,48,48,48,1192400
2013-01-25,49,49,48,49,1151300
2013-01-28,49,49,48,48,1307000
2013-01-29,48,48,48,48,1947800
2013-01-30,49,49,49,49,1864900
2013-01-31,48,49,48,48,461400
2013-02-01,49,49,48,49,591200
2013-02-04,48,48,47,47,1131600
2013-02-05,48,48,47,47,1613200
2013-02-06,46,47,46,47,2133900
2013-02-07,45,45,44,45,5893300
2013-02-08,45,47,45,46,10888800
2013-02-11,48,48,47,48,4500600
2013-02-12,48,48,48,48,3086300
2013-02-13,49,49,49,49,1493800
2013-02-14,48,48,48,48,2502800
2013-02-15,48,48,47,48,881800
2013-02-19,49,49,49,49,938000
2013-02-20,49,49,48,48,828100
2013-02-21,47,47,46,47,3182200
2013-02-22,47,48,47,48,7769800
2013-02-25,48,49,46,46,3280300
2013-02-26,47,47,46,46,3031800
2013-02-27,46,47,46,46,2923100
2013-02-28,46,47,46,47,1488900
2013-03-01,46,47,46,46,735100
2013-03-04,47,47,47,47,1172500
2013-03-05,48,48,48,48,1316300
2013-03-06,48,48,48,48,749700
2013-03-07,48,49,48,49,876200
2013-03-08,49,49,48,49,3845900
2013-03-11,49,49,48,49,3424300
2013-03-12,48,49,48,48,1747100
2013-03-13,48,49,48,49,1537500
2013-03-14,48,49,48,49,1006000
2013-03-15,49,49,49,49,2819800
2013-03-18,48,49,48,49,2065600
2013-03-19,49,49,48,49,2068300
2013-03-20,50,50,50,50,1466100
2013-03-21,49,50,49,49,6253500
2013-03-22,50,50,50,50,2396400
2013-03-25,50,50,49,50,10186200
2013-03-26,50,50,50,50,3464000
2013-03-27,49,50,49,50,3135100
2013-03-28,50,51,50,51,3021500
2013-04-01,51,51,50,50,898600
2013-04-02,51,52,51,51,1581900
2013-04-03,51,52,51,51,5220200
2013-04-04,50,51,50,51,1850100
2013-04-05,50,50,49,50,2819800
2013-04-08,51,51,50,51,1805000
2013-04-09,51,51,50,51,4194900
2013-04-10,51,52,51,52,1231500
2013-04-11,52,52,52,52,1056000
2013-04-12,52,52,51,52,1062700
2013-04-15,53,53,53,53,9318300
2013-04-16,54,54,53,54,12164900
2013-04-17,53,53,51,52,5228700
2013-04-18,52,52,52,52,1273200
2013-04-19,52,53,52,52,1209500
2013-04-22,52,52,51,52,5579000
2013-04-23,53,54,53,54,2611800
2013-04-24,54,54,54,54,2111800
2013-04-25,53,54,53,53,2420200
2013-04-26,53,53,53,53,2036900
2013-04-29,54,54,53,54,2180300
2013-04-30,54,54,53,53,2015800
2013-05-01,53,53,52,52,1622800
2013-05-02,53,55,53,55,2197100
2013-05-03,55,55,55,55,1590800
2013-05-06,53,53,52,53,1075000
2013-05-07,53,53,53,53,1369000
2013-05-08,54,55,54,54,836000
2013-05-09,54,54,54,54,555400
2013-05-10,55,55,54,54,935900
2013-05-13,54,55,54,54,584100
2013-05-14,54,55,54,54,1420500
2013-05-15,54,54,53,54,699200
2013-05-16,54,54,54,54,1283600
2013-05-17,54,54,54,54,1646200
2013-05-20,54,54,53,53,972100
2013-05-21,54,55,54,55,1564100
2013-05-22,55,55,54,55,1097600
2013-05-23,54,55,54,54,1184900
2013-05-24,54,54,54,54,1340800
2013-05-28,55,55,55,55,2648900
2013-05-29,54,54,53,54,914700
2013-05-30,54,55,54,54,501500
2013-05-31,53,54,53,53,1360100
2013-06-03,53,53,52,53,1485000
2013-06-04,53,53,52,53,897200
2013-06-05,52,53,52,52,1401300
2013-06-06,52,53,52,52,2655000
2013-06-07,52,53,52,53,693100
2013-06-10,53,53,53,53,470200
2013-06-11,52,53,52,52,556700
2013-06-12,54,54,53,53,906400
2013-06-13,53,53,53,53,371300
2013-06-14,53,54,53,53,374700
2013-06-17,55,55,54,55,1264700
2013-06-18,54,54,54,54,581200
2013-06-19,54,54,53,53,541800
2013-06-20,51,52,50,50,1499800
2013-06-21,51,51,50,51,1929600
2013-06-24,49,50,49,50,1721300
2013-06-25,49,49,49,49,2067200
2013-06-26,51,51,51,51,1206100
2013-06-27,52,52,51,51,1607100
2013-06-28,51,52,51,51,573900
2013-07-01,52,52,51,51,898100
2013-07-02,51,51,50,50,607000
2013-07-03,50,50,50,50,410100
2013-07-05,51,51,50,51,868800
2013-07-08,51,52,51,51,508000
2013-07-09,51,51,51,51,992500
2013-07-10,50,51,50,50,1134200
2013-07-11,52,52,51,52,1160300
2013-07-12,52,52,51,52,847800
2013-07-15,52,52,52,52,560500
2013-07-16,52,52,51,51,561300
2013-07-17,52,52,51,52,663000
2013-07-18,52,53,52,53,596900
2013-07-19,52,52,51,52,508600
2013-07-22,52,53,52,53,407900
2013-07-23,52,52,52,52,467300
2013-07-24,53,53,52,52,685000
2013-07-25,52,53,52,53,1084500
2013-07-26,53,53,52,53,549900
2013-07-29,52,52,52,52,494200
2013-07-30,53,53,52,52,622300
2013-07-31,53,53,51,51,2805600
2013-08-01,50,51,50,51,2827000
2013-08-02,50,51,50,51,4677000
2013-08-05,50,51,50,51,1986200
2013-08-06,52,52,51,51,3710400
2013-08-07,52,52,51,52,4281900
2013-08-08,52,52,52,52,2292900
2013-08-09,52,52,52,52,1394600
2013-08-12,51,51,51,51,1621700
2013-08-13,51,52,51,52,1893200
2013-08-14,51,52,51,51,1946000
2013-08-15,51,51,50,51,2360500
2013-08-16,51,51,51,51,1002900
2013-08-19,51,51,51,51,581300
2013-08-20,51,52,51,51,909500
2013-08-21,51,51,50,50,6403200
2013-08-22,50,50,50,50,3019400
2013-08-23,50,50,49,50,1956000
2013-08-26,51,51,50,50,2568600
2013-08-27,50,50,49,49,6618100
2013-08-28,49,49,48,49,10014400
2013-08-29,48,49,48,49,3778500
2013-08-30,48,48,47,47,2450700
2013-09-03,48,48,46,47,5158600
2013-09-04,47,48,47,47,2171100
2013-09-05,47,48,47,47,781900
2013-09-06,48,48,47,48,1488700
2013-09-09,48,48,47,48,1120500
2013-09-10,48,49,48,49,1694700
2013-09-11,49,49,49,49,2081600
2013-09-12,48,48,47,47,1733100
2013-09-13,47,48,47,47,1615700
2013-09-16,48,48,47,47,2392200
2013-09-17,48,49,48,49,2200100
2013-09-18,48,50,48,50,4685600
2013-09-19,50,50,50,50,6951600
2013-09-20,51,51,51,51,4341800
2013-09-23,50,50,50,50,1395900
2013-09-24,50,50,50,50,713000
2013-09-25,50,50,50,50,748100
2013-09-26,50,50,50,50,1302600
2013-09-27,50,50,50,50,1003100
2013-09-30,50,50,50,50,634300
2013-10-01,50,51,50,51,483800
2013-10-02,50,50,50,50,1300900
2013-10-03,50,50,50,50,1852900
2013-10-04,50,50,50,50,1059000
2013-10-07,50,50,50,50,491600
2013-10-08,50,50,49,49,1066700
2013-10-09,49,49,48,48,3012600
2013-10-10,49,49,49,49,721400
2013-10-11,49,49,49,49,563600
2013-10-14,49,50,49,50,476900
2013-10-15,49,49,49,49,576800
2013-10-16,49,49,49,49,750300
2013-10-17,49,50,49,50,629500
2013-10-18,49,50,49,50,957000
2013-10-21,50,50,50,50,691500
2013-10-22,51,51,51,51,767400
2013-10-23,50,51,50,51,866800
2013-10-24,51,51,51,51,3162400
2013-10-25,52,52,51,52,3283800
2013-10-28,51,52,51,52,527400
2013-10-29,52,52,51,51,1427700
2013-10-30,53,53,52,52,1038000
2013-10-31,53,53,53,53,695700
2013-11-01,52,52,52,52,779600
2013-11-04,52,52,52,52,468100
2013-11-05,52,52,52,52,1357000
2013-11-06,53,53,53,53,758200
2013-11-07,53,53,52,52,460900
2013-11-08,51,52,51,52,1143800
2013-11-11,52,52,52,52,398000
2013-11-12,52,52,52,52,476100
2013-11-13,52,52,52,52,802000
2013-11-14,52,53,52,53,529600
2013-11-15,53,54,53,53,775200
2013-11-18,54,54,53,54,643000
2013-11-19,53,53,53,53,632900
2013-11-20,53,53,52,52,524000
2013-11-21,52,52,52,52,2562400
2013-11-22,53,53,52,52,3084200
2013-11-25,52,53,52,52,376200
2013-11-26,53,53,52,52,977900
2013-11-27,53,53,52,52,2049700
2013-11-29,53,53,52,52,1574500
2013-12-02,52,52,51,52,2380700
2013-12-03,51,51,50,50,1168400
2013-12-04,50,50,50,50,1484700
2013-12-05,50,51,50,50,2489000
2013-12-06,50,51,50,51,618200
2013-12-09,50,50,50,50,734300
2013-12-10,50,50,50,50,1137400
