Date,Open,High,Low,Close,Volume
2013-01-02,87,88,87,88,16143700
2013-01-03,88,88,88,88,13268200
2013-01-04,88,89,88,88,11427900
2013-01-07,88,88,87,87,11799800
2013-01-08,87,88,87,88,14226400
2013-01-09,88,88,87,88,10892200
2013-01-10,88,89,88,89,13099600
2013-01-11,88,89,88,89,11645600
2013-01-14,89,89,89,89,9606700
2013-01-15,89,89,89,89,9195400
2013-01-16,89,89,89,89,9645000
2013-01-17,89,90,89,90,13400300
2013-01-18,90,90,89,90,17196000
2013-01-22,90,90,90,90,11897500
2013-01-23,90,90,90,90,10906800
2013-01-24,90,91,90,91,11100000
2013-01-25,91,91,91,91,11090600
2013-01-28,91,91,90,91,11617500
2013-01-29,91,91,91,91,11700600
2013-01-30,91,91,90,90,15645400
2013-01-31,90,91,89,89,15991500
2013-02-01,90,90,89,90,15699200
2013-02-04,89,89,88,89,13347300
2013-02-05,89,90,89,89,11679700
2013-02-06,89,89,89,89,11768700
2013-02-07,89,89,87,88,13463300
2013-02-08,88,88,88,88,11412300
2013-02-11,88,88,87,88,8764700
2013-02-12,88,88,87,88,9752100
2013-02-13,88,88,88,88,8940300
2013-02-14,88,88,88,88,13238900
2013-02-15,88,88,87,88,15696900
2013-02-19,88,89,88,89,12158900
2013-02-20,89,89,88,88,13936400
2013-02-21,88,89,88,88,10939800
2013-02-22,89,89,88,89,10260200
2013-02-25,89,90,87,87,15302900
2013-02-26,88,88,87,88,15073200
2013-02-27,88,89,88,89,11195200
2013-02-28,89,89,89,89,14552000
2013-03-01,89,89,88,89,11301600
2013-03-04,89,89,88,88,10994000
2013-03-05,89,90,89,89,13072600
2013-03-06,89,89,89,89,13234400
2013-03-07,89,89,88,88,12905300
2013-03-08,89,89,88,88,11896300
2013-03-11,89,89,88,89,12454800
2013-03-12,89,89,89,89,11470000
2013-03-13,89,89,88,89,10539900
2013-03-14,89,89,89,89,13775500
2013-03-15,89,89,88,89,29240100
2013-03-18,88,89,88,88,11553700
2013-03-19,88,89,88,88,11987900
2013-03-20,88,89,88,88,11319000
2013-03-21,88,88,87,88,13447500
2013-03-22,88,89,88,89,10786600
2013-03-25,89,89,88,89,12900800
2013-03-26,89,90,89,90,12329600
2013-03-27,89,90,89,90,12350800
2013-03-28,90,90,89,90,17485200
2013-04-01,90,90,89,90,9414200
2013-04-02,90,90,90,90,9991800
2013-04-03,90,90,89,89,12197100
2013-04-04,90,90,89,89,11582000
2013-04-05,88,89,88,89,12771600
2013-04-08,89,89,88,88,11013900
2013-04-09,88,89,88,88,10753400
2013-04-10,88,89,88,88,14823700
2013-04-11,88,89,88,89,14979900
2013-04-12,88,89,88,88,11505100
2013-04-15,88,88,86,86,19626200
2013-04-16,87,87,86,86,14578800
2013-04-17,86,86,85,86,17341200
2013-04-18,86,87,85,86,14730400
2013-04-19,87,87,86,87,18393300
2013-04-22,87,88,87,88,11262000
2013-04-23,88,89,87,89,15567700
2013-04-24,89,89,89,89,13028800
2013-04-25,88,88,87,88,16328700
2013-04-26,87,88,87,88,10791800
2013-04-29,88,88,88,88,11093000
2013-04-30,88,88,87,88,14572600
2013-05-01,88,88,87,87,11616500
2013-05-02,87,88,87,88,11330100
2013-05-03,89,90,88,90,13036600
2013-05-06,90,90,89,90,10613400
2013-05-07,90,91,90,91,11088900
2013-05-08,91,91,91,91,13638300
2013-05-09,91,91,90,91,13771900
2013-05-10,90,90,89,90,10975400
2013-05-13,89,90,89,90,9810100
2013-05-14,90,91,90,91,9890300
2013-05-15,90,91,90,91,10399400
2013-05-16,90,91,90,90,10469600
2013-05-17,91,91,90,91,12721300
2013-05-20,91,92,91,92,12417700
2013-05-21,92,93,92,92,12519900
2013-05-22,92,93,91,92,19253300
2013-05-23,91,92,91,91,15357300
2013-05-24,91,91,91,91,12771900
2013-05-28,92,93,91,92,15197800
2013-05-29,91,92,91,92,11563200
2013-05-30,91,92,91,92,9734700
2013-05-31,91,92,90,90,17917400
2013-06-03,90,91,90,91,14177500
2013-06-04,91,91,90,90,12481300
2013-06-05,90,91,89,89,12888000
2013-06-06,89,90,89,90,15393300
2013-06-07,90,91,90,91,12504700
2013-06-10,91,91,90,91,10372300
2013-06-11,90,91,90,90,10739400
2013-06-12,91,91,89,89,10864500
2013-06-13,89,91,89,91,13501300
2013-06-14,91,91,90,90,12158400
2013-06-17,90,91,90,91,12026400
2013-06-18,91,92,91,91,10678200
2013-06-19,91,92,91,91,14189500
2013-06-20,90,90,88,89,21077700
2013-06-21,89,90,88,89,25493800
2013-06-24,88,89,88,88,17653000
2013-06-25,89,89,88,89,15790100
2013-06-26,89,89,88,89,14446000
2013-06-27,90,90,90,90,12348000
2013-06-28,89,90,89,90,22984200
2013-07-01,90,91,89,90,13182200
2013-07-02,90,91,90,90,12320700
2013-07-03,90,90,90,90,5674000
2013-07-05,91,91,90,91,8917900
2013-07-08,91,92,91,92,12086700
2013-07-09,92,93,92,93,12940000
2013-07-10,93,93,92,92,12430000
2013-07-11,93,93,93,93,16184700
2013-07-12,93,93,92,93,11370300
2013-07-15,93,93,93,93,8256200
2013-07-16,93,93,92,93,11413500
2013-07-17,93,93,93,93,9393300
2013-07-18,93,94,93,94,10555400
2013-07-19,94,95,94,95,14431700
2013-07-22,94,95,94,94,9530400
2013-07-23,94,95,94,95,7377400
2013-07-24,95,95,94,94,8222800
2013-07-25,94,95,94,94,10059800
2013-07-26,94,94,93,94,9721000
2013-07-29,94,94,93,94,8844700
2013-07-30,94,94,93,93,10470700
2013-07-31,93,94,93,93,14400800
2013-08-01,92,93,91,92,23117700
2013-08-02,92,92,91,91,14408600
2013-08-05,91,91,91,91,12625900
2013-08-06,91,91,91,91,11689200
2013-08-07,91,91,91,91,8163800
2013-08-08,91,91,91,91,11529500
2013-08-09,91,91,90,90,9467800
2013-08-12,90,90,89,89,10133700
2013-08-13,89,89,89,89,10892700
2013-08-14,89,89,88,88,9797300
2013-08-15,88,88,88,88,11273400
2013-08-16,88,88,87,87,11872500
2013-08-19,87,87,86,86,11745600
2013-08-20,87,87,86,86,16498800
2013-08-21,86,87,86,86,12766900
2013-08-22,86,87,86,86,10199900
2013-08-23,87,87,86,87,9206400
2013-08-26,87,87,86,87,10654700
2013-08-27,86,87,86,86,13960200
2013-08-28,87,88,87,88,17738800
2013-08-29,88,88,87,87,11407800
2013-08-30,87,87,86,87,12480400
2013-09-03,87,88,86,87,10546700
2013-09-04,87,87,86,87,9822300
2013-09-05,88,88,87,87,11740100
2013-09-06,87,87,86,87,12950600
2013-09-09,87,88,87,88,9297000
2013-09-10,88,88,87,87,11823100
2013-09-11,87,88,87,88,11201200
2013-09-12,88,88,87,87,10917200
2013-09-13,88,88,88,88,8254200
2013-09-16,88,89,88,88,9421300
2013-09-17,88,89,88,88,8941200
2013-09-18,88,89,88,89,15134700
2013-09-19,89,89,88,89,11757500
2013-09-20,89,89,88,88,20651100
2013-09-23,88,88,87,87,12227700
2013-09-24,87,88,87,87,12129200
2013-09-25,87,87,86,87,13577400
2013-09-26,87,87,86,87,9787100
2013-09-27,86,87,86,86,10867100
2013-09-30,86,86,85,86,17486100
2013-10-01,85,86,85,86,11885100
2013-10-02,85,86,85,86,11841400
2013-10-03,86,86,85,85,13923400
2013-10-04,86,86,85,86,11325500
2013-10-07,85,86,85,85,10985800
2013-10-08,85,85,85,85,15335700
2013-10-09,85,85,84,85,13575100
2013-10-10,85,86,84,86,17532400
2013-10-11,85,86,85,86,12661800
2013-10-14,86,87,86,87,9742100
2013-10-15,87,87,86,86,12018000
2013-10-16,87,87,86,87,11668100
2013-10-17,87,87,87,87,10438200
2013-10-18,87,87,87,87,12425100
2013-10-21,87,87,86,87,10730900
2013-10-22,87,88,87,87,12710600
2013-10-23,87,87,86,87,11449100
2013-10-24,87,88,87,88,12288900
2013-10-25,88,88,87,87,11382000
2013-10-28,87,88,87,88,9921900
2013-10-29,88,89,88,88,10340000
2013-10-30,88,89,88,88,14305900
2013-10-31,89,90,89,89,19185200
2013-11-01,89,90,88,89,19023500
2013-11-04,90,92,90,92,20591600
2013-11-05,91,93,91,91,21122500
2013-11-06,92,93,92,93,13464600
2013-11-07,92,92,91,91,16572100
2013-11-08,91,92,91,92,12330100
2013-11-11,92,93,92,92,7924700
2013-11-12,92,93,92,92,10727300
2013-11-13,92,92,92,92,9280000
2013-11-14,92,93,92,93,7909200
2013-11-15,94,95,94,95,18374500
2013-11-18,95,96,95,95,14243700
2013-11-19,95,95,95,95,12697300
2013-11-20,95,95,94,94,10455400
2013-11-21,94,95,94,94,9128400
2013-11-22,94,95,94,95,8534700
2013-11-25,95,95,94,95,10515100
2013-11-26,94,94,94,94,11857900
2013-11-27,94,94,93,93,8828100
2013-11-29,93,94,93,93,6770500
2013-12-02,93,94,92,93,9310500
2013-12-03,93,94,93,94,12599500
2013-12-04,94,94,93,94,13074000
2013-12-05,94,94,93,94,10586000
2013-12-06,94,95,94,95,12063400
2013-12-09,95,96,95,95,15516700
2013-12-10,95,95,95,95,9868100
2013-12-11,95,95,94,94,12811800
2013-12-12,94,95,94,95,15562600
2013-12-13,95,95,94,95,10629500
2013-12-16,96,98,96,97,23226000
2013-12-17,97,97,96,96,14920900
2013-12-18,97,99,97,99,21331300
2013-12-19,99,99,99,99,12905900
2013-12-20,99,99,98,98,23331000
2013-12-23,99,99,98,98,10127600
2013-12-24,98,99,98,99,4168300
2013-12-26,99,101,99,100,9531200
2013-12-27,101,101,100,101,10209000
2013-12-30,101,101,100,100,9007900
2013-12-31,100,101,100,101,8509600
2014-01-02,100,100,99,99,11028100
2014-01-03,99,100,99,99,9295600
2014-01-06,99,100,98,99,11848500
2014-01-07,99,101,99,101,11187000
2014-01-08,101,101,100,100,11180400
2014-01-09,100,100,99,99,11674300
2014-01-10,99,100,99,100,10535400
2014-01-13,99,100,98,98,12110900
2014-01-14,98,99,98,99,9265000
2014-01-15,99,99,98,98,9425500
2014-01-16,98,99,98,98,9421700
2014-01-17,99,100,98,99,15998000
2014-01-21,98,98,98,98,13847300
2014-01-22,98,98,97,97,11642800
2014-01-23,97,97,96,96,15393200
2014-01-24,96,96,94,94,14584300
2014-01-27,95,95,94,94,12474600
2014-01-28,95,95,94,95,10773600
2014-01-29,94,96,94,95,13191500
2014-01-30,94,94,93,93,14628400
2014-01-31,92,93,91,92,17361400
2014-02-03,91,92,89,90,20377900
2014-02-04,90,90,89,90,17414400
2014-02-05,90,90,89,89,16393600
2014-02-06,89,90,89,89,13646100
2014-02-07,90,90,89,90,12573800
2014-02-10,90,90,89,89,12237700
2014-02-11,89,91,89,90,13422800
2014-02-12,91,91,90,91,10752400
2014-02-13,90,91,90,91,9775300
2014-02-14,91,94,91,94,18260400
2014-02-18,94,94,93,94,12979300
2014-02-19,93,95,93,93,12227800
2014-02-20,93,95,93,95,14424300
2014-02-21,95,95,94,95,11282200
2014-02-24,95,97,95,96,16012500
2014-02-25,96,96,95,96,10663000
2014-02-26,96,96,95,95,9087600
2014-02-27,95,96,95,95,9101200
2014-02-28,95,96,95,96,12651400
2014-03-03,95,96,94,95,11896700
2014-03-04,96,96,95,96,12566100
2014-03-05,95,95,93,93,19829600
2014-03-06,93,93,93,93,12610400
2014-03-07,94,95,93,94,12659100
2014-03-10,95,95,94,95,9964500
2014-03-11,95,95,93,94,12143600
2014-03-12,93,94,93,94,9705400
2014-03-13,94,94,93,93,9872500
2014-03-14,93,94,93,93,11723300
2014-03-17,93,94,93,94,8676100
2014-03-18,94,95,94,94,8757300
2014-03-19,94,95,93,93,9914700
2014-03-20,93,94,93,94,10405000
2014-03-21,95,95,94,94,24479800
2014-03-24,94,95,94,94,9539800
2014-03-25,95,95,94,94,9796600
2014-03-26,95,95,94,94,11033300
2014-03-27,94,96,94,96,15427500
2014-03-28,96,97,96,97,12321800
2014-03-31,98,98,97,97,12375200
2014-04-01,97,97,97,97,9475300
2014-04-02,97,98,97,97,9551000
2014-04-03,97,98,97,97,10113000
2014-04-04,98,98,97,97,12496100
2014-04-07,97,97,96,96,10120700
2014-04-08,97,97,96,97,10243000
2014-04-09,97,97,96,97,10463900
2014-04-10,96,97,96,96,13443400
2014-04-11,96,97,96,96,13352500
2014-04-14,97,98,96,97,9610200
2014-04-15,97,98,97,98,12961600
2014-04-16,99,100,98,99,12508100
2014-04-17,99,100,99,100,15435700
2014-04-21,100,100,99,100,8002100
2014-04-22,100,100,100,100,8212100
2014-04-23,100,100,100,100,8686000
2014-04-24,100,100,99,100,9057800
2014-04-25,99,100,99,100,10391500
2014-04-28,100,101,100,101,12710800
2014-04-29,101,102,101,101,10094600
2014-04-30,101,102,100,102,13966700
2014-05-01,101,102,101,101,11161700
2014-05-02,101,102,100,102,11168100
2014-05-05,101,103,101,102,7614200
2014-05-06,102,103,102,102,9669800
2014-05-07,103,103,102,103,11007400
2014-05-08,103,103,102,102,8922500
2014-05-09,101,102,101,101,8948800
2014-05-12,102,102,101,102,8830500
2014-05-13,102,102,101,102,7528800
2014-05-14,102,102,102,102,6999200
2014-05-15,102,102,100,100,13658700
2014-05-16,100,101,100,100,10369200
2014-05-19,100,101,100,100,5851400
2014-05-20,100,101,100,100,6134100
2014-05-21,100,102,100,102,7747900
2014-05-22,101,101,101,101,5304300
2014-05-23,101,101,101,101,5410900
2014-05-27,101,101,100,101,8359700
2014-05-28,101,102,101,101,7586700
2014-05-29,101,101,101,101,6113700
2014-05-30,100,101,100,100,11499000
2014-06-02,100,100,99,99,7761300
2014-06-03,99,100,99,100,9384200
2014-06-04,100,100,99,100,7148800
2014-06-05,100,100,99,100,12296100
2014-06-06,100,101,100,101,9340900
2014-06-09,101,101,101,101,6404800
2014-06-10,101,101,101,101,7917500
2014-06-11,101,102,101,101,10270300
2014-06-12,102,102,101,101,11421000
