Date,Open,High,Low,Close,Volume
2022-01-03,14733,14833,14586,14798,88471
2022-01-04,14744,14744,14502,14722,49161
2022-01-05,14689,14689,14414,14487,34929
2022-01-06,13993,14241,13968,14168,39981
2022-01-07,14315,14315,14162,14288,11350
2022-01-10,14186,14186,13841,14109,6737
2022-01-11,14093,14093,13961,14063,3074
2022-01-12,14121,14121,14015,14121,17675
2022-01-13,14101,14101,14072,14101,17607
2022-01-14,14084,14084,13921,14063,8787
2022-01-17,13963,13963,13766,13920,17212
2022-01-18,13938,13938,13771,13861,1479
2022-01-19,13851,13851,13710,13719,4648
2022-01-20,13713,13713,13553,13714,2138
2022-01-21,13349,13489,13091,13242,35964
2022-01-24,13518,13518,13305,13377,22748
2022-01-25,13459,13459,13190,13327,25575
2022-01-26,13438,13449,13302,13442,30063
2022-01-27,13682,13682,12876,13078,56087
2022-01-28,12849,13092,12849,13096,34467
2022-02-03,13463,13612,13463,13549,13396
2022-02-04,13605,13648,13541,13649,15957
2022-02-07,13486,13486,13388,13475,4369
2022-02-08,13450,13485,13382,13484,6096
2022-02-09,13391,13419,13303,13419,3350
2022-02-10,13653,13653,13595,13645,4301
2022-02-11,13261,13271,13072,13213,6979
2022-02-14,13207,13207,13081,13197,8020
2022-02-15,13083,13083,13017,13053,3677
2022-02-16,13121,13121,12999,13096,3653
2022-02-17,13133,13183,13086,13133,4599
2022-02-18,13067,13126,12999,13120,5217
2022-02-21,12917,13067,12839,13068,1809
2022-02-22,12801,12855,12626,12801,10046
2022-02-23,12857,12982,12794,12988,19509
2022-02-24,12538,12665,12256,12407,26128
2022-02-25,12779,12867,12779,12861,4236
2022-02-28,12800,13143,12800,13083,3643
2022-03-02,13068,13068,12883,12980,2533
2022-03-03,13258,13258,13059,13151,1475
2022-03-04,13269,13269,13075,13147,5615
2022-03-07,12931,13197,12931,13133,2345
2022-03-08,12623,13081,12623,12983,1892
2022-03-10,13007,13226,13007,13213,2249
2022-03-11,13204,13238,13152,13205,3223
2022-03-14,13216,13250,13119,13246,2384
2022-03-15,12921,13091,12921,13024,1369
2022-03-16,12950,13133,12950,13133,1223
2022-03-17,13116,13296,13116,13292,4188
2022-03-18,13365,13447,13263,13447,3959
2022-03-21,13216,13750,13216,13484,53865
2022-03-22,13738,13738,13318,13438,3133
2022-03-23,13500,13500,13297,13501,3100
2022-03-24,13390,13390,13291,13368,2401
2022-03-25,13291,13364,13291,13368,11462
2022-03-28,13575,13575,13421,13518,7253
2022-03-29,13707,14716,13560,13774,18691
2022-03-30,14002,14094,13997,14029,4264
2022-03-31,14022,14046,13917,14039,79063
2022-04-01,13896,13904,13755,13905,5296
2022-04-04,13946,14106,13946,14112,2374
2022-04-05,14059,14059,13776,14063,7891
2022-04-06,14023,14023,13813,13953,5279
2022-04-07,14092,14148,14025,14126,6194
2022-04-08,14090,14090,13974,14091,10260
2022-04-11,14038,14075,14007,14034,26909
2022-04-12,13970,13972,13622,13709,20584
2022-04-13,13832,13884,13730,13801,5658
2022-04-14,13906,13957,13822,13943,3151
2022-04-15,13932,13932,13765,13875,9961
2022-04-18,13855,13880,13628,13885,3962
2022-04-19,13857,13973,13838,13977,3780
2022-04-20,14112,14173,14013,14173,2381
2022-04-21,14407,14407,14335,14354,13744
2022-04-22,14411,14411,14087,14188,8468
2022-04-25,14079,14079,13986,14000,8985
2022-04-26,14064,14064,14031,14043,8770
2022-04-27,13818,13818,13695,13806,25171
2022-04-28,13693,13815,13693,13819,5385
2022-04-29,13824,13919,13772,13837,4358
2022-05-02,13357,13411,13308,13414,5021
2022-05-03,13107,13107,13004,13068,4200
2022-05-04,13163,13185,13024,13151,44446
2022-05-06,13005,13005,12903,12952,2218
2022-05-09,12720,12817,12647,12777,87839
2022-05-10,12343,12343,12072,12343,154732
2022-05-11,12061,12061,11863,12033,14953
2022-05-12,11991,12001,11876,12007,4749
2022-05-13,12087,12102,11990,12108,1940
2022-05-16,12482,12482,12269,12376,7729
