Date,Open,High,Low,Close,Volume
2022-01-03,177,182,177,182,104487900
2022-01-04,182,182,179,179,99310400
2022-01-05,179,180,174,174,94537600
2022-01-06,172,175,171,172,96904000
2022-01-07,172,174,171,172,86709100
2022-01-10,169,172,168,172,106765600
2022-01-11,172,175,170,175,76138300
2022-01-12,176,177,174,175,74805200
2022-01-13,175,176,171,172,84505800
2022-01-14,171,173,171,173,80440800
2022-01-18,171,172,169,169,90956700
2022-01-19,170,171,165,166,94815000
2022-01-20,166,169,164,164,91420500
2022-01-21,164,166,162,162,122848900
2022-01-24,160,162,154,161,162294600
2022-01-25,158,162,157,159,115798400
2022-01-26,163,164,157,159,108275300
2022-01-27,162,163,158,159,121954600
2022-01-28,165,170,162,170,179935700
2022-01-31,170,175,169,174,115541600
2022-02-01,174,174,172,174,86213900
2022-02-02,174,175,173,175,84914300
2022-02-03,174,176,172,172,89418100
2022-02-04,171,174,170,172,82465400
2022-02-07,172,173,170,171,77251200
2022-02-08,171,175,171,174,74829200
2022-02-09,176,176,174,176,71285000
2022-02-10,174,175,171,172,90865900
2022-02-11,172,173,168,168,98670700
2022-02-14,167,169,166,168,86185500
2022-02-15,170,172,170,172,62527400
2022-02-16,171,173,170,172,61177400
2022-02-17,171,171,168,168,69589300
2022-02-18,169,170,166,167,82772700
2022-02-22,164,166,162,164,91162800
2022-02-23,165,166,159,160,90009200
2022-02-24,152,162,152,162,141147500
2022-02-25,163,165,160,164,91974200
2022-02-28,163,165,162,165,95056600
2022-03-01,164,166,161,163,83474400
2022-03-02,164,167,162,166,79724800
2022-03-03,168,168,165,166,76678400
2022-03-04,164,165,162,163,83737200
2022-03-07,163,165,159,159,96418800
2022-03-08,158,162,155,157,131148300
2022-03-09,161,163,159,162,91454900
2022-03-10,160,160,155,158,105342000
2022-03-11,158,159,154,154,96970100
2022-03-14,151,154,150,150,108732100
2022-03-15,150,155,150,155,92964300
2022-03-16,157,160,154,159,102300200
2022-03-17,158,161,157,160,75615400
2022-03-18,160,164,159,163,123511700
2022-03-21,163,166,163,165,95811400
2022-03-22,165,169,164,168,81532000
2022-03-23,167,172,167,170,98062700
2022-03-24,171,174,170,174,90131400
2022-03-25,173,175,172,174,80546200
2022-03-28,172,175,172,175,90371900
2022-03-29,176,179,176,178,100589400
2022-03-30,178,179,176,177,92633200
2022-03-31,177,178,174,174,103049300
2022-04-01,174,174,171,174,78751300
2022-04-04,174,178,174,178,76468400
2022-04-05,177,178,174,175,73401800
2022-04-06,172,173,170,171,89058800
2022-04-07,171,173,169,172,77594700
2022-04-08,171,171,169,170,76575500
2022-04-11,168,169,165,165,72246700
2022-04-12,168,169,166,167,79265200
2022-04-13,167,171,166,170,70618900
2022-04-14,170,171,165,165,75329400
2022-04-18,163,166,163,165,69023900
2022-04-19,165,167,163,167,67723800
2022-04-20,168,168,166,167,67929800
2022-04-21,168,171,165,166,87227800
2022-04-22,166,167,161,161,84882400
2022-04-25,161,163,158,162,96046400
2022-04-26,162,162,156,156,95623200
2022-04-27,155,159,155,156,88063200
2022-04-28,159,164,158,163,130216800
2022-04-29,161,166,157,157,131747600
2022-05-02,156,158,153,157,123055300
2022-05-03,158,160,156,159,88966500
2022-05-04,159,166,159,166,108256500
2022-05-05,163,164,154,156,130525300
2022-05-06,156,159,154,157,116124600
2022-05-09,154,155,151,152,131577900
2022-05-10,155,156,152,154,115366700
2022-05-11,153,155,145,146,142689800
2022-05-12,142,146,138,142,182602000
2022-05-13,144,148,143,147,113990900
2022-05-16,145,147,144,145,86643800
2022-05-17,148,149,146,149,78336300
2022-05-18,146,147,139,140,109742900
2022-05-19,139,141,136,137,136095600
2022-05-20,139,140,132,137,137426100
2022-05-23,137,143,137,143,117726300
2022-05-24,140,141,137,140,104132700
2022-05-25,138,141,138,140,92482700
2022-05-26,137,144,137,143,90601500
2022-05-27,145,149,145,149,90978500
2022-05-31,149,150,146,148,103718400
2022-06-01,149,151,147,148,74286600
2022-06-02,147,151,146,151,72348100
2022-06-03,146,147,144,145,88570300
2022-06-06,147,148,144,146,71598400
2022-06-07,144,149,144,148,67808200
2022-06-08,148,149,147,147,53950200
2022-06-09,147,147,142,142,69473000
2022-06-10,140,140,137,137,91437900
2022-06-13,132,135,131,131,122207100
2022-06-14,133,133,131,132,84784300
2022-06-15,134,137,132,135,91533000
2022-06-16,132,132,129,130,108123900
2022-06-17,130,133,129,131,134520300
2022-06-21,133,137,133,135,81000500
2022-06-22,134,137,133,135,73409200
2022-06-23,136,138,135,138,72433800
2022-06-24,139,141,139,141,89116800
2022-06-27,142,143,140,141,70207900
2022-06-28,142,143,137,137,67083400
2022-06-29,137,140,136,139,66242400
2022-06-30,137,138,133,136,98964500
2022-07-01,136,139,135,138,71051600
2022-07-05,137,141,136,141,73353800
2022-07-06,141,144,141,142,74064300
2022-07-07,143,146,143,146,66253700
2022-07-08,145,147,145,147,64547800
2022-07-11,145,146,143,144,63141600
2022-07-12,145,148,145,145,77588800
2022-07-13,142,146,142,145,71185600
2022-07-14,144,148,143,148,78140700
2022-07-15,149,150,148,150,76259900
2022-07-18,150,151,146,147,81420900
2022-07-19,147,151,146,151,82982400
2022-07-20,151,153,150,153,64823400
2022-07-21,154,155,151,155,65086600
2022-07-22,155,156,153,154,66675400
2022-07-25,154,155,152,152,53623900
2022-07-26,152,153,150,151,55138700
2022-07-27,152,157,152,156,78620700
2022-07-28,156,157,154,157,81378700
2022-07-29,161,163,159,162,101786900
2022-08-01,161,163,160,161,67829400
2022-08-02,160,162,159,160,59907000
2022-08-03,160,166,160,166,82507500
2022-08-04,166,167,164,165,55474100
2022-08-05,163,165,163,165,56697000
2022-08-08,166,167,164,164,60276900
2022-08-09,164,165,163,164,63135500
2022-08-10,167,169,166,169,70170500
2022-08-11,170,170,168,168,57149200
2022-08-12,169,172,169,172,68039400
2022-08-15,171,173,171,173,54091700
2022-08-16,172,173,171,173,56377100
2022-08-17,172,176,172,174,79542000
2022-08-18,173,174,173,174,62290100
2022-08-19,173,173,171,171,70346300
2022-08-22,169,169,167,167,69026800
2022-08-23,167,168,166,167,54147100
2022-08-24,167,168,166,167,53841500
2022-08-25,168,170,168,170,51218200
2022-08-26,170,171,163,163,78961000
2022-08-29,161,162,159,161,73314000
2022-08-30,162,162,157,158,77906200
2022-08-31,160,160,157,157,87991100
2022-09-01,156,158,154,157,74229900
2022-09-02,159,160,154,155,76957800
2022-09-06,156,157,153,154,73714800
2022-09-07,154,156,153,155,87449600
2022-09-08,154,156,152,154,84923800
2022-09-09,155,157,154,157,68028800
2022-09-12,159,164,159,163,104956000
2022-09-13,159,160,153,153,122656600
2022-09-14,154,157,153,155,87965400
2022-09-15,154,155,151,152,90481100
2022-09-16,151,151,148,150,162278800
2022-09-19,149,154,149,154,81474200
2022-09-20,153,158,153,156,107689800
2022-09-21,157,158,153,153,101696800
2022-09-22,152,154,150,152,86652500
2022-09-23,151,151,148,150,96029900
2022-09-26,149,153,149,150,93339400
2022-09-27,152,154,149,151,84442700
2022-09-28,147,150,144,149,146691400
2022-09-29,146,146,140,142,128138200
2022-09-30,141,143,138,138,124925300
2022-10-03,138,143,137,142,114311700
2022-10-04,145,146,144,146,87830100
2022-10-05,144,147,143,146,79471000
2022-10-06,145,147,145,145,68402200
2022-10-07,142,143,139,140,85925600
2022-10-10,140,141,138,140,74899000
2022-10-11,139,141,138,138,77033700
2022-10-12,139,140,138,138,70433700
2022-10-13,134,143,134,142,113224000
2022-10-14,144,144,138,138,88598000
2022-10-17,141,142,140,142,85250900
2022-10-18,145,146,140,143,99136600
2022-10-19,141,144,141,143,61758300
2022-10-20,143,145,142,143,64522000
2022-10-21,142,147,142,147,86548600
2022-10-24,147,150,146,149,75981900
2022-10-25,150,152,149,152,74732300
2022-10-26,150,151,148,149,88194300
2022-10-27,148,149,144,144,109180200
2022-10-28,148,157,147,155,164762400
2022-10-31,153,154,151,153,97943200
2022-11-01,155,155,149,150,80379300
2022-11-02,148,152,145,145,93604600
2022-11-03,142,142,138,138,97918500
2022-11-04,142,142,134,138,140814800
2022-11-07,137,139,135,138,83374600
2022-11-08,140,141,137,139,89908500
2022-11-09,138,138,134,134,74917800
2022-11-10,141,146,139,146,118854000
2022-11-11,145,150,144,149,93979700
2022-11-14,148,150,147,148,73374100
2022-11-15,152,153,148,150,89868300
2022-11-16,149,149,147,148,64218300
2022-11-17,146,151,146,150,80389400
2022-11-18,152,152,149,151,74829600
2022-11-21,150,150,147,148,58724100
2022-11-22,148,150,146,150,51804100
2022-11-23,149,151,149,151,58301400
2022-11-25,148,148,147,148,35195900
2022-11-28,145,146,143,144,69246000
2022-11-29,144,144,140,141,83763800
2022-11-30,141,148,140,148,111380900
2022-12-01,148,149,146,148,71250400
2022-12-02,145,148,145,147,65447400
2022-12-05,147,150,145,146,68826400
2022-12-06,147,147,141,142,64727200
2022-12-07,142,143,140,140,69721100
2022-12-08,142,143,141,142,62128300
2022-12-09,142,145,140,142,76097000
2022-12-12,142,144,141,144,70462700
2022-12-13,149,149,144,145,93886200
2022-12-14,145,146,141,143,82291200
2022-12-15,141,141,136,136,98931900
2022-12-16,136,137,133,134,160156900
2022-12-19,135,135,131,132,79592600
2022-12-20,131,133,129,132,77432800
2022-12-21,132,136,132,135,85928000
2022-12-22,134,134,130,132,77852100
2022-12-23,130,132,129,131,63814900
2022-12-27,131,131,128,130,69007800
2022-12-28,129,131,125,126,85438400
2022-12-29,127,130,127,129,75703700
2022-12-30,128,129,127,129,77034200
2023-01-03,130,130,124,125,112117500
2023-01-04,126,128,125,126,89113600
2023-01-05,127,127,124,125,80962700
2023-01-06,126,130,124,129,87754700
2023-01-09,130,133,129,130,70790800
2023-01-10,130,131,128,130,63896200
2023-01-11,131,133,130,133,69458900
2023-01-12,133,134,131,133,71379600
2023-01-13,132,134,131,134,57809700
2023-01-17,134,137,134,135,63646600
2023-01-18,136,138,135,135,69672800
2023-01-19,134,136,133,135,58280400
2023-01-20,135,138,134,137,80223600
2023-01-23,138,143,137,141,81760300
2023-01-24,140,143,140,142,66435100
2023-01-25,140,142,138,141,65799300
2023-01-26,143,144,141,143,54105100
2023-01-27,143,147,143,145,70555800
2023-01-30,144,145,142,143,64015300
2023-01-31,142,144,142,144,65874500
2023-02-01,143,146,141,145,77663600
2023-02-02,148,151,148,150,118339000
2023-02-03,148,157,147,154,154357300
2023-02-06,152,153,150,151,69858300
2023-02-07,150,155,150,154,83322600
2023-02-08,153,154,151,151,64120100
2023-02-09,153,154,150,150,56007100
2023-02-10,149,151,149,151,57450700
2023-02-13,150,154,150,153,62199000
2023-02-14,152,153,150,153,61707600
2023-02-15,153,155,152,155,65573800
2023-02-16,153,156,153,153,68167900
2023-02-17,152,153,150,152,59144100
2023-02-21,150,151,148,148,58867200
2023-02-22,148,149,147,148,51011300
2023-02-23,150,150,147,149,48394200
2023-02-24,147,147,145,146,55469600
2023-02-27,147,149,147,147,44998500
2023-02-28,147,149,146,147,50547000
2023-03-01,146,147,145,145,55479000
2023-03-02,144,146,143,145,52238100
2023-03-03,148,151,147,151,70732300
2023-03-06,153,156,153,153,87558000
2023-03-07,153,154,151,151,56182000
2023-03-08,152,153,151,152,47204800
2023-03-09,153,154,150,150,53833600
2023-03-10,150,150,147,148,68572400
2023-03-13,147,153,147,150,84457100
2023-03-14,151,153,150,152,73695900
2023-03-15,151,153,149,152,77167900
2023-03-16,152,156,151,155,76161100
2023-03-17,156,156,154,155,98944600
2023-03-20,155,157,154,157,73641400
2023-03-21,157,159,156,159,73938300
2023-03-22,159,162,157,157,75701800
2023-03-23,158,161,157,158,67622100
2023-03-24,158,160,157,160,59196500
2023-03-27,159,160,157,158,52390300
2023-03-28,157,158,155,157,45992200
2023-03-29,159,161,159,160,51305700
2023-03-30,161,162,161,162,49501700
2023-03-31,162,165,161,164,68749800
2023-04-03,164,166,164,166,56976200
2023-04-04,166,166,165,165,46278300
2023-04-05,164,165,161,163,51511700
2023-04-06,162,164,162,164,45390100
2023-04-10,161,162,160,162,47716900
2023-04-11,162,162,160,160,47644200
2023-04-12,161,162,159,160,50133100
2023-04-13,161,165,161,165,68445600
2023-04-14,164,166,163,165,49386500
2023-04-17,165,165,164,165,41516200
2023-04-18,166,167,165,166,49923000
2023-04-19,165,168,165,167,47720200
2023-04-20,166,167,165,166,52456400
2023-04-21,165,166,164,165,58337300
2023-04-24,165,165,163,165,41949600
2023-04-25,165,166,163,163,48714100
2023-04-26,163,165,162,163,45498800
