Date,Open,High,Low,Close,Volume
2022-01-03,58,58,57,58,3321000
2022-01-04,57,57,57,57,4646600
2022-01-05,57,57,56,56,4804400
2022-01-06,56,57,56,56,6196400
2022-01-07,56,57,56,57,4594800
2022-01-10,56,57,56,57,5669300
2022-01-11,57,58,57,58,4439100
2022-01-12,58,58,58,58,3534500
2022-01-13,58,58,58,58,3464400
2022-01-14,58,58,58,58,5013800
2022-01-18,59,59,58,59,5901500
2022-01-19,59,59,59,59,3563900
2022-01-20,60,60,59,60,6172000
2022-01-21,59,60,59,59,5894000
2022-01-24,57,57,55,56,10423700
2022-01-25,56,58,56,57,6155800
2022-01-26,57,58,56,57,4483300
2022-01-27,58,60,57,59,10104700
2022-01-28,58,59,58,59,5038700
2022-01-31,58,58,57,58,6690200
2022-02-01,57,58,57,57,13729700
2022-02-02,57,59,57,59,9509100
2022-02-03,57,58,57,57,6987000
2022-02-04,56,56,55,55,10600200
2022-02-07,56,56,56,56,7816900
2022-02-08,56,56,56,56,7632300
2022-02-09,56,57,56,57,5571100
2022-02-10,58,60,58,58,14540200
2022-02-11,58,58,57,58,9038200
2022-02-14,57,57,56,57,6534700
2022-02-15,59,60,59,60,8355900
2022-02-16,60,61,60,60,7561000
2022-02-17,61,61,60,60,7983100
2022-02-18,60,60,59,59,34981700
2022-02-22,61,61,60,60,9954400
2022-02-23,61,61,60,60,8515000
2022-02-24,57,58,57,58,9427000
2022-02-25,59,60,59,60,6468100
2022-02-28,60,61,60,60,7358900
2022-03-01,62,62,60,61,8240600
2022-03-02,61,62,61,62,7217300
2022-03-03,60,60,59,60,6421100
2022-03-04,57,58,57,57,9284200
2022-03-07,57,57,56,56,9681300
2022-03-08,56,58,56,57,10233200
2022-03-09,58,60,58,60,9256800
2022-03-10,59,61,59,60,6667600
2022-03-11,60,60,60,60,6342000
2022-03-14,61,61,60,60,9339200
2022-03-15,60,61,60,61,5856400
2022-03-16,61,62,61,61,6955200
2022-03-17,62,63,62,63,8668800
2022-03-18,62,63,62,63,7046600
2022-03-21,63,64,63,63,4642400
2022-03-22,63,63,63,63,4209000
2022-03-23,63,64,63,64,7525400
2022-03-24,64,66,64,66,15206100
2022-03-25,64,65,64,65,9365600
2022-03-28,65,65,64,65,6358700
2022-03-29,66,66,65,65,4773100
2022-03-30,66,67,66,67,6803700
2022-03-31,67,67,66,66,6141200
2022-04-01,65,66,65,66,3829800
2022-04-04,66,66,66,66,4078500
2022-04-05,66,68,66,67,6953000
2022-04-06,68,69,67,69,5596700
2022-04-07,69,71,69,71,8309700
2022-04-08,70,71,70,71,9082000
2022-04-11,70,71,70,70,7589100
2022-04-12,68,69,68,68,7416900
2022-04-13,68,69,68,68,6304600
2022-04-14,69,69,68,69,3945600
2022-04-18,69,69,68,68,3093800
2022-04-19,68,69,67,68,6102800
2022-04-20,68,69,67,68,6205000
2022-04-21,68,69,67,67,9302300
2022-04-22,66,66,65,65,8507800
2022-04-25,64,66,64,65,7147900
2022-04-26,65,66,64,65,8841700
2022-04-27,66,66,65,66,9071700
2022-04-28,65,67,65,67,8943800
2022-04-29,66,67,66,66,10781800
2022-05-02,65,66,65,66,5594500
2022-05-03,66,67,66,67,7273700
2022-05-04,66,66,65,66,8074700
2022-05-05,65,66,64,64,8015400
2022-05-06,63,64,63,64,8663600
2022-05-09,63,63,62,62,8197100
2022-05-10,63,64,62,63,6048300
2022-05-11,61,62,61,61,10486500
2022-05-12,60,61,60,61,8800400
2022-05-13,62,63,62,63,5831300
2022-05-16,63,64,63,64,5604100
2022-05-17,65,65,65,65,6447700
2022-05-18,64,64,63,63,8770100
2022-05-19,63,64,63,64,6443400
2022-05-20,65,66,64,66,7169200
2022-05-23,66,67,66,66,6481200
2022-05-24,66,66,66,66,6134500
2022-05-25,66,67,66,66,3860200
2022-05-26,66,67,66,66,6217400
2022-05-27,66,67,66,67,5430300
2022-05-31,65,66,65,66,5771700
2022-06-01,66,66,65,66,5281400
2022-06-02,66,66,65,66,3857000
2022-06-03,66,66,65,65,5582200
2022-06-06,64,64,63,63,10234100
2022-06-07,63,65,63,65,6078900
2022-06-08,64,65,64,64,5038000
2022-06-09,64,64,62,62,5409900
2022-06-10,61,62,61,61,6953900
2022-06-13,60,60,59,60,6943000
2022-06-14,58,59,58,59,14992800
2022-06-15,60,60,59,60,7670600
2022-06-16,60,61,59,60,10928600
2022-06-17,61,61,60,61,8372000
2022-06-21,62,63,62,62,5567400
2022-06-22,62,64,62,63,5316300
2022-06-23,63,64,63,64,4380800
2022-06-24,66,66,65,66,5643300
2022-06-27,66,67,65,66,4638100
2022-06-28,66,66,65,65,7351800
2022-06-29,66,67,66,67,5864700
2022-06-30,65,66,65,66,4731300
2022-07-01,64,65,64,65,8857500
2022-07-05,64,65,64,65,9344400
2022-07-06,66,66,65,66,7012100
