Date,Open,High,Low,Close,Volume
2022-01-03,204,210,203,207,9060200
2022-01-04,211,214,209,213,11414600
2022-01-05,216,218,211,213,11564700
2022-01-06,214,216,207,211,7142200
2022-01-07,212,218,212,215,9526400
2022-01-10,214,215,207,209,8229000
2022-01-11,209,217,208,216,8098400
2022-01-12,217,221,216,217,9134500
2022-01-13,222,226,220,223,17628000
2022-01-14,222,226,220,225,8053500
2022-01-18,224,229,224,225,8930700
2022-01-19,225,225,216,217,9382800
2022-01-20,217,221,213,214,7636800
2022-01-21,213,213,204,205,11548500
2022-01-24,199,204,192,204,13796500
2022-01-25,200,205,197,204,8824500
2022-01-26,206,206,191,194,19974400
2022-01-27,196,199,188,189,12670100
2022-01-28,188,190,183,190,10966700
2022-01-31,190,200,190,200,15504600
2022-02-01,202,208,200,208,12265100
2022-02-02,205,208,203,207,7843700
2022-02-03,206,209,204,206,7054700
2022-02-04,205,208,203,206,5952600
2022-02-07,205,214,205,211,11816900
2022-02-08,212,213,209,213,7356200
2022-02-09,214,217,213,215,7587700
2022-02-10,213,223,213,218,11695900
2022-02-11,217,221,210,212,11443700
2022-02-14,213,215,208,210,6481400
2022-02-15,214,219,213,217,10448500
2022-02-16,216,219,215,218,5698900
2022-02-17,218,218,212,213,6176600
2022-02-18,212,214,208,209,6973600
2022-02-22,205,206,197,198,10382100
2022-02-23,201,203,195,196,7326300
2022-02-24,189,198,186,198,12207600
2022-02-25,201,204,199,201,8730300
2022-02-28,198,207,196,205,9859300
2022-03-01,203,203,192,194,11799500
2022-03-02,196,199,194,197,7463400
2022-03-03,197,198,188,188,12424500
2022-03-04,187,188,178,180,13084000
2022-03-07,181,182,169,169,12847500
2022-03-08,169,180,167,173,13715500
2022-03-09,179,182,177,178,10062100
2022-03-10,175,182,175,178,8364100
2022-03-11,183,184,175,176,9373600
2022-03-14,175,178,172,175,8138900
2022-03-15,176,180,175,179,8051500
2022-03-16,183,189,182,188,12077500
2022-03-17,186,190,185,190,8126600
2022-03-18,192,193,190,192,12849600
2022-03-21,184,187,180,185,27369600
2022-03-22,185,192,184,191,14378500
2022-03-23,189,190,185,186,8297800
2022-03-24,186,189,184,189,7094400
2022-03-25,187,191,186,188,6365600
2022-03-28,188,189,184,188,6904100
2022-03-29,191,196,191,193,8438700
2022-03-30,192,197,191,194,9959300
2022-03-31,195,197,191,191,6447900
2022-04-01,192,192,188,190,4862100
2022-04-04,190,191,186,191,7792100
2022-04-05,189,192,182,182,9371600
2022-04-06,180,180,176,178,8173900
2022-04-07,178,178,173,177,7517800
2022-04-08,176,178,174,175,6524100
2022-04-11,173,179,173,175,6001100
2022-04-12,175,178,174,176,6125100
2022-04-13,176,183,176,182,7399900
2022-04-14,182,185,181,181,5144600
2022-04-18,181,182,178,179,5042600
2022-04-19,180,187,180,185,7485600
2022-04-20,187,187,182,183,6824300
2022-04-21,188,189,180,181,7446100
2022-04-22,180,182,176,176,6372400
2022-04-25,174,176,172,175,6293100
2022-04-26,174,174,166,167,9277300
2022-04-27,161,161,146,154,40371700
2022-04-28,156,156,149,154,13518800
2022-04-29,153,157,148,148,10880300
2022-05-02,148,149,143,148,12399200
2022-05-03,149,154,147,153,10149500
2022-05-04,152,157,150,156,9550600
2022-05-05,155,157,149,150,7950800
2022-05-06,149,150,145,148,7697900
2022-05-09,146,146,132,133,12593800
2022-05-10,136,137,130,132,11781400
2022-05-11,132,138,129,129,11388400
2022-05-12,126,128,120,123,15891300
2022-05-13,124,130,122,127,20891500
2022-05-16,127,131,122,124,10631600
2022-05-17,126,132,125,132,12154200
2022-05-18,130,132,124,125,9567600
2022-05-19,124,128,123,127,8075800
2022-05-20,128,128,117,120,18822200
2022-05-23,121,124,120,124,9341500
2022-05-24,122,122,117,119,9092400
2022-05-25,119,122,118,122,7707900
2022-05-26,123,128,122,127,8333900
2022-05-27,128,132,128,132,7261500
2022-05-31,131,132,128,131,7953700
2022-06-01,133,134,127,130,9991600
2022-06-02,132,140,131,140,12777000
2022-06-03,138,140,137,139,10091800
2022-06-06,139,141,136,139,6354800
2022-06-07,137,141,135,140,5436100
2022-06-08,139,142,138,139,5833700
2022-06-09,139,139,133,133,6010100
2022-06-10,130,132,126,127,7770700
2022-06-13,123,123,114,115,16778500
2022-06-14,116,122,113,122,17549800
2022-06-15,124,134,123,133,25997800
2022-06-16,131,135,131,133,19543600
2022-06-17,132,138,131,136,16042500
2022-06-21,139,140,135,136,10519900
2022-06-22,134,138,133,137,7713300
2022-06-23,136,137,130,133,10746900
2022-06-24,135,141,134,141,13626200
2022-06-27,140,140,136,138,8457400
2022-06-28,140,147,138,138,12125400
2022-06-29,138,138,134,138,7489200
2022-06-30,134,137,131,136,8455100
2022-07-01,135,141,135,139,7627100
2022-07-05,136,138,131,137,10065900
2022-07-06,137,138,134,136,6608000
2022-07-07,137,142,137,139,7674400
2022-07-08,139,140,137,139,5655500
2022-07-11,137,139,134,136,6176500
2022-07-12,136,149,136,147,18598200
2022-07-13,142,146,142,143,9038700
2022-07-14,141,147,140,147,9456100
2022-07-15,149,149,144,147,7910400
2022-07-18,153,155,147,147,13948500
2022-07-19,149,156,148,156,14183000
2022-07-20,156,159,154,158,8668600
2022-07-21,158,161,156,161,8044100
2022-07-22,161,163,157,158,7594900
2022-07-25,156,157,152,156,5764700
2022-07-26,155,158,154,155,6053100
2022-07-27,161,162,152,156,16356600
2022-07-28,154,160,153,159,8729100
2022-07-29,157,159,155,159,5743500
2022-08-01,165,171,164,169,18321600
2022-08-02,167,167,163,163,10874300
2022-08-03,164,167,162,166,6709100
2022-08-04,165,168,164,166,5039600
2022-08-05,164,167,163,165,4709100
2022-08-08,166,171,164,165,11293200
2022-08-09,166,166,163,164,6064800
2022-08-10,168,171,167,169,7181700
2022-08-11,170,171,167,167,4996800
2022-08-12,168,170,167,169,4345200
2022-08-15,169,172,168,170,4734700
2022-08-16,170,173,169,172,5259600
2022-08-17,169,169,166,167,6533500
2022-08-18,167,169,165,168,4404600
2022-08-19,166,166,162,162,5736100
2022-08-22,159,160,157,158,5312300
2022-08-23,159,161,159,160,3425200
2022-08-24,162,164,161,163,4211300
2022-08-25,164,169,163,169,4949400
2022-08-26,170,171,164,164,4957400
2022-08-29,162,166,162,165,4727600
2022-08-30,167,169,160,162,6248600
2022-08-31,163,163,160,160,4123500
2022-09-01,158,158,150,153,7652000
2022-09-02,155,156,151,151,5262800
2022-09-06,152,154,150,152,5210500
2022-09-07,151,156,150,155,5298600
2022-09-08,155,158,153,157,4949100
2022-09-09,158,159,156,157,5775800
2022-09-12,158,160,157,158,5363100
2022-09-13,153,155,147,147,8724900
2022-09-14,146,149,144,149,8478000
2022-09-15,147,153,147,149,9792800
2022-09-16,145,145,141,144,10310700
2022-09-19,142,146,142,144,5150700
2022-09-20,145,147,143,145,6737600
2022-09-21,146,149,143,143,6244300
2022-09-22,143,143,138,138,6311800
2022-09-23,135,136,129,131,8927900
2022-09-26,129,132,126,127,7095100
2022-09-27,129,130,125,127,6682300
2022-09-28,128,133,127,133,10257200
2022-09-29,131,131,123,125,8905400
2022-09-30,123,125,120,121,8383000
2022-10-03,122,127,121,126,7962400
2022-10-04,129,133,129,133,7235700
2022-10-05,130,133,128,132,6268300
2022-10-06,131,133,129,132,4454700
2022-10-07,130,130,128,129,5097400
2022-10-10,131,135,130,131,6829900
2022-10-11,132,135,129,131,8508400
2022-10-12,128,131,127,130,6393000
2022-10-13,126,134,124,132,7842300
2022-10-14,135,136,131,133,6093900
2022-10-17,136,137,133,136,9073500
2022-10-18,139,139,135,137,6146300
2022-10-19,137,141,136,138,6321900
2022-10-20,138,141,138,139,4331700
2022-10-21,138,141,136,141,5451300
2022-10-24,142,142,139,142,5177800
2022-10-25,142,146,141,146,6515600
2022-10-26,147,150,132,133,29406500
2022-10-27,137,143,136,139,13754900
2022-10-28,141,144,139,143,7941100
2022-10-31,141,144,139,142,6212200
2022-11-01,143,145,141,143,5758600
2022-11-02,142,153,141,147,20236100
2022-11-03,148,158,147,156,16212600
2022-11-04,156,160,154,160,9396200
2022-11-07,161,166,160,164,10220300
2022-11-08,166,170,164,169,11274500
2022-11-09,169,171,166,168,8893800
2022-11-10,172,179,171,177,12375000
2022-11-11,176,178,172,177,8894300
2022-11-14,176,178,173,173,5598300
2022-11-15,175,176,172,175,7207900
2022-11-16,174,174,171,172,4438600
2022-11-17,169,173,168,172,4878600
2022-11-18,173,175,171,173,4693200
2022-11-21,172,174,171,172,3501800
2022-11-22,173,174,171,172,4370600
2022-11-23,172,175,171,174,3523500
2022-11-25,174,178,174,178,3476900
2022-11-28,176,177,171,171,5355500
2022-11-29,172,175,172,175,5077800
2022-11-30,178,179,174,178,6778700
2022-12-01,178,179,174,175,4517500
2022-12-02,173,183,172,182,10563800
2022-12-05,182,188,180,185,10456300
2022-12-06,184,184,177,178,8236900
2022-12-07,176,178,174,176,5871200
2022-12-08,179,184,178,179,6707700
2022-12-09,180,183,179,179,6359000
2022-12-12,180,186,180,186,8098400
2022-12-13,191,191,184,187,10975300
2022-12-14,187,189,185,188,5814900
2022-12-15,186,187,181,183,5343200
2022-12-16,182,186,181,184,7906800
2022-12-19,184,188,184,185,6605400
2022-12-20,186,189,185,188,6156800
2022-12-21,190,196,189,196,9175400
2022-12-22,193,194,185,188,6924800
2022-12-23,188,189,184,189,3983600
2022-12-27,189,192,187,189,5014800
2022-12-28,189,191,187,188,4426300
2022-12-29,189,190,186,188,4518900
2022-12-30,187,190,187,190,4007400
2023-01-03,192,197,192,195,8624600
2023-01-04,195,203,195,203,9746900
2023-01-05,201,204,200,204,6913300
2023-01-06,205,213,203,213,11256400
2023-01-09,212,213,207,208,9005600
2023-01-10,203,209,203,206,8183200
2023-01-11,209,210,206,208,7190700
2023-01-12,209,214,207,214,8208100
2023-01-13,212,216,211,214,6213200
2023-01-17,212,213,209,211,6150700
2023-01-18,212,213,209,209,5403100
2023-01-19,206,209,204,207,5813500
2023-01-20,207,207,204,206,5475400
2023-01-23,208,211,206,209,5481900
2023-01-24,205,212,205,211,4753700
2023-01-25,205,214,203,212,16106500
2023-01-26,213,213,207,212,7288100
2023-01-27,211,212,209,211,5237900
2023-01-30,209,211,207,209,6066800
2023-01-31,210,213,208,213,5163000
2023-02-01,212,218,211,214,8462100
2023-02-02,215,215,208,209,6513400
2023-02-03,207,210,205,206,5400300
2023-02-06,205,208,203,206,3903000
2023-02-07,208,215,206,214,7311200
2023-02-08,213,215,211,213,4229800
2023-02-09,214,215,210,211,5018900
2023-02-10,212,214,210,212,4862900
2023-02-13,213,216,211,215,5193300
2023-02-14,214,221,213,218,10033100
2023-02-15,217,218,214,217,4846800
2023-02-16,215,216,212,212,4388000
2023-02-17,211,211,207,211,4985700
2023-02-21,208,210,205,205,4663800
2023-02-22,205,207,204,205,2920000
2023-02-23,207,209,205,208,4139400
2023-02-24,200,201,197,198,9658700
2023-02-27,199,203,199,200,4318900
2023-02-28,201,202,199,201,3589900
2023-03-01,201,205,200,204,4402300
2023-03-02,203,210,203,210,5451500
2023-03-03,210,216,209,215,7496800
2023-03-06,214,214,209,211,7004400
2023-03-07,211,213,207,207,4619700
2023-03-08,208,208,205,207,2406900
2023-03-09,208,209,200,201,4284000
2023-03-10,201,205,197,203,8547100
2023-03-13,200,207,197,203,6671200
2023-03-14,207,213,205,207,8245700
2023-03-15,201,202,192,198,10894200
2023-03-16,196,203,194,203,6747300
2023-03-17,201,202,199,201,9858900
2023-03-20,201,205,200,204,4764000
2023-03-21,207,207,203,204,4673300
2023-03-22,203,203,196,196,7311600
2023-03-23,197,201,195,197,6266900
2023-03-24,195,197,193,197,4511600
2023-03-27,198,201,198,200,3891700
2023-03-28,200,206,200,204,5460600
2023-03-29,206,208,205,207,3572200
2023-03-30,208,212,206,211,6583400
