Date,Open,High,Low,Close,Volume
2022-01-03,389,399,387,395,3334300
2022-01-04,402,410,401,407,3916400
2022-01-05,409,412,397,398,3469600
2022-01-06,401,401,386,396,2960900
2022-01-07,397,400,394,397,2360700
2022-01-10,401,404,394,399,3009400
2022-01-11,400,403,396,403,1748800
2022-01-12,403,404,388,390,4158000
2022-01-13,394,396,389,390,2497800
2022-01-14,382,384,375,380,4685300
2022-01-18,360,361,347,354,13123500
2022-01-19,358,359,346,347,7426100
2022-01-20,348,357,346,348,4599900
2022-01-21,345,348,340,343,4904100
2022-01-24,337,344,326,343,6569800
2022-01-25,337,342,330,341,3959300
2022-01-26,346,350,338,342,3745900
2022-01-27,345,348,337,341,2573400
2022-01-28,337,347,333,347,3714600
2022-01-31,344,355,343,354,3312400
2022-02-01,356,364,354,364,3303700
2022-02-02,363,368,357,363,2742400
2022-02-03,362,365,358,358,2372900
2022-02-04,362,370,361,367,3762300
2022-02-07,365,371,363,368,2635600
2022-02-08,371,372,366,370,3422300
2022-02-09,373,376,370,374,2250400
2022-02-10,371,377,368,370,2406200
2022-02-11,368,374,360,363,3142100
2022-02-14,363,364,357,360,2585600
2022-02-15,364,365,361,363,1846400
2022-02-16,361,363,356,360,2165300
2022-02-17,358,360,347,349,3102400
2022-02-18,345,350,343,346,2910900
2022-02-22,342,349,341,344,2590800
2022-02-23,347,349,339,341,2217300
2022-02-24,328,341,326,340,4564000
2022-02-25,340,350,340,350,2980500
2022-02-28,340,343,337,341,4245700
2022-03-01,337,338,327,328,5631500
2022-03-02,331,338,327,336,3469900
2022-03-03,338,341,330,333,2393700
2022-03-04,327,330,324,329,3293100
2022-03-07,326,327,320,321,3689900
2022-03-08,322,330,318,321,3596400
2022-03-09,331,337,330,333,3202100
2022-03-10,327,331,324,329,2232600
2022-03-11,334,336,326,327,2613500
2022-03-14,329,331,322,324,2342200
2022-03-15,327,331,324,329,2140700
2022-03-16,335,341,334,340,3468500
2022-03-17,337,343,334,343,2403500
2022-03-18,338,346,337,345,5861900
2022-03-21,345,346,337,339,3401200
2022-03-22,342,346,340,343,2840200
2022-03-23,340,340,335,335,2196800
2022-03-24,336,337,334,336,1944100
2022-03-25,337,341,335,337,1580800
2022-03-28,338,338,331,335,2182600
2022-03-29,342,344,336,339,2378700
2022-03-30,339,339,333,335,2650200
2022-03-31,336,336,330,330,2632000
2022-04-01,333,334,327,330,2444800
2022-04-04,330,331,325,328,2569400
2022-04-05,327,329,323,323,2573900
2022-04-06,320,320,315,316,3151300
2022-04-07,315,315,308,314,3562600
2022-04-08,313,323,313,321,3294200
2022-04-11,320,328,319,320,2747700
2022-04-12,321,327,318,319,2365200
2022-04-13,315,322,314,321,3022900
2022-04-14,328,333,319,321,5460900
2022-04-18,320,332,320,329,3653400
2022-04-19,330,337,330,335,2774800
2022-04-20,338,344,337,341,3040100
2022-04-21,344,347,333,334,3097800
2022-04-22,332,332,319,319,3125200
2022-04-25,316,322,312,321,3093600
2022-04-26,317,321,312,313,2791700
2022-04-27,312,319,312,313,2469300
2022-04-28,317,319,312,318,2176000
2022-04-29,317,319,304,305,3129600
2022-05-02,305,311,302,310,2968100
2022-05-03,311,319,311,314,2606200
2022-05-04,315,324,312,324,2629400
2022-05-05,320,320,308,313,2622100
2022-05-06,312,313,306,312,2375600
2022-05-09,308,313,304,308,3234000
2022-05-10,311,315,300,305,2798400
2022-05-11,305,310,301,301,2320600
2022-05-12,300,302,293,299,3408300
2022-05-13,303,309,303,306,2152500
2022-05-16,305,306,300,303,1568800
2022-05-17,309,314,308,312,2096200
2022-05-18,309,312,304,306,2033200
2022-05-19,303,309,303,308,2108800
2022-05-20,311,312,299,306,2201100
2022-05-23,312,321,311,316,2653000
2022-05-24,315,315,306,313,1870900
2022-05-25,311,317,309,314,1929500
2022-05-26,318,325,317,323,2440400
2022-05-27,326,328,323,328,2106700
2022-05-31,324,329,322,326,2722900
2022-06-01,327,329,315,321,2330200
2022-06-02,320,325,319,324,1957500
2022-06-03,320,322,317,318,1238900
2022-06-06,323,325,319,320,1099700
2022-06-07,318,321,316,321,2516800
2022-06-08,318,319,312,314,1438100
2022-06-09,313,314,304,304,2896500
2022-06-10,296,298,286,287,3866900
2022-06-13,279,286,278,283,4218100
2022-06-14,284,289,281,282,2487700
2022-06-15,287,294,284,290,2725800
2022-06-16,282,286,279,284,2777300
2022-06-17,282,286,278,279,5234400
2022-06-21,287,288,282,284,2506300
2022-06-22,282,286,281,284,2463100
2022-06-23,283,286,278,286,2547000
2022-06-24,291,303,290,302,3984300
2022-06-27,303,304,298,300,2091700
2022-06-28,305,308,299,299,2276600
2022-06-29,303,307,299,303,2475900
2022-06-30,296,300,292,297,2669500
2022-07-01,295,300,291,299,1749400
2022-07-05,293,297,288,297,2480900
2022-07-06,296,297,290,293,1774500
2022-07-07,297,299,293,298,2046500
2022-07-08,300,300,295,296,1438900
2022-07-11,293,296,291,293,1519400
2022-07-12,289,299,289,292,1772600
2022-07-13,290,291,285,290,1884100
2022-07-14,284,284,277,281,3171900
2022-07-15,286,296,285,293,3457600
2022-07-18,305,311,298,301,6767900
2022-07-19,303,319,303,318,5641100
2022-07-20,317,322,316,321,3489800
2022-07-21,320,327,319,326,2518800
2022-07-22,327,329,322,323,1830300
2022-07-25,325,327,322,324,4024500
2022-07-26,321,324,317,318,2054700
2022-07-27,320,326,318,324,2081900
2022-07-28,325,329,321,329,1820700
2022-07-29,329,335,329,333,2112200
2022-08-01,331,334,329,332,1476500
2022-08-02,329,331,327,327,1862900
2022-08-03,332,335,329,333,1770600
2022-08-04,333,334,330,331,1533400
2022-08-05,330,336,329,334,1876400
2022-08-08,337,338,334,334,1460000
2022-08-09,336,338,334,336,1587900
2022-08-10,341,349,341,347,2459500
2022-08-11,350,356,349,351,2360800
2022-08-12,353,354,350,353,2369000
2022-08-15,351,358,349,355,2045700
