Date,Open,High,Low,Close,Volume
2022-01-03,58,59,58,59,20187300
2022-01-04,59,60,59,60,26141600
2022-01-05,60,61,60,60,22507300
2022-01-06,60,61,60,60,17902300
2022-01-07,60,60,60,60,12307900
2022-01-10,60,60,60,60,20954300
2022-01-11,60,60,59,60,19369600
2022-01-12,60,60,60,60,15753800
2022-01-13,60,61,60,60,14318000
2022-01-14,60,61,60,61,19729600
2022-01-18,61,61,60,60,21976700
2022-01-19,60,61,60,61,18654700
2022-01-20,61,61,60,60,23002400
2022-01-21,61,61,60,60,26643200
2022-01-24,59,60,58,59,30185100
2022-01-25,59,60,58,59,19027100
2022-01-26,59,60,59,59,19190200
2022-01-27,59,60,59,59,18893800
2022-01-28,59,60,58,60,19101500
2022-01-31,60,61,60,61,22045300
2022-02-01,60,61,60,60,20841700
2022-02-02,60,61,60,61,20225600
2022-02-03,60,61,60,61,19440500
2022-02-04,61,61,60,60,17403700
2022-02-07,61,61,60,61,17846400
2022-02-08,61,62,61,62,18771700
2022-02-09,62,62,60,61,23595600
2022-02-10,60,62,60,61,23561500
2022-02-11,61,61,60,60,22781400
2022-02-14,60,60,59,60,23641300
2022-02-15,60,61,60,60,13408700
2022-02-16,60,61,60,60,15484700
2022-02-17,60,62,60,62,21468700
2022-02-18,62,62,61,62,21975000
2022-02-22,62,62,61,62,21731400
2022-02-23,62,62,61,61,19248500
2022-02-24,59,60,59,60,27207400
2022-02-25,60,62,60,62,21487800
2022-02-28,61,62,61,62,25879100
2022-03-01,62,62,61,61,15871100
2022-03-02,62,62,61,62,17319100
2022-03-03,62,63,62,62,21262800
2022-03-04,61,62,61,62,17163000
2022-03-07,62,62,60,61,29151400
2022-03-08,61,61,58,58,30242100
2022-03-09,59,59,58,58,23022700
2022-03-10,58,58,57,57,20887300
2022-03-11,57,58,57,57,19855600
2022-03-14,57,59,57,58,17799400
2022-03-15,59,59,58,59,18607200
2022-03-16,59,59,58,59,17347300
2022-03-17,59,60,59,60,15586200
2022-03-18,60,60,59,60,30197800
2022-03-21,60,61,60,60,17440100
2022-03-22,60,60,60,60,17559500
2022-03-23,60,60,60,60,15529200
2022-03-24,60,61,60,60,13151300
2022-03-25,61,61,61,61,12259800
2022-03-28,61,61,61,61,11485200
2022-03-29,62,62,61,62,14720600
2022-03-30,62,62,61,62,13641000
2022-03-31,62,62,62,62,16822900
2022-04-01,62,62,62,62,12644900
2022-04-04,62,62,61,62,11505800
2022-04-05,62,63,62,62,15721200
2022-04-06,62,63,62,63,19267400
2022-04-07,63,63,62,63,13960800
2022-04-08,63,64,63,63,12703500
2022-04-11,63,64,63,63,12720100
2022-04-12,64,64,63,64,18089900
2022-04-13,64,64,64,64,11883000
2022-04-14,64,65,64,65,16388400
2022-04-18,64,65,64,64,11679400
2022-04-19,64,65,64,65,11993800
2022-04-20,65,66,65,65,14827100
2022-04-21,65,67,65,66,15120400
2022-04-22,66,66,65,65,14902200
2022-04-25,67,67,64,65,25082000
2022-04-26,65,66,65,65,21982600
2022-04-27,65,66,65,65,16971000
2022-04-28,64,66,64,66,22010600
2022-04-29,65,66,64,64,20137100
2022-05-02,65,65,62,63,24970300
2022-05-03,63,63,62,63,21686300
2022-05-04,63,65,62,65,19780200
2022-05-05,64,65,64,64,20155200
2022-05-06,64,65,64,64,18984000
2022-05-09,64,65,64,64,20055300
2022-05-10,64,65,63,64,21322200
