Date,Open,High,Low,Close,Volume
2022-01-03,605,609,590,597,3067500
2022-01-04,599,600,581,591,4393100
2022-01-05,592,592,566,567,4148700
2022-01-06,554,563,542,553,5711800
2022-01-07,549,553,538,541,3382900
2022-01-10,538,543,526,539,4486100
2022-01-11,536,543,530,540,3077800
2022-01-12,544,544,532,537,3787400
2022-01-13,537,540,518,519,4475100
2022-01-14,517,538,511,525,7861100
2022-01-18,520,521,508,510,4839100
2022-01-19,515,523,510,515,4353500
2022-01-20,517,526,506,508,12659000
2022-01-21,400,409,379,397,58904300
2022-01-24,383,387,351,387,32346000
2022-01-25,379,387,365,366,15145800
2022-01-26,378,382,356,359,12684000
2022-01-27,382,394,378,386,24324700
2022-01-28,386,387,372,384,11966600
2022-01-31,401,427,398,427,20047500
2022-02-01,432,458,425,457,22568100
2022-02-02,448,451,426,429,14346000
2022-02-03,421,429,404,405,9905200
2022-02-04,407,412,396,410,7789800
2022-02-07,410,412,393,402,8232900
2022-02-08,398,406,395,403,6818500
2022-02-09,408,412,398,412,7738200
2022-02-10,402,408,396,406,8452900
2022-02-11,405,411,387,391,7558900
2022-02-14,387,409,386,396,7202200
2022-02-15,403,409,401,407,5392300
2022-02-16,401,401,390,398,5277700
2022-02-17,394,399,385,386,4669200
2022-02-18,392,402,389,391,6801700
2022-02-22,388,392,373,377,6697500
2022-02-23,382,386,366,367,4614300
2022-02-24,355,390,354,390,7068700
2022-02-25,386,391,375,390,4841600
2022-02-28,387,397,382,394,5035000
2022-03-01,391,395,383,386,3290400
2022-03-02,388,389,375,380,5356800
2022-03-03,386,386,364,368,6076800
2022-03-04,368,374,357,361,5325500
2022-03-07,360,362,350,350,5708400
2022-03-08,349,358,340,341,6428700
2022-03-09,357,364,350,358,6520200
2022-03-10,356,367,353,356,4807800
2022-03-11,361,363,340,340,4819900
2022-03-14,338,341,329,331,5907800
2022-03-15,335,345,332,343,5460600
2022-03-16,348,359,343,357,6982500
2022-03-17,359,373,354,371,5818300
2022-03-18,372,381,368,380,8324800
2022-03-21,378,381,368,374,4866500
2022-03-22,371,386,366,382,4242800
2022-03-23,379,382,374,374,3729000
2022-03-24,379,379,368,375,3888500
2022-03-25,377,377,366,373,3574500
2022-03-28,375,380,366,378,4323400
2022-03-29,384,396,380,391,5880700
2022-03-30,389,392,378,381,4023300
2022-03-31,383,384,373,374,4134700
2022-04-01,376,380,368,373,4644200
2022-04-04,373,396,373,391,7001800
2022-04-05,389,390,377,380,4234500
2022-04-06,374,376,362,368,4354900
2022-04-07,365,368,353,362,4948900
2022-04-08,361,362,354,355,4025200
2022-04-11,350,354,345,348,3777100
2022-04-12,355,359,342,344,3824300
2022-04-13,343,352,341,350,3231000
2022-04-14,350,352,339,341,4343800
2022-04-18,340,342,331,337,5105000
2022-04-19,333,351,333,348,20906900
2022-04-20,245,248,212,226,133387500
2022-04-21,220,227,211,218,53501600
2022-04-22,220,226,210,215,37515100
2022-04-25,213,216,204,209,28152000
2022-04-26,208,209,198,198,20318100
2022-04-27,194,200,187,188,22298400
2022-04-28,191,201,185,199,21363200
2022-04-29,198,204,190,190,16391900
2022-05-02,191,200,190,199,14591600
2022-05-03,198,203,194,199,11839400
2022-05-04,197,204,191,204,12218800
2022-05-05,200,200,186,188,13971300
2022-05-06,186,187,175,180,17185500
2022-05-09,177,183,172,173,14031300
2022-05-10,176,181,170,177,13883900
2022-05-11,176,180,165,166,12665500
2022-05-12,163,177,162,174,17662100
2022-05-13,177,187,176,187,13136300
2022-05-16,193,195,185,186,16145000
2022-05-17,189,191,185,190,9876700
2022-05-18,186,187,176,177,9665600
2022-05-19,178,186,175,183,10448500
2022-05-20,185,190,179,186,10429400
2022-05-23,186,187,177,187,9602000
2022-05-24,182,184,177,180,7706400
2022-05-25,180,188,180,187,8522100
2022-05-26,186,192,183,191,8049900
2022-05-27,193,195,190,195,8586000
2022-05-31,196,199,190,197,11398500
2022-06-01,198,202,191,192,8416200
2022-06-02,192,205,191,205,9623100
2022-06-03,200,202,198,198,7191800
2022-06-06,202,203,195,197,5372000
2022-06-07,194,199,193,198,4839500
2022-06-08,197,207,197,202,7244100
2022-06-09,200,201,192,192,6949000
2022-06-10,182,185,180,182,13065600
2022-06-13,177,179,168,169,10222400
2022-06-14,169,172,164,167,11555300
2022-06-15,169,183,168,180,12396000
2022-06-16,174,176,171,173,8201300
2022-06-17,173,179,173,175,12133400
2022-06-21,177,178,169,170,12177600
2022-06-22,170,182,170,178,11992400
2022-06-23,180,182,175,181,9538200
2022-06-24,183,191,181,190,12424000
2022-06-27,191,191,182,189,8363900
2022-06-28,189,192,179,179,7185400
2022-06-29,179,180,175,178,5766800
2022-06-30,177,179,170,174,7894700
2022-07-01,176,180,174,179,5201600
2022-07-05,176,185,172,185,7334300
2022-07-06,185,186,180,184,5753400
2022-07-07,184,190,183,189,6334500
2022-07-08,186,189,182,186,5835700
2022-07-11,184,184,176,177,6038800
2022-07-12,177,179,173,174,6845300
2022-07-13,170,179,169,176,12734400
2022-07-14,175,177,171,174,9039500
2022-07-15,175,189,174,189,16319100
2022-07-18,192,199,189,190,16322800
2022-07-19,193,201,188,201,28178700
2022-07-20,208,216,200,216,53920300
2022-07-21,214,224,211,223,23430100
2022-07-22,222,229,218,220,17805500
2022-07-25,221,225,216,218,10935200
2022-07-26,216,219,211,213,9508500
2022-07-27,216,227,214,226,10508400
2022-07-28,224,228,219,226,8972700
2022-07-29,223,230,222,224,9064900
2022-08-01,223,228,221,226,5525000
2022-08-02,222,228,220,221,6361300
2022-08-03,224,228,222,226,6400700
2022-08-04,227,232,225,229,7142700
2022-08-05,225,228,222,226,5539700
2022-08-08,227,241,226,233,10982100
2022-08-09,231,232,224,229,6181200
2022-08-10,236,244,236,244,9254800
2022-08-11,244,251,241,242,8780100
2022-08-12,244,249,243,249,6098500
2022-08-15,248,251,247,249,6527400
2022-08-16,247,249,244,245,5136800
2022-08-17,241,244,237,241,5627200
2022-08-18,241,246,239,245,5280400
2022-08-19,240,243,235,241,7504700
2022-08-22,232,233,224,226,8630100
2022-08-23,226,229,224,224,5276900
2022-08-24,225,234,223,229,5426300
2022-08-25,230,234,229,233,3766900
2022-08-26,233,236,223,223,5349800
2022-08-29,221,229,221,224,7109400
2022-08-30,226,229,218,220,5740400
2022-08-31,227,233,223,223,8615900
2022-09-01,220,230,219,230,7292900
2022-09-02,231,233,225,226,8164900
2022-09-06,225,226,214,218,7469000
2022-09-07,220,229,218,228,8149300
2022-09-08,224,228,221,227,6737400
2022-09-09,229,234,229,233,6699600
2022-09-12,233,239,233,236,6047400
2022-09-13,226,227,217,218,8000100
2022-09-14,219,228,215,224,8230300
2022-09-15,230,242,229,235,19454100
2022-09-16,231,241,227,240,18914200
2022-09-19,245,245,235,243,17912400
2022-09-20,240,250,239,242,16037400
2022-09-21,242,248,236,236,9166800
2022-09-22,235,240,231,237,10018000
2022-09-23,235,236,221,226,11207200
2022-09-26,225,232,223,224,8234300
2022-09-27,228,230,220,224,7762200
2022-09-28,229,246,227,245,17579700
2022-09-29,241,246,235,239,18994900
2022-09-30,237,242,233,235,11848600
2022-10-03,237,241,232,239,8657400
2022-10-04,244,245,233,240,13925900
2022-10-05,238,241,227,236,10825600
2022-10-06,236,244,233,240,9188900
2022-10-07,235,237,224,224,9806100
2022-10-10,225,233,224,229,9991100
2022-10-11,226,230,213,214,15282400
2022-10-12,214,223,212,220,12952600
2022-10-13,212,234,211,232,17505000
2022-10-14,237,238,229,230,15293400
2022-10-17,234,249,234,245,21057800
2022-10-18,249,250,237,240,25776700
2022-10-19,265,279,262,272,46685300
2022-10-20,272,278,266,268,17207100
2022-10-21,268,290,265,289,24889100
2022-10-24,290,290,280,282,13326400
2022-10-25,286,297,285,291,15100700
2022-10-26,290,305,288,298,15714100
2022-10-27,298,305,294,296,14612600
2022-10-28,297,301,292,295,9960500
2022-10-31,295,297,289,291,7505100
2022-11-01,296,299,286,286,6916400
2022-11-02,286,287,272,273,10367600
2022-11-03,271,276,268,269,7057400
2022-11-04,272,274,255,260,11124700
2022-11-07,261,261,252,258,7927000
2022-11-08,259,266,256,263,7683800
2022-11-09,259,260,254,254,7266000
2022-11-10,265,275,260,274,9667300
2022-11-11,274,290,271,290,9573800
2022-11-14,290,311,288,299,17978200
2022-11-15,309,312,302,310,14626900
2022-11-16,309,310,303,306,8038600
2022-11-17,294,299,291,295,9838200
2022-11-18,297,298,287,287,8400100
2022-11-21,291,291,282,285,7256500
2022-11-22,284,286,277,286,6245100
2022-11-23,285,292,283,291,5919000
2022-11-25,289,289,284,285,3236000
2022-11-28,284,289,280,281,4703400
2022-11-29,282,282,275,280,5786900
2022-11-30,281,308,280,305,16070100
2022-12-01,303,319,303,316,14664900
2022-12-02,310,321,310,320,12690600
2022-12-05,316,322,310,312,8423000
2022-12-06,311,313,303,305,7195400
2022-12-07,306,309,302,308,7821600
2022-12-08,309,312,304,310,7205300
2022-12-09,321,329,319,320,14364000
