Date,Open,High,Low,Close
2022-01-09,622000,722000,616000,719000
2022-01-16,732000,774000,695000,716000
2022-01-23,713000,732000,633000,694000
2022-01-30,693000,694000,605000,639000
2022-02-06,677000,691000,661000,678000
2022-02-13,676000,677000,610000,633000
2022-02-20,632000,657000,618000,629000
2022-02-27,616000,626000,546000,554000
2022-03-06,550000,569000,534000,535000
2022-03-13,522000,526000,469500,472000
2022-03-20,465000,491500,437000,488500
2022-03-27,493000,537000,483000,526000
2022-04-03,527000,545000,510000,523000
2022-04-10,522000,546000,511000,525000
2022-04-17,518000,524000,497000,505000
2022-04-24,500000,513000,483000,486000
2022-05-01,475000,527000,455000,519000
2022-05-08,513000,530000,510000,520000
2022-05-15,517000,523000,480000,510000
2022-05-22,515000,546000,495000,545000
2022-05-29,547000,564000,533000,550000
2022-06-05,559000,600000,541000,585000
2022-06-12,574000,590000,555000,583000
2022-06-19,574000,597000,548000,578000
2022-06-26,583000,589000,539000,543000
2022-07-03,544000,570000,503000,509000
2022-07-10,511000,555000,497500,540000
2022-07-17,538000,538000,507000,512000
2022-07-24,514000,579000,505000,561000
2022-07-31,562000,605000,547000,603000
2022-08-07,608000,646000,597000,642000
2022-08-14,637000,681000,634000,665000
2022-08-21,675000,676000,639000,640000
2022-08-28,635000,649000,604000,616000
2022-09-04,598000,632000,591000,610000
2022-09-11,615000,649000,607000,644000
2022-09-18,656000,667000,632000,635000
2022-09-25,636000,657000,599000,604000
2022-10-02,591000,592000,534000,536000
2022-10-09,546000,593000,535000,589000
2022-10-16,584000,602000,571000,573000
2022-10-23,565000,614000,553000,568000
2022-10-30,579000,624000,550000,615000
2022-11-06,627000,705000,609000,690000
2022-11-13,693000,744000,676000,737000
2022-11-20,740000,760000,690000,704000
2022-11-27,704000,731000,679000,721000
2022-12-04,721000,755000,706000,711000
2022-12-11,703000,710000,627000,627000
2022-12-18,621000,650000,617000,645000
2022-12-25,640000,643000,603000,610000
2023-01-01,604000,635000,593000,600000
2023-01-08,596000,620000,575000,594000
2023-01-15,599000,649000,589000,644000
2023-01-22,645000,655000,608000,625000
2023-01-29,646000,696000,638000,685000
2023-02-05,688000,703000,661000,674000
2023-02-12,665000,691000,653000,673000
2023-02-19,674000,728000,663000,689000
2023-02-26,696000,696000,659000,669000
2023-03-05,661000,707000,651000,703000
2023-03-12,722000,757000,690000,707000
2023-03-19,714000,745000,695000,702000
2023-03-26,694000,717000,673000,690000
2023-04-02,702000,720000,687000,712000
2023-04-09,728000,754000,706000,714000
2023-04-16,721000,857000,718000,802000
2023-04-23,802000,830000,766000,771000
2023-04-30,762000,780000,726000,740000
2023-05-07,750000,760000,724000,731000
2023-05-14,741000,747000,685000,688000
2023-05-21,685000,714000,677000,698000
2023-05-28,698000,741000,692000,706000
2023-06-04,715000,724000,686000,721000
2023-06-11,730000,761000,716000,752000
2023-06-18,763000,763000,708000,743000
2023-06-25,747000,763000,706000,709000
2023-07-02,709000,712000,657000,667000
2023-07-09,678000,695000,652000,656000
2023-07-16,650000,682000,642000,680000
2023-07-23,680000,704000,667000,694000
2023-07-30,699000,783000,626000,650000
2023-08-06,650000,679000,635000,636000
2023-08-13,631000,638000,609000,622000
2023-08-20,616000,619000,566000,569000
2023-08-27,562000,587000,548000,560000
2023-09-03,565000,589000,557000,570000
2023-09-10,568000,597000,557000,564000
2023-09-17,563000,575000,537000,573000
2023-09-24,562000,573000,508000,517000
2023-10-01,513000,518000,487500,496500
2023-10-08,497000,515000,485000,499500
2023-10-15,500000,541000,493000,528000
2023-10-22,523000,530000,475000,479000
2023-10-29,475000,494000,424500,438500
2023-11-05,429500,474500,427500,471000
2023-11-12,499000,529000,450500,457500
2023-11-19,460000,489500,452000,484000
2023-11-26,481000,537000,481000,514000
2023-12-03,519000,520000,485500,486500
2023-12-10,485000,491000,465500,478500
2023-12-17,477500,496500,458500,493000
2023-12-24,495000,507000,489000,490000
2023-12-31,494500,499500,483000,499000
