Date,Open,High,Low,Close
2022-01-09,17901,18501,17734,18501
2022-01-16,18534,18965,17939,18467
2022-01-23,18445,18469,17552,17723
2022-01-30,17610,17610,15425,16060
2022-02-06,16409,16694,16351,16674
2022-02-13,16725,16763,16128,16355
2022-02-20,16205,16544,15721,16346
2022-02-27,16078,16263,15490,15855
2022-03-06,15781,16503,15767,16092
2022-03-13,15923,15933,15301,15446
2022-03-20,15317,15658,14871,15659
2022-03-27,15729,16268,15681,16065
2022-04-03,16072,16526,15948,16419
2022-04-10,16348,16685,16045,16351
2022-04-17,16362,16448,15915,16188
2022-04-24,16158,16556,16085,16374
2022-05-01,16098,16524,15659,16360
2022-05-08,16159,16437,16154,16346
2022-05-15,16294,16294,15442,15943
2022-05-22,16077,16581,15888,16583
2022-05-29,16581,16722,16025,16661
2022-06-05,16802,17517,16709,17517
2022-06-12,17542,17662,17284,17585
2022-06-19,17351,17351,16134,16632
2022-06-26,16683,16683,15236,15535
2022-07-03,15572,16009,14760,14825
2022-07-10,14955,14993,14220,14663
2022-07-17,14744,14744,13837,14009
2022-07-24,14053,14910,14020,14698
2022-07-31,14637,15619,14565,15621
2022-08-07,15619,15872,15368,15748
2022-08-14,15747,16502,15732,16502
2022-08-21,16591,16809,16285,16312
2022-08-28,16125,16524,16053,16434
2022-09-04,15931,16271,15633,15694
2022-09-11,15678,15986,15628,15987
2022-09-18,16179,16316,15586,15611
2022-09-25,15639,15678,14720,14751
2022-10-02,14453,14458,13272,13308
2022-10-09,13486,14282,13486,14197
2022-10-16,13991,14268,13783,14135
2022-10-23,13860,14726,13757,14087
2022-10-30,14269,14804,13816,14650
2022-11-06,14760,15642,14546,15435
2022-11-13,15584,16357,15515,16267
2022-11-20,16279,16500,15741,15756
2022-11-27,15755,16138,15472,16067
2022-12-04,16065,16416,15793,15829
2022-12-11,15831,15831,14922,14972
2022-12-18,14982,15364,14867,15122
2022-12-25,14962,15059,14595,14645
2023-01-01,14644,14891,14289,14314
2023-01-08,14312,14487,13738,14144
2023-01-15,14191,15251,14172,15161
2023-01-22,15068,15256,14862,15122
2023-01-29,15195,15866,15195,15824
2023-02-05,15872,15949,15402,15687
2023-02-12,15526,15817,15487,15585
2023-02-19,15487,15715,15097,15503
2023-02-26,15595,15661,15152,15152
2023-03-05,15151,15598,14918,15595
2023-03-12,15831,16075,15097,15293
2023-03-19,15155,15412,14784,14864
2023-03-26,14862,15073,14727,14840
2023-04-02,15039,16133,14864,16028
2023-04-09,16289,16372,15754,16028
2023-04-16,16172,16956,16172,16612
2023-04-23,16612,16776,16065,16213
2023-04-30,16270,16289,15445,15554
2023-05-07,15544,15781,15400,15549
2023-05-14,15776,15855,15204,15249
2023-05-21,15316,15652,15149,15481
2023-05-28,15480,15943,15480,15536
2023-06-04,15544,15864,15318,15861
2023-06-11,16091,16388,15954,16285
2023-06-18,16318,16417,15751,15980
2023-06-25,16028,16239,15559,15619
2023-07-02,15500,15509,14578,14810
2023-07-09,14795,15110,14474,14588
2023-07-16,14587,15283,14567,15283
2023-07-23,15272,15584,15065,15584
2023-07-30,15589,17010,14799,15244
2023-08-06,15417,16388,15417,15821
2023-08-13,15747,15747,15234,15239
2023-08-20,15293,15293,14063,14105
2023-08-27,14183,14478,13842,14055
2023-09-03,14084,14646,14084,14326
2023-09-10,14325,14774,14207,14405
2023-09-17,14409,14508,13926,14440
2023-09-24,14439,14547,13625,13823
2023-10-01,13812,13812,13255,13493
2023-10-08,13451,13451,12776,12846
2023-10-15,12905,13698,12728,13448
2023-10-22,13421,13591,12599,12654
2023-10-29,12638,12682,11928,12116
2023-11-05,11873,13038,11873,12965
2023-11-12,13180,13951,12876,12876
2023-11-19,12894,13550,12786,13369
2023-11-26,13493,13841,13399,13719
2023-12-03,13719,13876,13517,13527
2023-12-10,13630,13719,13285,13616
2023-12-17,13772,14049,13349,13937
2023-12-24,14024,14270,13907,14050
2023-12-31,14053,14315,13896,14277
