Date,Open,High,Low,Close
2022-01-09,157,161,150,150
2022-01-16,147,167,143,167
2022-01-23,165,165,134,135
2022-01-30,131,141,123,132
2022-02-06,132,141,131,135
2022-02-13,135,145,131,132
2022-02-20,132,143,129,133
2022-02-27,129,136,122,135
2022-03-06,133,137,124,125
2022-03-13,127,130,118,123
2022-03-20,123,135,119,135
2022-03-27,134,138,131,137
2022-04-03,135,142,125,127
2022-04-10,127,129,117,119
2022-04-17,118,119,113,113
2022-04-24,112,122,112,112
2022-05-01,111,116,107,110
2022-05-08,111,119,108,112
2022-05-15,107,112,102,111
2022-05-22,109,117,101,106
2022-05-29,107,119,105,119
2022-06-05,117,118,112,114
2022-06-12,117,117,101,101
2022-06-19,98,99,87,89
2022-06-26,91,98,91,97
2022-07-03,97,98,84,86
2022-07-10,83,91,82,91
2022-07-17,89,94,86,94
2022-07-24,95,103,92,101
2022-07-31,100,106,98,105
2022-08-07,104,111,103,109
2022-08-14,109,111,97,110
2022-08-21,109,111,103,104
2022-08-28,102,105,98,98
2022-09-04,97,98,89,91
2022-09-11,91,97,89,96
2022-09-18,96,97,86,88
2022-09-25,87,91,82,84
2022-10-02,84,86,81,81
2022-10-09,83,91,82,82
2022-10-16,82,82,71,74
2022-10-23,77,82,74,82
2022-10-30,82,90,81,89
2022-11-06,88,93,84,91
2022-11-13,92,110,92,110
2022-11-20,108,112,100,104
2022-11-27,103,108,101,105
2022-12-04,104,110,102,106
2022-12-11,106,109,103,107
2022-12-18,106,116,103,104
2022-12-25,104,106,95,97
2023-01-01,96,97,93,97
2023-01-08,99,104,96,104
2023-01-15,105,111,104,109
2023-01-22,109,112,106,109
2023-01-29,108,115,108,112
2023-02-05,110,124,107,119
2023-02-12,118,121,112,114
2023-02-19,115,119,113,115
2023-02-26,113,114,109,111
2023-03-05,113,119,111,118
2023-03-12,119,121,113,114
2023-03-19,113,124,111,122
2023-03-26,123,125,118,119
2023-04-02,120,123,115,122
2023-04-09,121,122,111,114
2023-04-16,112,117,111,112
2023-04-23,109,116,109,113
2023-04-30,113,113,109,113
2023-05-07,113,116,111,116
2023-05-14,116,117,112,116
2023-05-21,116,132,116,126
2023-05-28,127,136,120,136
2023-06-04,138,138,131,134
2023-06-11,134,137,130,136
2023-06-18,137,142,136,138
2023-06-25,139,140,134,136
2023-07-02,136,146,136,144
2023-07-09,144,145,138,139
2023-07-16,139,145,134,142
2023-07-23,142,146,133,136
2023-07-30,137,153,136,151
2023-08-06,151,152,145,145
2023-08-13,147,150,138,138
2023-08-20,138,143,135,142
2023-08-27,143,151,140,144
2023-09-03,145,154,143,153
2023-09-10,153,155,145,147
2023-09-17,150,150,136,138
2023-09-24,137,140,134,136
2023-10-01,135,141,133,138
2023-10-08,138,141,135,140
2023-10-15,139,148,137,141
2023-10-22,141,143,133,134
2023-10-29,133,135,129,131
2023-11-05,131,141,129,139
2023-11-12,140,150,139,150
2023-11-19,149,157,141,148
2023-11-26,148,153,148,150
2023-12-03,149,152,146,151
2023-12-10,150,150,144,147
2023-12-17,149,164,149,161
2023-12-24,160,163,156,162
2023-12-31,162,165,160,162
