Date,Open,High,Low,Close
2022-01-09,389,412,386,397
2022-01-16,401,404,375,380
2022-01-23,360,361,340,343
2022-01-30,337,350,326,347
2022-02-06,344,370,343,367
2022-02-13,365,377,360,363
2022-02-20,363,365,343,346
2022-02-27,342,350,326,350
2022-03-06,340,343,324,329
2022-03-13,326,337,318,327
2022-03-20,329,346,322,345
2022-03-27,345,346,334,337
2022-04-03,338,344,327,330
2022-04-10,330,331,308,321
2022-04-17,320,333,314,321
2022-04-24,320,347,319,319
2022-05-01,316,322,304,305
2022-05-08,305,324,302,312
2022-05-15,308,315,293,306
2022-05-22,305,314,299,306
2022-05-29,312,328,306,328
2022-06-05,324,329,315,318
2022-06-12,323,325,286,287
2022-06-19,279,294,278,279
2022-06-26,287,303,278,302
2022-07-03,303,308,291,299
2022-07-10,293,300,288,296
2022-07-17,293,299,277,293
2022-07-24,305,329,298,323
2022-07-31,325,335,317,333
2022-08-07,331,336,327,334
2022-08-14,337,356,334,353
2022-08-21,351,358,347,349
2022-08-28,342,348,336,336
2022-09-04,333,340,324,331
2022-09-11,332,341,323,340
2022-09-18,341,344,319,326
2022-09-25,320,329,297,301
2022-10-02,299,302,288,293
2022-10-09,297,315,291,301
2022-10-16,303,311,287,299
2022-10-23,304,325,304,325
2022-10-30,328,342,325,341
2022-11-06,341,358,340,357
2022-11-13,360,387,358,385
2022-11-20,384,389,375,379
2022-11-27,378,389,375,388
2022-12-04,385,388,375,380
2022-12-11,378,378,356,359
2022-12-18,358,378,343,346
2022-12-25,346,350,339,345
2023-01-01,346,347,339,343
2023-01-08,345,350,340,348
2023-01-15,351,374,349,374
2023-01-22,364,366,338,341
2023-01-29,341,355,336,353
2023-02-05,353,374,352,369
2023-02-12,369,379,364,371
2023-02-19,369,377,366,368
2023-02-26,366,367,358,363
2023-03-05,368,370,340,357
2023-03-12,358,358,326,327
2023-03-19,319,326,301,303
2023-03-26,306,322,305,312
2023-04-02,318,327,316,327
2023-04-09,326,328,319,322
2023-04-16,322,339,321,336
2023-04-23,336,342,326,341
2023-04-30,341,345,334,343
2023-05-07,344,347,318,327
2023-05-14,329,330,317,319
2023-05-21,320,331,318,326
2023-05-28,326,332,318,332
2023-06-04,332,332,314,323
2023-06-11,322,337,320,336
2023-06-18,338,347,335,338
2023-06-25,335,335,314,314
2023-07-02,315,326,310,322
2023-07-09,322,329,312,315
2023-07-16,316,333,314,326
2023-07-23,325,355,324,351
2023-07-30,352,361,351,353
2023-08-06,354,358,348,353
2023-08-13,355,357,337,340
2023-08-20,337,338,323,324
2023-08-27,325,327,318,320
2023-09-03,321,332,321,327
2023-09-10,327,328,319,325
2023-09-17,328,346,324,342
2023-09-24,342,344,326,327
2023-10-01,327,329,318,323
2023-10-08,322,323,303,312
2023-10-15,308,316,308,309
2023-10-22,313,316,298,300
2023-10-29,298,303,289,289
2023-11-05,293,329,293,327
2023-11-12,326,328,319,325
2023-11-19,324,341,323,339
2023-11-26,340,341,334,339
2023-12-03,339,348,334,348
2023-12-10,346,352,340,350
2023-12-17,351,386,349,380
2023-12-24,381,385,374,380
2023-12-31,380,387,380,385
