Date,Open,High,Low,Close
2022-01-09,51,56,51,53
2022-01-16,53,56,53,55
2022-01-23,55,55,51,52
2022-01-30,51,52,46,47
2022-02-06,47,49,47,48
2022-02-13,48,49,47,47
2022-02-20,47,48,44,45
2022-02-27,44,47,43,47
2022-03-06,47,48,46,48
2022-03-13,48,48,45,45
2022-03-20,45,47,44,47
2022-03-27,47,51,47,51
2022-04-03,51,52,47,48
2022-04-10,48,49,46,47
2022-04-17,46,47,45,45
2022-04-24,45,48,45,46
2022-05-01,46,47,43,43
2022-05-08,43,46,43,44
2022-05-15,43,44,42,43
2022-05-22,43,44,40,41
2022-05-29,41,44,41,44
2022-06-05,44,44,43,43
2022-06-12,43,44,39,39
2022-06-19,38,39,36,36
2022-06-26,37,38,36,38
2022-07-03,38,39,35,36
2022-07-10,35,38,35,37
2022-07-17,37,38,36,38
2022-07-24,39,40,38,39
2022-07-31,39,40,35,36
2022-08-07,36,37,35,35
2022-08-14,35,36,34,36
2022-08-21,36,36,35,35
2022-08-28,35,35,33,33
2022-09-04,33,33,31,31
2022-09-11,31,31,29,31
2022-09-18,31,31,28,29
2022-09-25,29,29,27,27
2022-10-02,27,27,25,25
2022-10-09,26,27,25,25
2022-10-16,25,26,24,25
2022-10-23,26,27,25,26
2022-10-30,26,29,26,29
2022-11-06,29,29,27,28
2022-11-13,28,30,27,30
2022-11-20,30,31,29,29
2022-11-27,29,30,28,29
2022-12-04,29,30,28,29
2022-12-11,29,29,28,28
2022-12-18,28,30,26,26
2022-12-25,26,26,25,26
2023-01-01,25,26,25,26
2023-01-08,27,28,26,28
2023-01-15,28,30,28,30
2023-01-22,30,30,28,29
2023-01-29,29,30,26,28
2023-02-05,27,31,27,30
2023-02-12,29,29,27,27
2023-02-19,27,28,27,27
2023-02-26,27,27,24,25
2023-03-05,25,26,24,26
2023-03-12,26,27,25,27
2023-03-19,26,31,26,29
2023-03-26,29,29,27,29
2023-04-02,29,32,28,32
2023-04-09,32,33,32,32
2023-04-16,32,33,31,31
2023-04-23,31,32,30,30
2023-04-30,30,32,28,31
2023-05-07,31,31,29,30
2023-05-14,30,30,28,28
2023-05-21,28,30,28,29
2023-05-28,29,30,26,29
2023-06-04,29,32,29,31
2023-06-11,31,31,29,31
2023-06-18,31,36,31,36
2023-06-25,36,37,32,33
2023-07-02,33,34,32,33
2023-07-09,33,33,31,31
2023-07-16,31,34,31,33
2023-07-23,33,34,33,34
2023-07-30,33,36,33,36
2023-08-06,36,37,34,35
2023-08-13,35,35,33,34
2023-08-20,34,35,32,32
2023-08-27,32,34,32,33
2023-09-03,33,36,33,36
2023-09-10,36,38,36,38
2023-09-17,38,40,37,37
2023-09-24,37,38,34,34
2023-10-01,34,35,33,35
2023-10-08,35,36,34,36
2023-10-15,35,37,35,35
2023-10-22,36,36,34,34
2023-10-29,34,36,32,35
2023-11-05,35,38,34,38
2023-11-12,38,38,37,38
2023-11-19,38,43,38,43
2023-11-26,43,44,43,43
2023-12-03,43,45,42,43
2023-12-10,43,43,41,42
2023-12-17,43,47,43,46
2023-12-24,46,48,45,48
2023-12-31,48,51,48,50
