Date,Open,High,Low,Close
2022-01-09,159,168,159,167
2022-01-16,169,169,156,157
2022-01-23,155,155,144,145
2022-01-30,142,150,139,146
2022-02-06,145,153,144,152
2022-02-13,153,159,150,153
2022-02-20,152,156,150,152
2022-02-27,150,153,139,147
2022-03-06,143,145,132,134
2022-03-13,132,135,127,128
2022-03-20,129,140,129,140
2022-03-27,140,143,138,141
2022-04-03,140,143,133,135
2022-04-10,134,136,128,133
2022-04-17,133,134,125,126
2022-04-24,125,133,125,126
2022-05-01,126,127,118,119
2022-05-08,119,127,118,123
2022-05-15,122,123,115,119
2022-05-22,118,122,115,117
2022-05-29,120,131,120,131
2022-06-05,130,133,128,130
2022-06-12,131,132,119,119
2022-06-19,116,117,111,113
2022-06-26,115,117,111,117
2022-07-03,118,119,110,114
2022-07-10,110,115,109,114
2022-07-17,113,115,106,112
2022-07-24,114,116,111,114
2022-07-31,115,116,113,115
2022-08-07,114,116,111,115
2022-08-14,116,122,114,122
2022-08-21,121,124,118,118
2022-08-28,116,119,114,114
2022-09-04,114,117,111,113
2022-09-11,114,120,112,119
2022-09-18,120,121,114,117
2022-09-25,116,118,107,109
2022-10-02,108,109,104,104
2022-10-09,105,112,104,105
2022-10-16,106,115,101,111
2022-10-23,115,122,114,122
2022-10-30,122,126,120,126
2022-11-06,125,130,125,130
2022-11-13,131,136,129,135
2022-11-20,134,135,131,133
2022-11-27,133,137,132,136
2022-12-04,136,138,133,135
2022-12-11,134,135,129,132
2022-12-18,132,137,128,129
2022-12-25,129,132,128,131
2023-01-01,131,134,130,134
2023-01-08,135,138,133,137
2023-01-15,138,143,134,143
2023-01-22,141,141,133,135
2023-01-29,135,141,134,140
2023-02-05,139,142,138,141
2023-02-12,140,144,138,141
2023-02-19,141,143,140,142
2023-02-26,140,141,137,140
2023-03-05,142,143,139,143
2023-03-12,143,144,127,133
2023-03-19,131,135,125,125
2023-03-26,126,131,123,124
2023-04-02,126,130,126,130
2023-04-09,129,131,126,127
2023-04-16,126,139,126,138
2023-04-23,139,141,137,140
2023-04-30,140,141,134,138
2023-05-07,142,143,131,136
2023-05-14,137,138,133,134
2023-05-21,134,140,133,139
2023-05-28,141,141,134,136
2023-06-04,136,141,134,140
2023-06-11,140,141,138,141
2023-06-18,141,143,139,143
2023-06-25,142,144,137,138
2023-07-02,138,146,137,145
2023-07-09,146,147,141,144
2023-07-16,144,152,144,149
2023-07-23,150,156,150,154
2023-07-30,154,158,154,156
2023-08-06,157,159,153,156
2023-08-13,156,157,152,154
2023-08-20,153,154,147,148
2023-08-27,149,150,145,147
2023-09-03,147,149,145,146
2023-09-10,147,148,142,143
2023-09-17,144,149,143,148
2023-09-24,148,150,145,145
2023-10-01,145,148,143,145
2023-10-08,144,145,140,145
2023-10-15,143,153,143,148
2023-10-22,149,149,142,142
2023-10-29,142,143,135,135
2023-11-05,136,143,136,143
2023-11-12,143,146,142,146
2023-11-19,145,152,145,152
2023-11-26,152,154,151,153
2023-12-03,153,157,152,156
2023-12-10,156,159,155,158
2023-12-17,158,165,158,165
2023-12-24,165,169,165,167
2023-12-31,167,170,167,170
