Date,Open,High,Low,Close
2022-01-09,605,609,538,541
2022-01-16,538,544,511,525
2022-01-23,520,526,379,397
2022-01-30,383,394,351,384
2022-02-06,401,458,396,410
2022-02-13,410,412,387,391
2022-02-20,387,409,385,391
2022-02-27,388,392,354,390
2022-03-06,387,397,357,361
2022-03-13,360,367,340,340
2022-03-20,338,381,329,380
2022-03-27,378,386,366,373
2022-04-03,375,396,366,373
2022-04-10,373,396,353,355
2022-04-17,350,359,339,341
2022-04-24,340,351,210,215
2022-05-01,213,216,185,190
2022-05-08,191,204,175,180
2022-05-15,177,187,162,187
2022-05-22,193,195,175,186
2022-05-29,186,195,177,195
2022-06-05,196,205,190,198
2022-06-12,202,207,180,182
2022-06-19,177,183,164,175
2022-06-26,177,191,169,190
2022-07-03,191,192,170,179
2022-07-10,176,190,172,186
2022-07-17,184,189,169,189
2022-07-24,192,229,188,220
2022-07-31,221,230,211,224
2022-08-07,223,232,220,226
2022-08-14,227,251,224,249
2022-08-21,248,251,235,241
2022-08-28,232,236,223,223
2022-09-04,221,233,218,226
2022-09-11,225,234,214,233
2022-09-18,233,242,215,240
2022-09-25,245,250,221,226
2022-10-02,225,246,220,235
2022-10-09,237,245,224,224
2022-10-16,225,238,211,230
2022-10-23,234,290,234,289
2022-10-30,290,305,280,295
2022-11-06,295,299,255,260
2022-11-13,261,290,252,290
2022-11-20,290,312,287,287
2022-11-27,291,292,277,285
2022-12-04,284,321,275,320
2022-12-11,316,329,302,320
2022-12-18,320,332,286,290
2022-12-25,289,300,280,294
2023-01-01,293,295,273,294
2023-01-08,298,316,288,315
2023-01-15,316,336,311,332
2023-01-22,331,344,313,342
2023-01-29,341,369,340,360
2023-02-05,358,379,348,365
2023-02-12,363,373,347,347
2023-02-19,349,363,342,347
2023-02-26,342,344,314,317
2023-03-05,323,330,310,315
2023-03-12,317,323,289,292
2023-03-19,287,316,285,303
2023-03-26,299,331,293,328
2023-04-02,327,345,321,345
2023-04-09,341,349,332,339
2023-04-16,335,347,330,338
2023-04-23,338,338,316,327
2023-04-30,330,334,317,329
2023-05-07,329,331,315,322
2023-05-14,322,348,322,339
2023-05-21,340,375,329,365
2023-05-28,365,383,354,378
2023-06-04,397,407,385,400
2023-06-11,400,425,396,420
2023-06-18,418,448,416,431
2023-06-25,430,440,417,424
2023-07-02,422,444,411,440
2023-07-09,439,450,430,438
2023-07-16,438,456,431,441
2023-07-23,445,485,423,427
2023-07-30,425,430,411,425
2023-08-06,426,445,426,431
2023-08-13,436,443,421,421
2023-08-20,421,429,398,404
2023-08-27,402,437,399,416
2023-09-03,418,445,413,439
2023-09-10,438,453,436,442
2023-09-17,443,449,395,396
2023-09-24,395,399,378,379
2023-10-01,382,386,371,377
2023-10-08,377,394,367,381
2023-10-15,378,388,352,355
2023-10-22,356,410,344,400
2023-10-29,403,418,395,397
2023-11-05,402,434,399,432
2023-11-12,434,447,429,447
2023-11-19,447,467,442,465
2023-11-26,465,482,465,479
2023-12-03,479,482,464,465
2023-12-10,460,461,445,453
2023-12-17,459,481,457,472
2023-12-24,476,500,475,486
2023-12-31,489,494,481,486
