date,exchange_rate
2022-01-03,"1,185"
2022-01-10,"1,202"
2022-01-17,"1,187"
2022-01-24,"1,193"
2022-01-31,"1,193"
2022-02-07,"1,199"
2022-02-14,"1,199"
2022-02-21,"1,196"
2022-02-28,"1,202"
2022-03-07,"1,211"
2022-03-14,"1,232"
2022-03-21,"1,211"
2022-03-28,"1,218"
2022-04-04,"1,216"
2022-04-11,"1,224"
2022-04-18,"1,230"
2022-04-25,"1,241"
2022-05-02,"1,265"
2022-05-09,"1,272"
2022-05-16,"1,286"
2022-05-23,"1,269"
2022-05-30,"1,256"
2022-06-06,"1,256"
2022-06-13,"1,266"
2022-06-20,"1,287"
2022-06-27,"1,299"
2022-07-04,"1,294"
2022-07-11,"1,299"
2022-07-18,"1,323"
2022-07-25,"1,311"
2022-08-01,"1,298"
2022-08-08,"1,299"
2022-08-15,"1,299"
2022-08-22,"1,326"
2022-08-29,"1,332"
2022-09-05,"1,356"
2022-09-12,"1,356"
2022-09-19,"1,394"
2022-09-26,"1,408"
2022-10-03,"1,408"
2022-10-10,"1,408"
2022-10-17,"1,428"
2022-10-24,"1,436"
2022-10-31,"1,419"
2022-11-07,"1,422"
2022-11-14,"1,334"
2022-11-21,"1,340"
2022-11-28,"1,326"
2022-12-05,"1,300"
2022-12-12,"1,306"
2022-12-19,"1,310"
2022-12-26,"1,282"
2023-01-02,"1,267"
2023-01-09,"1,267"
2023-01-16,"1,240"
2023-01-23,"1,240"
2023-01-30,"1,230"
2023-02-06,"1,227"
2023-02-13,"1,264"
2023-02-20,"1,297"
2023-02-27,"1,300"
2023-03-06,"1,304"
2023-03-13,"1,325"
2023-03-20,"1,303"
2023-03-27,"1,289"
2023-04-03,"1,295"
2023-04-10,"1,318"
2023-04-17,"1,299"
2023-04-24,"1,327"
2023-05-01,"1,327"
2023-05-08,"1,325"
2023-05-15,"1,333"
2023-05-22,"1,331"
2023-05-29,"1,331"
2023-06-05,"1,308"
2023-06-12,"1,294"
2023-06-19,"1,273"
2023-06-26,"1,302"
2023-07-03,"1,319"
2023-07-10,"1,307"
2023-07-17,"1,265"
2023-07-24,"1,281"
2023-07-31,"1,280"
2023-08-07,"1,303"
2023-08-14,"1,321"
2023-08-21,"1,336"
2023-08-28,"1,326"
2023-09-04,"1,319"
2023-09-11,"1,333"
2023-09-18,"1,327"
2023-09-25,"1,337"
2023-10-02,"1,337"
2023-10-09,"1,337"
2023-10-16,"1,349"
2023-10-23,"1,355"
2023-10-30,"1,352"
2023-11-06,"1,325"
2023-11-13,"1,316"
2023-11-20,"1,294"
2023-11-27,"1,302"
2023-12-04,"1,303"
2023-12-11,"1,307"
2023-12-18,"1,294"
2023-12-25,"1,294"
