Date,Open,High,Low,Close
2022-01-09,156000,158000,148000,153000
2022-01-16,151000,155000,149500,150500
2022-01-23,150000,152000,146500,150500
2022-01-30,151000,151500,135000,140500
2022-02-06,141500,144500,138500,140500
2022-02-13,140000,144000,137500,141000
2022-02-20,140500,141000,135000,140500
2022-02-27,138000,141500,137000,139000
2022-03-06,138500,142500,137500,140000
2022-03-13,138500,145000,135000,139500
2022-03-20,139500,143500,136000,141500
2022-03-27,142500,142500,127500,130500
2022-04-03,131500,140500,130000,139500
2022-04-10,139500,140500,135000,137000
2022-04-17,136500,139000,134500,137500
2022-04-24,137500,140500,136500,139500
2022-05-01,137500,151500,133000,148500
2022-05-08,147000,151000,145000,146500
2022-05-15,145500,147000,139500,144500
2022-05-22,145000,148000,141500,146500
2022-05-29,147000,148500,145500,147000
2022-06-05,147500,150000,144500,146500
2022-06-12,145500,146000,141500,142500
2022-06-19,139500,140500,132500,136500
2022-06-26,137000,137000,128500,130500
2022-07-03,131500,135500,127500,129000
2022-07-10,129500,136000,127500,132500
2022-07-17,133500,133500,127500,130500
2022-07-24,131500,135500,130000,133500
2022-07-31,133000,137500,133000,136000
2022-08-07,135000,136000,131500,133000
2022-08-14,133000,135000,129500,134000
2022-08-21,134500,136000,132000,133500
2022-08-28,133000,133000,129000,129500
2022-09-04,127000,129500,125000,125500
2022-09-11,125500,126500,121000,122500
2022-09-18,124000,127000,121000,123000
2022-09-25,123000,124000,117000,117500
2022-10-02,116000,118500,114000,115000
2022-10-09,116000,118500,114000,117000
2022-10-16,115500,117500,113000,115500
2022-10-23,116000,122000,115000,120000
2022-10-30,122000,124000,119000,122000
2022-11-06,123000,127000,122000,126000
2022-11-13,125000,130000,124500,128500
2022-11-20,128500,130500,127000,127500
2022-11-27,128500,129000,123000,125000
2022-12-04,124000,128500,122000,125000
2022-12-11,125000,128000,121500,127500
2022-12-18,128000,130000,124000,125000
2022-12-25,124000,129000,123000,127000
2023-01-01,127000,130000,123000,123000
2023-01-08,124000,125500,117500,124000
2023-01-15,125000,127500,121500,124500
2023-01-22,125000,125500,122000,122500
2023-01-29,123200,129300,122600,128500
2023-02-05,129100,129200,123600,125100
2023-02-12,125400,133000,124400,127200
2023-02-19,126100,131800,121100,128500
2023-02-26,128600,130800,125500,126800
2023-03-05,125100,127200,122800,123600
2023-03-12,124500,125400,119000,119800
2023-03-19,119500,120500,116100,119200
2023-03-26,118900,120700,118600,119900
2023-04-02,120000,121900,115700,116000
2023-04-09,117100,118800,115300,116100
2023-04-16,115700,120000,115500,119600
2023-04-23,119300,119300,117000,118400
2023-04-30,118400,119500,114400,117300
2023-05-07,116600,119300,116500,118500
2023-05-14,118300,119200,115900,116700
2023-05-21,116100,121900,116100,121900
2023-05-28,121900,123900,121100,122100
2023-06-04,122500,126700,122500,125500
2023-06-11,126500,127800,124800,126600
2023-06-18,127000,127700,123100,124300
2023-06-25,124300,124900,121500,121500
2023-07-02,121500,124400,120200,122900
2023-07-09,122400,123400,114600,115200
2023-07-16,115200,122600,114800,122500
2023-07-23,121800,134700,121700,128600
2023-07-30,128100,129500,119900,122700
2023-08-06,123100,139200,122900,134600
2023-08-13,134600,143000,133100,135200
2023-08-20,134100,139000,132300,136400
2023-08-27,136400,142500,133900,138700
2023-09-03,140600,146400,139600,143100
2023-09-10,142000,153600,141100,147200
2023-09-17,147700,148600,136700,140400
2023-09-24,138800,138900,133000,136900
2023-10-01,137400,138400,133500,135200
2023-10-08,133500,139600,133200,138800
2023-10-15,141200,142500,134800,135500
2023-10-22,134200,139100,131300,132800
2023-10-29,135000,137100,128200,136000
2023-11-05,135400,141200,134300,137500
2023-11-12,135200,144800,131200,144100
2023-11-19,145000,149900,141700,147600
2023-11-26,147500,155900,143300,155200
2023-12-03,155200,169200,154500,168500
2023-12-10,168500,169100,160100,165600
2023-12-17,167000,174000,164500,164800
2023-12-24,164100,173000,163200,171700
2023-12-31,172000,172800,164900,170000
