Date,Open,High,Low,Close
2022-01-09,6454,6561,6417,6486
2022-01-16,6500,6851,6500,6794
2022-01-23,6775,6820,6530,6644
2022-01-30,6646,6656,6270,6507
2022-02-06,6533,6692,6497,6683
2022-02-13,6714,7021,6647,7012
2022-02-20,6958,7175,6855,7071
2022-02-27,6959,7031,6634,6713
2022-03-06,6693,6733,6516,6589
2022-03-13,6492,6506,6241,6507
2022-03-20,6488,6834,6458,6722
2022-03-27,6711,6964,6652,6912
2022-04-03,6898,7035,6842,6974
2022-04-10,6986,6997,6689,6734
2022-04-17,6763,6893,6749,6794
2022-04-24,6765,6988,6729,6990
2022-05-01,6928,7032,6648,6767
2022-05-08,6718,6846,6645,6794
2022-05-15,6780,6805,6460,6713
2022-05-22,6718,6783,6438,6655
2022-05-29,6648,6859,6576,6848
2022-06-05,6869,6971,6686,6740
2022-06-12,6723,6723,6505,6538
2022-06-19,6411,6429,6047,6103
2022-06-26,6114,6132,5652,5829
2022-07-03,5836,5840,5497,5543
2022-07-10,5539,5553,5312,5453
2022-07-17,5437,5460,5038,5111
2022-07-24,5217,5527,5195,5438
2022-07-31,5438,5518,5349,5480
2022-08-07,5482,5638,5384,5600
2022-08-14,5591,5822,5554,5739
2022-08-21,5769,5792,5434,5548
2022-08-28,5486,5576,5389,5516
2022-09-04,5419,5471,5209,5237
2022-09-11,5227,5311,5119,5192
2022-09-18,5271,5418,5259,5349
2022-09-25,5365,5410,5245,5336
2022-10-02,5276,5289,4818,4833
2022-10-09,4896,5118,4883,5017
2022-10-16,4951,5087,4838,5067
2022-10-23,4972,5220,4963,5045
2022-10-30,5092,5139,4922,5129
2022-11-06,5172,5244,5075,5215
2022-11-13,5233,5622,5183,5561
2022-11-20,5577,5642,5524,5543
2022-11-27,5547,5706,5531,5668
2022-12-04,5622,5944,5516,5839
2022-12-11,5828,5939,5689,5901
2022-12-18,5882,6002,5669,5757
2022-12-25,5737,5854,5731,5731
2023-01-01,5716,5795,5623,5623
2023-01-08,5622,6352,5428,6283
2023-01-15,6324,6437,6236,6426
2023-01-22,6478,6752,6438,6538
2023-01-29,6595,6737,6568,6695
2023-02-05,6689,6698,6281,6390
2023-02-12,6371,6510,6191,6309
2023-02-19,6282,6378,5823,5959
2023-02-26,5952,6069,5918,5955
2023-03-05,5908,6047,5837,5852
2023-03-12,5880,5899,5631,5659
2023-03-19,5617,5723,5479,5543
2023-03-26,5538,5701,5484,5498
2023-04-02,5499,5631,5411,5582
2023-04-09,5586,5625,5466,5548
2023-04-16,5540,5683,5461,5672
2023-04-23,5710,5718,5590,5704
2023-04-30,5701,5719,5517,5613
2023-05-07,5617,5678,5574,5618
2023-05-14,5688,5757,5612,5641
2023-05-21,5656,5753,5622,5746
2023-05-28,5731,5810,5631,5670
2023-06-04,5669,5787,5636,5722
2023-06-11,5759,5839,5750,5818
2023-06-18,5811,5835,5684,5708
2023-06-25,5687,5706,5560,5575
2023-07-02,5574,5664,5526,5598
2023-07-09,5612,5706,5373,5417
2023-07-16,5458,5706,5417,5689
2023-07-23,5680,5706,5607,5670
2023-07-30,5653,5858,5469,5755
2023-08-06,5770,6006,5712,5884
2023-08-13,5869,5939,5769,5808
2023-08-20,5796,5835,5664,5722
2023-08-27,5722,5815,5712,5746
2023-09-03,5779,5949,5779,5908
2023-09-10,5888,5972,5883,5917
2023-09-17,5926,6272,5926,6251
2023-09-24,6248,6267,6131,6203
2023-10-01,6197,6206,5988,6046
2023-10-08,5972,6077,5840,6070
2023-10-15,6139,6196,6050,6141
2023-10-22,6136,6244,6064,6108
2023-10-29,6087,6087,5755,5784
2023-11-05,5744,5827,5578,5827
2023-11-12,5829,6103,5829,5946
2023-11-19,5987,6134,5936,6070
2023-11-26,6050,6249,6012,6156
2023-12-03,6153,6186,6082,6141
2023-12-10,6158,6177,6079,6132
2023-12-17,6153,6316,6102,6299
2023-12-24,6276,6376,6231,6321
2023-12-31,6297,6436,6264,6436
