Date,Open,High,Low,Close
2022-01-09,58,58,56,57
2022-01-16,56,58,56,58
2022-01-23,59,60,58,59
2022-01-30,57,60,55,59
2022-02-06,58,59,55,55
2022-02-13,56,60,56,58
2022-02-20,57,61,56,59
2022-02-27,61,61,57,60
2022-03-06,60,62,57,57
2022-03-13,57,61,56,60
2022-03-20,61,63,60,63
2022-03-27,63,66,63,65
2022-04-03,65,67,64,66
2022-04-10,66,71,66,71
2022-04-17,70,71,68,69
2022-04-24,69,69,65,65
2022-05-01,64,67,64,66
2022-05-08,65,67,63,64
2022-05-15,63,64,60,63
2022-05-22,63,66,63,66
2022-05-29,66,67,66,67
2022-06-05,65,66,65,65
2022-06-12,64,65,61,61
2022-06-19,60,61,58,61
2022-06-26,62,66,62,66
2022-07-03,66,67,64,65
2022-07-10,64,67,64,66
2022-07-17,66,67,64,67
2022-07-24,67,68,63,65
2022-07-31,66,67,65,66
2022-08-07,66,66,64,66
2022-08-14,65,67,64,66
2022-08-21,67,67,66,67
2022-08-28,67,68,66,66
2022-09-04,66,66,60,60
2022-09-11,60,61,58,60
2022-09-18,61,62,57,58
2022-09-25,57,58,54,54
2022-10-02,53,55,52,54
2022-10-09,55,57,54,55
2022-10-16,54,56,53,54
2022-10-23,56,56,53,54
2022-10-30,55,58,55,58
2022-11-06,58,61,58,60
2022-11-13,61,65,60,62
2022-11-20,63,65,63,65
2022-11-27,65,66,65,66
2022-12-04,66,68,65,68
2022-12-11,68,70,67,69
2022-12-18,69,70,67,67
2022-12-25,67,68,67,67
2023-01-01,68,68,67,67
2023-01-08,68,71,68,70
2023-01-15,71,72,68,71
2023-01-22,71,71,68,69
2023-01-29,68,69,65,65
2023-02-05,66,66,62,63
2023-02-12,63,69,63,68
2023-02-19,68,70,67,68
2023-02-26,70,70,66,66
2023-03-05,66,67,64,65
2023-03-12,64,65,63,64
2023-03-19,64,66,63,65
2023-03-26,65,68,65,67
2023-04-02,68,69,68,69
2023-04-09,69,72,69,72
2023-04-16,72,74,71,73
2023-04-23,73,75,73,75
2023-04-30,75,76,72,73
2023-05-07,73,75,72,75
2023-05-14,75,75,74,74
2023-05-21,75,75,73,74
2023-05-28,74,75,71,72
2023-06-04,72,73,71,72
2023-06-11,72,74,72,74
2023-06-18,73,75,72,75
2023-06-25,74,74,72,72
2023-07-02,72,72,70,71
2023-07-09,67,67,64,64
2023-07-16,64,68,64,67
2023-07-23,66,69,66,69
2023-07-30,68,71,68,71
2023-08-06,71,72,68,69
2023-08-13,69,71,69,70
2023-08-20,70,70,68,68
2023-08-27,68,69,67,68
2023-09-03,68,69,67,68
2023-09-10,68,68,66,68
2023-09-17,65,68,65,68
2023-09-24,67,68,65,67
2023-10-01,68,69,66,67
2023-10-08,66,67,65,67
2023-10-15,66,68,66,67
2023-10-22,66,70,63,63
2023-10-29,62,64,61,61
2023-11-05,62,64,62,63
2023-11-12,64,65,61,63
2023-11-19,63,64,62,64
2023-11-26,63,64,63,64
2023-12-03,63,65,63,64
2023-12-10,64,65,63,63
2023-12-17,63,66,63,64
2023-12-24,65,67,65,66
2023-12-31,66,67,66,67
