Date,Open,High,Low,Close
2022-01-09,45,49,44,49
2022-01-16,49,50,47,47
2022-01-23,47,48,44,44
2022-01-30,43,46,42,45
2022-02-06,45,48,45,48
2022-02-13,48,50,47,47
2022-02-20,48,48,45,45
2022-02-27,45,46,42,45
2022-03-06,43,44,40,40
2022-03-13,39,41,38,40
2022-03-20,40,43,40,42
2022-03-27,43,44,42,43
2022-04-03,43,44,40,40
2022-04-10,40,41,38,39
2022-04-17,39,40,37,37
2022-04-24,37,40,37,37
2022-05-01,36,37,35,35
2022-05-08,36,38,35,37
2022-05-15,36,37,34,35
2022-05-22,35,36,32,33
2022-05-29,34,37,34,37
2022-06-05,36,37,36,36
2022-06-12,36,37,33,33
2022-06-19,32,32,30,31
2022-06-26,32,33,31,32
2022-07-03,32,33,30,31
2022-07-10,30,32,30,31
2022-07-17,31,32,29,32
2022-07-24,33,33,32,33
2022-07-31,33,33,32,33
2022-08-07,33,34,33,33
2022-08-14,34,36,33,36
2022-08-21,35,36,35,35
2022-08-28,34,35,34,34
2022-09-04,33,34,32,33
2022-09-11,33,35,32,34
2022-09-18,35,35,33,34
2022-09-25,33,34,31,31
2022-10-02,31,31,30,30
2022-10-09,30,32,30,30
2022-10-16,30,32,29,31
2022-10-23,33,35,32,34
2022-10-30,35,36,34,36
2022-11-06,36,37,35,36
2022-11-13,37,38,36,38
2022-11-20,38,38,36,37
2022-11-27,37,37,37,37
2022-12-04,37,37,35,36
2022-12-11,35,35,32,32
2022-12-18,32,33,31,31
2022-12-25,31,32,31,32
2023-01-01,32,33,32,33
2023-01-08,33,34,33,34
2023-01-15,34,35,33,35
2023-01-22,34,34,32,33
2023-01-29,33,35,33,35
2023-02-05,35,36,35,36
2023-02-12,36,37,35,35
2023-02-19,35,35,34,35
2023-02-26,34,35,33,34
2023-03-05,34,34,33,34
2023-03-12,34,34,28,30
2023-03-19,28,30,27,27
2023-03-26,28,28,26,27
2023-04-02,27,29,27,28
2023-04-09,28,28,27,27
2023-04-16,27,29,27,29
2023-04-23,29,30,29,29
2023-04-30,29,29,28,29
2023-05-07,29,29,26,27
2023-05-14,28,28,26,27
2023-05-21,27,28,27,28
2023-05-28,28,29,27,28
2023-06-04,28,28,27,28
2023-06-11,28,29,28,29
2023-06-18,29,29,28,29
2023-06-25,29,29,27,27
2023-07-02,27,29,27,28
2023-07-09,28,29,28,28
2023-07-16,28,30,28,29
2023-07-23,29,32,29,31
2023-07-30,32,32,31,31
2023-08-06,31,32,30,31
2023-08-13,31,31,30,31
2023-08-20,31,31,28,29
2023-08-27,29,29,28,28
2023-09-03,28,29,28,28
2023-09-10,28,29,27,28
2023-09-17,28,29,28,28
2023-09-24,28,28,27,27
2023-10-01,27,27,27,27
2023-10-08,27,27,25,26
2023-10-15,25,27,25,26
2023-10-22,27,28,26,26
2023-10-29,26,26,24,25
2023-11-05,25,28,25,28
2023-11-12,28,28,27,27
2023-11-19,27,30,27,29
2023-11-26,29,30,29,29
2023-12-03,29,31,29,30
2023-12-10,30,31,30,30
2023-12-17,30,34,30,33
2023-12-24,33,33,32,33
2023-12-31,33,33,33,33
