Date,Open,High,Low,Close
2022-01-09,117,125,117,125
2022-01-16,125,129,123,128
2022-01-23,129,130,126,126
2022-01-30,124,137,122,130
2022-02-06,130,137,129,135
2022-02-13,135,139,134,138
2022-02-20,137,138,132,133
2022-02-27,137,140,130,140
2022-03-06,139,159,138,158
2022-03-13,159,174,155,170
2022-03-20,166,168,155,161
2022-03-27,163,169,162,169
2022-04-03,165,166,160,164
2022-04-10,165,171,163,169
2022-04-17,168,172,164,171
2022-04-24,173,174,160,160
2022-05-01,155,163,151,156
2022-05-08,156,170,155,170
2022-05-15,167,168,157,167
2022-05-22,169,175,162,167
2022-05-29,169,178,169,178
2022-06-05,179,180,173,177
2022-06-12,177,182,173,175
2022-06-19,171,172,145,148
2022-06-26,152,156,140,144
2022-07-03,145,152,142,146
2022-07-10,143,145,136,142
2022-07-17,141,142,132,137
2022-07-24,140,147,139,144
2022-07-31,145,164,144,163
2022-08-07,161,161,149,153
2022-08-14,153,161,152,159
2022-08-21,155,159,153,157
2022-08-28,156,166,154,163
2022-09-04,163,166,153,157
2022-09-11,159,160,152,159
2022-09-18,162,164,155,156
2022-09-25,152,158,143,144
2022-10-02,143,146,140,143
2022-10-09,148,163,148,160
2022-10-16,161,165,154,160
2022-10-23,163,173,158,173
2022-10-30,172,182,171,179
2022-11-06,178,185,177,183
2022-11-13,182,187,177,186
2022-11-20,186,189,179,182
2022-11-27,179,186,175,183
2022-12-04,180,184,177,181
2022-12-11,182,182,167,168
2022-12-18,168,174,167,168
2022-12-25,170,177,168,177
2023-01-01,178,180,175,179
2023-01-08,178,179,170,176
2023-01-15,178,178,173,177
2023-01-22,178,182,176,180
2023-01-29,181,187,176,179
2023-02-05,178,178,166,169
2023-02-12,169,174,167,171
2023-02-19,171,173,161,162
2023-02-26,162,163,158,162
2023-03-05,163,165,160,164
2023-03-12,164,166,158,159
2023-03-19,156,164,149,152
2023-03-26,151,160,151,156
2023-04-02,157,163,155,163
2023-04-09,169,171,167,167
2023-04-16,168,172,167,172
2023-04-23,172,172,168,169
2023-04-30,169,172,164,168
2023-05-07,167,168,155,160
2023-05-14,161,162,153,156
2023-05-21,157,158,151,155
2023-05-28,153,158,152,154
2023-06-04,151,156,149,156
2023-06-11,158,160,153,158
2023-06-18,157,160,156,157
2023-06-25,156,156,150,151
2023-07-02,151,157,151,157
2023-07-09,157,158,151,154
2023-07-16,153,160,153,153
2023-07-23,153,158,152,158
2023-07-30,160,164,156,158
2023-08-06,161,163,158,159
2023-08-13,161,164,156,164
2023-08-20,163,164,158,160
2023-08-27,161,162,156,159
2023-09-03,159,164,159,164
2023-09-10,165,168,165,167
2023-09-17,168,168,162,166
2023-09-24,167,168,165,166
2023-10-01,166,171,165,168
2023-10-08,168,168,158,162
2023-10-15,166,168,160,164
2023-10-22,165,170,163,166
2023-10-29,163,164,143,144
2023-11-05,145,149,143,147
2023-11-12,148,149,141,142
2023-11-19,143,146,140,144
2023-11-26,144,145,140,144
2023-12-03,144,146,142,144
2023-12-10,144,145,140,144
2023-12-17,144,149,141,149
2023-12-24,150,153,149,151
2023-12-31,152,153,148,149
