Date,Open,High,Low,Close
2022-01-09,155,160,153,157
2022-01-16,157,158,148,151
2022-01-23,151,153,136,137
2022-01-30,134,138,129,138
2022-02-06,138,144,138,142
2022-02-13,143,157,140,149
2022-02-20,149,156,149,151
2022-02-27,150,150,140,149
2022-03-06,147,149,139,140
2022-03-13,140,140,129,131
2022-03-20,130,140,128,140
2022-03-27,138,142,136,139
2022-04-03,138,144,135,137
2022-04-10,136,139,130,131
2022-04-17,130,133,130,130
2022-04-24,130,133,118,118
2022-05-01,117,120,111,111
2022-05-08,111,116,108,110
2022-05-15,108,110,99,107
2022-05-22,107,108,100,102
2022-05-29,103,109,100,109
2022-06-05,110,112,107,108
2022-06-12,109,110,99,99
2022-06-19,97,97,93,94
2022-06-26,94,98,92,97
2022-07-03,98,100,92,96
2022-07-10,94,98,92,95
2022-07-17,95,95,90,95
2022-07-24,96,104,95,102
2022-07-31,102,106,99,106
2022-08-07,104,109,103,106
2022-08-14,108,123,107,121
2022-08-21,121,126,119,120
2022-08-28,117,118,113,114
2022-09-04,112,114,110,111
2022-09-11,111,115,108,115
2022-09-18,116,117,106,108
2022-09-25,107,109,98,99
2022-10-02,98,100,94,94
2022-10-09,95,101,94,97
2022-10-16,97,98,90,94
2022-10-23,96,102,96,102
2022-10-30,102,107,100,105
2022-11-06,105,108,98,99
2022-11-13,100,101,86,95
2022-11-20,95,97,90,91
2022-11-27,100,100,94,98
2022-12-04,98,99,93,99
2022-12-11,98,99,91,93
2022-12-18,93,97,88,90
2022-12-25,89,89,84,88
2023-01-01,87,88,84,86
2023-01-08,88,94,87,93
2023-01-15,94,100,93,99
2023-01-22,100,103,97,103
2023-01-29,103,110,102,109
2023-02-05,108,113,106,110
2023-02-12,110,118,107,108
2023-02-19,108,109,103,105
2023-02-26,103,103,98,100
2023-03-05,100,101,97,101
2023-03-12,101,102,92,93
2023-03-19,91,94,90,93
2023-03-26,93,97,93,94
2023-04-02,94,100,94,100
2023-04-09,100,100,98,99
2023-04-16,99,102,97,99
2023-04-23,99,101,97,99
2023-04-30,100,102,96,102
2023-05-07,102,102,96,100
2023-05-14,101,103,91,91
2023-05-21,91,94,90,91
2023-05-28,91,92,87,88
2023-06-04,88,91,87,90
2023-06-11,91,93,89,91
2023-06-18,92,94,90,91
2023-06-25,90,90,87,88
2023-07-02,88,89,87,89
2023-07-09,89,90,87,88
2023-07-16,88,90,87,88
2023-07-23,88,88,85,87
2023-07-30,87,87,85,86
2023-08-06,87,89,85,86
2023-08-13,86,92,85,89
2023-08-20,88,89,85,85
2023-08-27,85,86,82,83
2023-09-03,83,84,80,81
2023-09-10,81,82,79,81
2023-09-17,81,86,81,85
2023-09-24,85,85,81,81
2023-10-01,81,81,79,81
2023-10-08,80,83,78,82
2023-10-15,84,85,83,84
2023-10-22,84,86,82,82
2023-10-29,82,84,79,79
2023-11-05,79,85,79,85
2023-11-12,85,91,83,88
2023-11-19,88,95,87,94
2023-11-26,93,96,93,96
2023-12-03,95,95,91,92
2023-12-10,91,93,89,92
2023-12-17,92,94,90,93
2023-12-24,92,94,90,91
2023-12-31,90,91,89,90
