Date,Open,High,Low,Close
2022-01-09,35,37,35,37
2022-01-16,37,38,36,38
2022-01-23,37,38,36,37
2022-01-30,36,37,35,36
2022-02-06,35,36,34,34
2022-02-13,34,35,34,34
2022-02-20,34,39,34,38
2022-02-27,38,40,38,39
2022-03-06,38,40,38,39
2022-03-13,39,40,37,37
2022-03-20,37,38,37,37
2022-03-27,37,39,37,39
2022-04-03,39,39,38,39
2022-04-10,39,41,38,40
2022-04-17,41,42,40,42
2022-04-24,42,44,41,43
2022-05-01,43,43,41,42
2022-05-08,42,43,41,43
2022-05-15,43,44,42,44
2022-05-22,44,44,37,38
2022-05-29,38,40,35,37
2022-06-05,37,38,34,36
2022-06-12,36,38,36,37
2022-06-19,37,37,34,35
2022-06-26,35,38,35,38
2022-07-03,38,39,37,38
2022-07-10,38,38,37,38
2022-07-17,38,39,37,38
2022-07-24,38,39,37,38
2022-07-31,38,38,35,36
2022-08-07,37,37,36,37
2022-08-14,37,39,37,38
2022-08-21,38,38,37,38
2022-08-28,38,39,38,38
2022-09-04,37,38,37,37
2022-09-11,37,37,35,36
2022-09-18,36,36,34,34
2022-09-25,34,35,33,33
2022-10-02,33,34,32,33
2022-10-09,33,34,32,33
2022-10-16,34,36,33,35
2022-10-23,35,36,34,35
2022-10-30,35,39,35,38
2022-11-06,38,39,37,38
2022-11-13,38,38,36,36
2022-11-20,37,38,36,38
2022-11-27,38,39,38,38
2022-12-04,39,40,38,39
2022-12-11,39,40,39,39
2022-12-18,40,40,39,39
2022-12-25,40,40,39,40
2023-01-01,40,41,40,40
2023-01-08,40,42,40,42
2023-01-15,42,42,42,42
2023-01-22,42,42,39,39
2023-01-29,40,40,39,39
2023-02-05,39,40,39,39
2023-02-12,39,39,38,39
2023-02-19,39,40,39,40
2023-02-26,40,40,39,39
2023-03-05,39,40,38,39
2023-03-12,38,39,37,37
2023-03-19,37,38,37,37
2023-03-26,37,38,37,38
2023-04-02,38,39,38,38
2023-04-09,38,39,38,39
2023-04-16,39,39,38,39
2023-04-23,39,39,38,39
2023-04-30,39,39,39,39
2023-05-07,39,41,39,41
2023-05-14,41,41,40,40
2023-05-21,40,40,38,39
2023-05-28,39,39,37,38
2023-06-04,38,38,37,38
2023-06-11,38,38,36,36
2023-06-18,36,37,36,36
2023-06-25,37,37,35,35
2023-07-02,35,35,34,35
2023-07-09,35,36,35,35
2023-07-16,35,35,35,35
2023-07-23,35,36,35,36
2023-07-30,36,36,36,36
2023-08-06,36,36,35,35
2023-08-13,35,35,34,34
2023-08-20,34,34,33,33
2023-08-27,33,34,33,33
2023-09-03,33,34,32,32
2023-09-10,32,33,32,32
2023-09-17,33,33,33,33
2023-09-24,33,34,33,34
2023-10-01,34,34,33,33
2023-10-08,33,33,31,32
2023-10-15,32,32,30,31
2023-10-22,31,32,31,31
2023-10-29,31,32,31,31
2023-11-05,31,33,31,33
2023-11-12,33,33,32,32
2023-11-19,32,34,32,33
2023-11-26,33,35,33,34
2023-12-03,35,35,34,35
2023-12-10,35,36,35,36
2023-12-17,36,37,36,36
2023-12-24,36,36,35,36
2023-12-31,36,37,36,36
