Date,Open,High,Low,Close
2022-01-09,165,171,161,166
2022-01-16,167,167,159,162
2022-01-23,160,161,154,156
2022-01-30,154,164,150,159
2022-02-06,158,164,157,162
2022-02-13,163,177,162,169
2022-02-20,170,184,169,174
2022-02-27,174,175,162,174
2022-03-06,170,172,156,159
2022-03-13,159,165,146,161
2022-03-20,162,173,160,171
2022-03-27,169,173,167,171
2022-04-03,172,179,169,173
2022-04-10,173,176,162,163
2022-04-17,161,181,161,180
2022-04-24,179,195,178,179
2022-05-01,178,186,175,177
2022-05-08,178,183,169,172
2022-05-15,170,172,159,166
2022-05-22,165,167,151,155
2022-05-29,156,177,149,172
2022-06-05,171,175,167,174
2022-06-12,177,179,159,159
2022-06-19,154,157,142,145
2022-06-26,147,147,131,139
2022-07-03,139,146,133,139
2022-07-10,135,139,133,137
2022-07-17,137,144,135,143
2022-07-24,145,154,143,150
2022-07-31,152,159,150,158
2022-08-07,158,162,155,157
2022-08-14,157,164,156,164
2022-08-21,162,166,160,161
2022-08-28,158,163,156,156
2022-09-04,154,157,149,154
2022-09-11,155,162,150,162
2022-09-18,163,166,153,154
2022-09-25,152,158,135,137
2022-10-02,137,144,136,140
2022-10-09,142,148,138,141
2022-10-16,142,147,137,143
2022-10-23,146,154,145,153
2022-10-30,154,160,152,159
2022-11-06,158,163,143,148
2022-11-13,149,164,145,163
2022-11-20,162,164,157,161
2022-11-27,161,163,159,162
2022-12-04,161,167,158,165
2022-12-11,164,164,157,161
2022-12-18,161,169,152,153
2022-12-25,154,154,145,148
2023-01-01,149,149,145,148
2023-01-08,149,153,147,153
2023-01-15,151,162,151,161
2023-01-22,161,167,158,166
2023-01-29,166,176,165,174
2023-02-05,172,177,170,174
2023-02-12,172,177,170,171
2023-02-19,172,181,171,172
2023-02-26,170,172,169,170
2023-03-05,171,173,167,173
2023-03-12,173,176,164,164
2023-03-19,162,164,155,158
2023-03-26,159,168,153,156
2023-04-02,158,166,155,166
2023-04-09,165,166,161,163
2023-04-16,162,168,161,168
2023-04-23,168,174,168,174
2023-04-30,174,175,162,169
2023-05-07,168,183,168,176
2023-05-14,177,180,172,174
2023-05-21,174,181,172,178
2023-05-28,178,178,167,171
2023-06-04,172,177,165,177
2023-06-11,176,182,175,179
2023-06-18,179,183,173,176
2023-06-25,175,177,171,171
2023-07-02,170,184,170,183
2023-07-09,183,187,178,185
2023-07-16,185,193,185,189
2023-07-23,187,195,187,194
2023-07-30,193,199,191,199
2023-08-06,199,206,197,202
2023-08-13,204,210,202,208
2023-08-20,207,209,200,202
2023-08-27,202,205,198,199
2023-09-03,200,206,199,205
2023-09-10,205,205,198,205
2023-09-17,206,208,199,203
2023-09-24,202,203,194,194
2023-10-01,193,200,190,196
2023-10-08,196,197,189,195
2023-10-15,193,201,189,192
2023-10-22,196,199,187,187
2023-10-29,189,191,184,185
2023-11-05,188,191,180,191
2023-11-12,192,197,189,197
2023-11-19,197,206,196,205
2023-11-26,204,210,204,208
2023-12-03,208,209,200,209
2023-12-10,208,213,202,209
2023-12-17,212,222,211,221
2023-12-24,221,224,216,222
2023-12-31,222,226,221,225
