Date,Open,High,Low,Close
2022-01-09,54,54,50,50
2022-01-16,50,50,47,48
2022-01-23,47,49,47,47
2022-01-30,46,48,45,48
2022-02-06,49,53,49,49
2022-02-13,50,53,49,49
2022-02-20,48,51,48,50
2022-02-27,49,51,47,51
2022-03-06,51,53,50,52
2022-03-13,51,52,50,50
2022-03-20,51,55,50,55
2022-03-27,55,55,52,53
2022-04-03,53,56,53,56
2022-04-10,56,61,56,60
2022-04-17,60,60,57,59
2022-04-24,58,59,55,55
2022-05-01,55,58,53,57
2022-05-08,56,57,55,55
2022-05-15,54,54,51,53
2022-05-22,51,54,51,53
2022-05-29,53,54,52,53
2022-06-05,55,56,54,56
2022-06-12,56,58,55,55
2022-06-19,54,54,52,52
2022-06-26,54,56,53,56
2022-07-03,56,56,54,55
2022-07-10,54,55,53,54
2022-07-17,54,57,53,57
2022-07-24,57,57,56,57
2022-07-31,57,58,56,58
2022-08-07,58,58,49,51
2022-08-14,51,55,51,53
2022-08-21,53,53,51,52
2022-08-28,54,55,52,54
2022-09-04,54,54,50,51
2022-09-11,51,54,51,54
2022-09-18,54,55,50,50
2022-09-25,50,50,48,48
2022-10-02,47,50,47,49
2022-10-09,50,53,50,52
2022-10-16,52,52,50,51
2022-10-23,52,53,50,52
2022-10-30,52,54,52,54
2022-11-06,54,58,52,56
2022-11-13,56,58,54,55
2022-11-20,57,57,55,56
2022-11-27,56,59,56,59
2022-12-04,60,63,59,63
2022-12-11,63,65,62,64
2022-12-18,64,67,64,66
2022-12-25,65,67,64,67
2023-01-01,66,67,66,67
2023-01-08,68,69,67,69
2023-01-15,69,69,65,68
2023-01-22,69,70,69,70
2023-01-29,70,72,68,69
2023-02-05,70,70,65,68
2023-02-12,68,70,68,69
2023-02-19,70,71,69,70
2023-02-26,71,71,70,70
2023-03-05,71,72,70,72
2023-03-12,72,72,70,70
2023-03-19,70,71,67,69
2023-03-26,71,76,70,76
2023-04-02,76,79,76,79
2023-04-09,79,80,78,79
2023-04-16,79,84,78,84
2023-04-23,85,86,81,86
2023-04-30,85,85,81,83
2023-05-07,83,84,79,81
2023-05-14,84,86,82,85
2023-05-21,85,85,83,85
2023-05-28,85,85,80,81
2023-06-04,80,80,77,78
2023-06-11,79,81,78,79
2023-06-18,80,81,77,80
2023-06-25,79,81,79,79
2023-07-02,79,81,77,80
2023-07-09,80,80,78,78
2023-07-16,78,80,75,80
2023-07-23,80,83,79,82
2023-07-30,81,81,77,78
2023-08-06,80,81,78,78
2023-08-13,80,96,79,90
2023-08-20,90,93,89,91
2023-08-27,92,95,91,93
2023-09-03,93,95,92,94
2023-09-10,96,98,94,97
2023-09-17,97,100,95,95
2023-09-24,92,96,90,91
2023-10-01,90,92,90,90
2023-10-08,90,92,86,92
2023-10-15,91,104,90,102
2023-10-22,101,101,96,96
2023-10-29,97,98,92,93
2023-11-05,96,102,95,98
2023-11-12,99,103,98,101
2023-11-19,99,101,96,101
2023-11-26,101,105,101,105
2023-12-03,104,105,100,100
2023-12-10,100,101,95,96
2023-12-17,96,98,94,97
2023-12-24,99,103,98,102
2023-12-31,102,104,102,103
