Date,Open,High,Low,Close
2022-01-09,50,50,49,50
2022-01-16,50,52,50,51
2022-01-23,52,52,51,51
2022-01-30,50,53,49,52
2022-02-06,51,52,50,52
2022-02-13,52,53,52,52
2022-02-20,52,53,51,52
2022-02-27,51,53,49,53
2022-03-06,52,52,47,48
2022-03-13,48,52,48,50
2022-03-20,49,52,49,52
2022-03-27,51,52,50,51
2022-04-03,51,52,50,52
2022-04-10,51,57,51,56
2022-04-17,57,58,55,55
2022-04-24,55,56,54,54
2022-05-01,54,54,52,52
2022-05-08,52,53,51,51
2022-05-15,50,52,50,52
2022-05-22,52,54,51,54
2022-05-29,54,56,54,55
2022-06-05,53,53,52,53
2022-06-12,53,54,50,50
2022-06-19,50,50,48,49
2022-06-26,49,53,49,53
2022-07-03,52,53,49,51
2022-07-10,50,50,49,50
2022-07-17,50,50,48,50
2022-07-24,50,51,49,49
2022-07-31,50,51,49,49
2022-08-07,49,49,48,49
2022-08-14,49,49,41,44
2022-08-21,43,44,40,41
2022-08-28,41,41,39,40
2022-09-04,41,41,40,40
2022-09-11,39,40,39,40
2022-09-18,41,41,39,40
2022-09-25,40,40,38,38
2022-10-02,37,38,36,38
2022-10-09,38,40,38,38
2022-10-16,38,40,38,39
2022-10-23,40,40,39,40
2022-10-30,40,43,40,43
2022-11-06,43,43,42,43
2022-11-13,43,44,42,42
2022-11-20,43,44,43,44
2022-11-27,44,45,44,45
2022-12-04,45,46,44,45
2022-12-11,44,49,44,46
2022-12-18,46,48,46,46
2022-12-25,46,48,46,48
2023-01-01,48,48,47,48
2023-01-08,48,49,47,48
2023-01-15,48,49,48,49
2023-01-22,49,49,48,49
2023-01-29,48,49,48,48
2023-02-05,48,49,45,46
2023-02-12,45,48,45,47
2023-02-19,47,47,46,47
2023-02-26,47,48,47,47
2023-03-05,48,48,46,47
2023-03-12,47,48,46,47
2023-03-19,47,48,46,47
2023-03-26,47,52,47,52
2023-04-02,53,54,52,54
2023-04-09,54,56,54,55
2023-04-16,55,56,54,56
2023-04-23,56,56,55,56
2023-04-30,56,57,53,53
2023-05-07,53,55,53,55
2023-05-14,55,55,53,54
2023-05-21,54,55,53,55
2023-05-28,54,54,52,52
2023-06-04,51,51,50,51
2023-06-11,50,51,50,51
2023-06-18,51,52,50,52
2023-06-25,53,53,53,53
2023-07-02,53,54,52,53
2023-07-09,54,54,51,51
2023-07-16,51,52,51,52
2023-07-23,52,54,52,54
2023-07-30,54,54,51,52
2023-08-06,53,53,49,51
2023-08-13,51,54,51,53
2023-08-20,53,53,52,53
2023-08-27,53,54,52,53
2023-09-03,53,54,52,53
2023-09-10,53,53,52,53
2023-09-17,54,55,54,54
2023-09-24,54,55,53,54
2023-10-01,54,54,52,53
2023-10-08,54,54,53,53
2023-10-15,53,54,53,54
2023-10-22,54,54,51,52
2023-10-29,52,53,42,43
2023-11-05,44,47,44,45
2023-11-12,45,46,45,45
2023-11-19,45,47,45,47
2023-11-26,46,47,46,47
2023-12-03,47,47,46,46
2023-12-10,46,47,45,46
2023-12-17,47,48,46,47
2023-12-24,48,49,48,48
2023-12-31,48,50,48,49
