Date,Open,High,Low,Close
2022-01-09,61,69,61,68
2022-01-16,68,72,67,71
2022-01-23,72,74,71,72
2022-01-30,70,76,69,75
2022-02-06,74,82,74,81
2022-02-13,81,83,77,80
2022-02-20,79,79,76,77
2022-02-27,79,79,74,77
2022-03-06,76,84,76,84
2022-03-13,84,91,81,84
2022-03-20,83,83,76,78
2022-03-27,80,85,79,85
2022-04-03,83,84,79,83
2022-04-10,83,87,82,86
2022-04-17,85,88,83,87
2022-04-24,88,89,85,85
2022-05-01,82,88,79,85
2022-05-08,85,92,84,91
2022-05-15,89,89,83,88
2022-05-22,88,93,88,91
2022-05-29,92,97,92,97
2022-06-05,98,99,95,99
2022-06-12,99,105,98,100
2022-06-19,97,98,85,86
2022-06-26,88,92,83,86
2022-07-03,87,93,84,87
2022-07-10,86,87,81,86
2022-07-17,85,86,80,84
2022-07-24,86,89,85,87
2022-07-31,88,97,87,96
2022-08-07,94,95,86,88
2022-08-14,88,94,88,94
2022-08-21,90,95,89,94
2022-08-28,93,99,91,97
2022-09-04,98,101,92,95
2022-09-11,96,97,92,96
2022-09-18,97,99,92,93
2022-09-25,91,93,84,85
2022-10-02,84,89,83,87
2022-10-09,90,103,89,101
2022-10-16,101,102,96,99
2022-10-23,101,106,99,105
2022-10-30,105,111,105,110
2022-11-06,109,113,108,112
2022-11-13,112,114,107,113
2022-11-20,112,114,109,112
2022-11-27,109,114,107,113
2022-12-04,110,112,109,109
2022-12-11,110,111,102,103
2022-12-18,103,108,103,104
2022-12-25,105,108,104,108
2023-01-01,109,110,107,110
2023-01-08,109,111,104,110
2023-01-15,111,113,107,113
2023-01-22,113,114,109,113
2023-01-29,113,117,104,115
2023-02-05,115,117,109,111
2023-02-12,112,119,110,119
2023-02-19,117,118,110,111
2023-02-26,110,112,108,110
2023-03-05,110,113,109,112
2023-03-12,111,113,107,107
2023-03-19,105,109,98,99
2023-03-26,99,107,99,103
2023-04-02,104,110,103,109
2023-04-09,113,117,113,115
2023-04-16,114,116,114,116
2023-04-23,115,117,113,116
2023-04-30,115,119,114,118
2023-05-07,115,117,105,108
2023-05-14,110,110,104,105
2023-05-21,105,107,102,106
2023-05-28,105,108,104,104
2023-06-04,103,106,101,105
2023-06-11,107,109,103,107
2023-06-18,105,108,104,105
2023-06-25,104,104,101,102
2023-07-02,102,107,102,107
2023-07-09,107,108,101,103
2023-07-16,102,107,100,100
2023-07-23,100,104,100,103
2023-07-30,104,106,102,104
2023-08-06,105,109,104,107
2023-08-13,107,112,104,111
2023-08-20,111,111,106,110
2023-08-27,110,110,105,108
2023-09-03,108,113,108,113
2023-09-10,114,116,113,115
2023-09-17,116,118,113,116
2023-09-24,117,118,114,114
2023-10-01,115,120,114,117
2023-10-08,117,117,105,107
2023-10-15,110,112,104,109
2023-10-22,110,113,109,111
2023-10-29,110,110,104,105
2023-11-05,105,109,104,107
2023-11-12,108,108,102,103
2023-11-19,104,105,101,104
2023-11-26,105,105,101,104
2023-12-03,104,104,101,102
2023-12-10,102,103,98,99
2023-12-17,99,102,97,100
2023-12-24,102,103,100,101
2023-12-31,102,103,99,99
