Date,Open,High,Low,Close
2022-01-09,79400,79800,76400,78300
2022-01-16,78100,79600,77100,77300
2022-01-23,77600,77800,74700,75600
2022-01-30,75400,75800,71200,73300
2022-02-06,74900,74900,73300,74000
2022-02-13,73500,75800,72400,74900
2022-02-20,74400,75600,73100,74300
2022-02-27,73200,74300,71300,71900
2022-03-06,71100,73100,71000,71500
2022-03-13,70000,71200,68700,70000
2022-03-20,70000,71800,69500,70700
2022-03-27,70900,71200,69600,69800
2022-04-03,69500,70500,69000,69100
2022-04-10,68900,69600,67700,67800
2022-04-17,67800,69000,66500,66600
2022-04-24,66500,68300,66100,67000
2022-05-01,66500,67600,64500,67400
2022-05-08,66600,68400,66500,66500
2022-05-15,66300,66900,64900,66500
2022-05-22,67100,68700,66100,68000
2022-05-29,68800,68800,65500,66500
2022-06-05,67500,67800,66400,66800
2022-06-12,66200,66400,63800,63800
2022-06-19,62400,62800,59400,59800
2022-06-26,59800,59900,56800,58400
2022-07-03,59000,59900,55900,56200
2022-07-10,56100,59300,55700,58700
2022-07-17,59300,60000,57400,60000
2022-07-24,60600,62200,60200,61300
2022-07-31,60900,62600,60800,61400
2022-08-07,61000,61900,60300,61500
2022-08-14,61400,61400,58600,60200
2022-08-21,60500,61900,60000,60900
2022-08-28,60300,60900,59000,60000
2022-09-04,58700,59900,57500,57500
2022-09-11,57400,57800,55600,55600
2022-09-18,57000,58500,55500,56200
2022-09-25,56300,57000,54200,54500
2022-10-02,53700,54400,51800,53100
2022-10-09,55300,57300,54500,56200
2022-10-16,54400,57000,54000,56300
2022-10-23,55800,57100,55100,55900
2022-10-30,57000,60100,56700,57300
2022-11-06,58100,60300,58000,59400
2022-11-13,59700,63200,59400,62900
2022-11-20,62900,62900,61300,61800
2022-11-27,61400,61800,60300,61000
2022-12-04,60500,63200,59800,60400
2022-12-11,60900,61100,58500,60400
2022-12-18,59900,60600,58300,59500
2022-12-25,59500,59900,57700,58100
2023-01-01,58000,58400,55300,55300
2023-01-08,55500,59400,54500,59000
2023-01-15,59700,61200,59600,60800
2023-01-22,61300,62300,59900,61800
2023-01-29,63500,65000,63000,64600
2023-02-05,64900,64900,61000,63800
2023-02-12,62800,63300,61600,62800
2023-02-19,62900,63900,62000,62600
2023-02-26,62900,63000,61000,61300
2023-03-05,60800,61800,60200,60500
2023-03-12,61100,61600,59100,59500
2023-03-19,59900,61300,59000,61300
2023-03-26,61100,63300,60100,63000
2023-04-02,62600,64000,62000,64000
2023-04-09,64000,65200,62300,65000
2023-04-16,64800,66600,64700,65100
2023-04-23,65000,66000,64600,65700
2023-04-30,65300,65900,63300,65500
2023-05-07,66000,66300,64700,65100
2023-05-14,66300,66300,63600,64100
2023-05-21,64100,68400,63900,68400
2023-05-28,68400,70400,68000,70300
2023-06-04,71300,72500,70600,72200
2023-06-11,72700,72700,70000,72000
2023-06-18,72100,72400,70800,71800
2023-06-25,71300,72200,70100,71600
2023-07-02,71700,73400,71500,72200
2023-07-09,72700,73600,69800,69900
2023-07-16,70000,73400,69200,73400
2023-07-23,73200,73500,69400,70300
2023-07-30,70100,72400,68100,70600
2023-08-06,70900,71200,68200,68300
2023-08-13,67700,69600,67400,67500
2023-08-20,67500,67900,65800,66300
2023-08-27,66600,68700,66300,67100
2023-09-03,66800,71000,66400,71000
2023-09-10,72900,72900,69600,70300
2023-09-17,70400,72300,70000,72000
2023-09-24,71300,71700,68300,68800
2023-10-01,68500,70000,68200,68400
2023-10-08,67400,67700,66000,66000
2023-10-15,66200,69700,66200,68000
2023-10-22,67900,70500,66800,68800
2023-10-29,68700,69100,66700,67300
2023-11-05,66800,70200,66700,69600
2023-11-12,69800,71400,69300,70500
2023-11-19,71300,73000,70300,72500
2023-11-26,72100,73400,71700,71700
2023-12-03,71500,72800,71100,72000
2023-12-10,72800,72900,71100,72600
2023-12-17,72800,74300,72200,73300
2023-12-24,73300,76300,72800,75900
2023-12-31,76100,78500,75700,78500
