Date,Open,High,Low,Close
2022-01-09,14325,14365,13625,13900
2022-01-16,13835,14150,13525,13915
2022-01-23,13920,13990,13480,13620
2022-01-30,13500,13540,12420,12875
2022-02-06,13090,13120,12855,13050
2022-02-13,13000,13200,12675,13010
2022-02-20,12875,13125,12555,12960
2022-02-27,12790,12930,12440,12605
2022-03-06,12545,12975,12545,12615
2022-03-13,12220,12320,11955,12090
2022-03-20,12020,12575,11870,12505
2022-03-27,12505,12630,12400,12510
2022-04-03,12470,12810,12400,12620
2022-04-10,12525,12660,12220,12415
2022-04-17,12415,12550,12200,12380
2022-04-24,12310,12575,12230,12340
2022-05-01,12155,12240,11840,12240
2022-05-08,12155,12300,11945,11990
2022-05-15,11880,11925,11505,11825
2022-05-22,11945,12085,11755,12000
2022-05-29,12085,12120,11520,11680
2022-06-05,11855,11895,11665,11770
2022-06-12,11620,11620,11350,11405
2022-06-19,11110,11130,10660,10715
2022-06-26,10715,10715,10100,10385
2022-07-03,10485,10680,9940,9985
2022-07-10,9860,10535,9860,10430
2022-07-17,10440,10595,10185,10595
2022-07-24,10695,10960,10620,10825
2022-07-31,10855,11010,10715,10795
2022-08-07,10795,11030,10775,11030
2022-08-14,10990,11075,10745,11040
2022-08-21,11155,11275,11015,11070
2022-08-28,10910,10935,10655,10815
2022-09-04,10530,10805,10465,10465
2022-09-11,10465,10475,10230,10360
2022-09-18,10535,10835,10370,10470
2022-09-25,10465,10525,9980,10005
2022-10-02,9880,9945,9325,9415
2022-10-09,9565,10070,9565,10010
2022-10-16,9745,10145,9745,10090
2022-10-23,10095,10335,9805,10100
2022-10-30,10275,10715,10245,10430
2022-11-06,10500,10725,10405,10700
2022-11-13,10775,11500,10775,11500
2022-11-20,11500,11540,11085,11095
2022-11-27,11010,11040,10735,11000
2022-12-04,10955,11280,10815,10900
2022-12-11,10950,10950,10530,10615
2022-12-18,10520,10720,10330,10390
2022-12-25,10430,10500,10175,10200
2023-01-01,10200,10240,9875,9875
2023-01-08,9995,10420,9725,10400
2023-01-15,10550,10950,10550,10840
2023-01-22,10895,10915,10660,10865
2023-01-29,11060,11490,11060,11450
2023-02-05,11550,11550,11090,11475
2023-02-12,11325,11670,11245,11555
2023-02-19,11525,11755,11360,11565
2023-02-26,11480,11605,11315,11410
2023-03-05,11300,11480,11235,11435
2023-03-12,11480,11805,11240,11340
2023-03-19,11430,11440,11110,11420
2023-03-26,11315,11560,11225,11465
2023-04-02,11480,11735,11360,11705
2023-04-09,11735,11830,11525,11745
2023-04-16,11800,12065,11800,11990
2023-04-23,12045,12045,11630,11705
2023-04-30,11665,11665,11300,11495
2023-05-07,11675,11675,11415,11420
2023-05-14,11650,11670,11315,11380
2023-05-21,11350,12000,11260,11990
2023-05-28,12045,12370,11970,12270
2023-06-04,12575,12740,12480,12680
2023-06-11,12715,12890,12575,12890
2023-06-18,12935,13090,12835,12975
2023-06-25,12820,12840,12560,12590
2023-07-02,12590,12775,12485,12670
2023-07-09,12685,13040,12360,12395
2023-07-16,12410,12955,12185,12890
2023-07-23,12815,12940,12440,12515
2023-07-30,12515,12650,12195,12595
2023-08-06,12610,12700,12170,12190
2023-08-13,12135,12355,11975,12060
2023-08-20,12000,12010,11580,11775
2023-08-27,11760,12065,11670,11760
2023-09-03,11795,12100,11775,12035
2023-09-10,12130,12220,11695,11785
2023-09-17,11785,12265,11720,12195
2023-09-24,12090,12090,11475,11640
2023-10-01,11585,11650,11380,11470
2023-10-08,11225,11470,11170,11305
2023-10-15,11405,11870,11405,11825
2023-10-22,11775,12055,11520,11615
2023-10-29,11710,11710,11070,11110
2023-11-05,11125,11630,10995,11580
2023-11-12,11675,12125,11650,11765
2023-11-19,11815,12160,11745,12015
2023-11-26,11995,12255,11945,11945
2023-12-03,11965,12300,11965,12065
2023-12-10,12190,12190,11760,11940
2023-12-17,11960,12440,11960,12370
2023-12-24,12395,12520,12260,12470
2023-12-31,12550,12825,12445,12825
