Date,Open,High,Low,Close
2022-01-09,177,182,171,172
2022-01-16,169,177,168,173
2022-01-23,171,172,162,162
2022-01-30,160,170,154,170
2022-02-06,170,176,169,172
2022-02-13,172,176,168,168
2022-02-20,167,173,166,167
2022-02-27,164,166,152,164
2022-03-06,163,168,161,163
2022-03-13,163,165,154,154
2022-03-20,151,164,150,163
2022-03-27,163,175,163,174
2022-04-03,172,179,171,174
2022-04-10,174,178,169,170
2022-04-17,168,171,165,165
2022-04-24,163,171,161,161
2022-05-01,161,166,155,157
2022-05-08,156,166,153,157
2022-05-15,154,156,138,147
2022-05-22,145,149,132,137
2022-05-29,137,149,137,149
2022-06-05,149,151,144,145
2022-06-12,147,149,137,137
2022-06-19,132,137,129,131
2022-06-26,133,141,133,141
2022-07-03,142,143,133,138
2022-07-10,137,147,136,147
2022-07-17,145,150,142,150
2022-07-24,150,156,146,154
2022-07-31,154,163,150,162
2022-08-07,161,167,159,165
2022-08-14,166,172,163,172
2022-08-21,171,176,171,171
2022-08-28,169,171,163,163
2022-09-04,161,162,154,155
2022-09-11,156,157,152,157
2022-09-18,159,164,148,150
2022-09-25,149,158,148,150
2022-10-02,149,154,138,138
2022-10-09,138,147,137,140
2022-10-16,140,144,134,138
2022-10-23,141,147,140,147
2022-10-30,147,157,144,155
2022-11-06,153,155,134,138
2022-11-13,137,150,134,149
2022-11-20,148,153,146,151
2022-11-27,150,151,146,148
2022-12-04,145,149,140,147
2022-12-11,147,150,140,142
2022-12-18,142,149,133,134
2022-12-25,135,136,129,131
2023-01-01,131,131,125,129
2023-01-08,130,130,124,129
2023-01-15,130,134,128,134
2023-01-22,134,138,133,137
2023-01-29,138,147,137,145
2023-02-05,144,157,141,154
2023-02-12,152,155,149,151
2023-02-19,150,156,150,152
2023-02-26,150,151,145,146
2023-03-05,147,151,143,151
2023-03-12,153,156,147,148
2023-03-19,147,156,147,155
2023-03-26,155,162,154,160
2023-04-02,159,165,155,164
2023-04-09,164,166,161,164
2023-04-16,161,166,159,165
2023-04-23,165,168,164,165
2023-04-30,165,169,162,169
2023-05-07,169,174,164,173
2023-05-14,172,174,171,172
2023-05-21,173,176,170,175
2023-05-28,173,175,170,175
2023-06-04,176,181,176,180
2023-06-11,182,184,177,180
2023-06-18,181,186,180,184
2023-06-25,184,187,182,186
2023-07-02,186,194,185,193
2023-07-09,193,193,189,190
2023-07-16,189,191,186,190
2023-07-23,191,198,191,191
2023-07-30,193,197,192,195
2023-08-06,196,196,181,181
2023-08-13,182,183,176,177
2023-08-20,177,179,171,174
2023-08-27,175,181,173,178
2023-09-03,180,189,178,189
2023-09-10,188,189,173,178
2023-09-17,180,180,173,175
2023-09-24,176,179,173,174
2023-10-01,174,176,167,171
2023-10-08,171,177,170,177
2023-10-15,176,182,175,178
2023-10-22,176,179,172,172
2023-10-29,170,174,165,168
2023-11-05,169,177,167,176
2023-11-12,176,186,176,186
2023-11-19,185,190,184,189
2023-11-26,189,192,189,189
2023-12-03,189,192,188,191
2023-12-10,189,195,187,195
2023-12-17,193,199,191,197
2023-12-24,196,197,192,193
2023-12-31,193,194,191,192
