Date,Open,High,Low,Close
2022-01-09,204,218,203,215
2022-01-16,214,226,207,225
2022-01-23,224,229,204,205
2022-01-30,199,206,183,190
2022-02-06,190,209,190,206
2022-02-13,205,223,205,212
2022-02-20,213,219,208,209
2022-02-27,205,206,186,201
2022-03-06,198,207,178,180
2022-03-13,181,184,167,176
2022-03-20,175,193,172,192
2022-03-27,184,192,180,188
2022-04-03,188,197,184,190
2022-04-10,190,192,173,175
2022-04-17,173,185,173,181
2022-04-24,181,189,176,176
2022-05-01,174,176,146,148
2022-05-08,148,157,143,148
2022-05-15,146,146,120,127
2022-05-22,127,132,117,120
2022-05-29,121,132,117,132
2022-06-05,131,140,127,139
2022-06-12,139,142,126,127
2022-06-19,123,138,113,136
2022-06-26,139,141,130,141
2022-07-03,140,147,131,139
2022-07-10,136,142,131,139
2022-07-17,137,149,134,147
2022-07-24,153,163,147,158
2022-07-31,156,162,152,159
2022-08-07,165,171,162,165
2022-08-14,166,171,163,169
2022-08-21,169,173,162,162
2022-08-28,159,171,157,164
2022-09-04,162,169,150,151
2022-09-11,152,159,150,157
2022-09-18,158,160,141,144
2022-09-25,142,149,129,131
2022-10-02,129,133,120,121
2022-10-09,122,133,121,129
2022-10-16,131,136,124,133
2022-10-23,136,141,133,141
2022-10-30,142,150,132,143
2022-11-06,141,160,139,160
2022-11-13,161,179,160,177
2022-11-20,176,178,168,173
2022-11-27,172,178,171,178
2022-12-04,176,183,171,182
2022-12-11,182,188,174,179
2022-12-18,180,191,180,184
2022-12-25,184,196,184,189
2023-01-01,189,192,186,190
2023-01-08,192,213,192,213
2023-01-15,212,216,203,214
2023-01-22,212,213,204,206
2023-01-29,208,214,203,211
2023-02-05,209,218,205,206
2023-02-12,205,215,203,212
2023-02-19,213,221,207,211
2023-02-26,208,210,197,198
2023-03-05,199,216,199,215
2023-03-12,214,214,197,203
2023-03-19,200,213,192,201
2023-03-26,201,207,193,197
2023-04-02,198,214,198,212
2023-04-09,212,218,208,211
2023-04-16,211,214,198,201
2023-04-23,202,210,200,205
2023-04-30,204,211,201,206
2023-05-07,206,208,193,198
2023-05-14,199,204,196,200
2023-05-21,200,208,198,205
2023-05-28,205,207,196,203
2023-06-04,204,215,200,213
2023-06-11,213,220,200,217
2023-06-18,217,223,215,219
2023-06-25,218,219,202,205
2023-07-02,206,213,204,211
2023-07-09,210,215,207,212
2023-07-16,211,221,211,213
2023-07-23,212,215,208,211
2023-07-30,212,240,210,238
2023-08-06,238,243,230,231
2023-08-13,232,241,232,235
2023-08-20,237,238,221,226
2023-08-27,226,230,212,223
2023-09-03,224,231,221,223
2023-09-10,223,224,210,211
2023-09-17,213,214,206,208
2023-09-24,207,207,197,197
2023-10-01,196,199,190,191
2023-10-08,191,192,182,187
2023-10-15,188,199,183,184
2023-10-22,185,190,179,180
2023-10-29,179,187,176,179
2023-11-05,179,197,179,195
2023-11-12,195,197,189,196
2023-11-19,203,211,202,208
2023-11-26,211,221,210,220
2023-12-03,218,235,217,233
2023-12-10,231,244,230,244
2023-12-17,243,265,243,264
2023-12-24,260,267,259,260
2023-12-31,259,264,257,260
