Date,Open,High,Low,Close
2022-01-09,57,59,56,59
2022-01-16,58,60,57,60
2022-01-23,60,61,56,56
2022-01-30,55,61,54,60
2022-02-06,59,62,58,60
2022-02-13,60,62,59,61
2022-02-20,61,62,60,60
2022-02-27,60,61,57,59
2022-03-06,58,59,56,58
2022-03-13,58,62,57,60
2022-03-20,61,63,57,62
2022-03-27,63,64,62,64
2022-04-03,64,64,62,64
2022-04-10,64,64,60,61
2022-04-17,61,66,61,65
2022-04-24,65,71,65,68
2022-05-01,67,68,65,66
2022-05-08,67,70,65,67
2022-05-15,66,68,65,67
2022-05-22,67,70,66,68
2022-05-29,67,69,65,69
2022-06-05,68,69,66,67
2022-06-12,67,67,61,61
2022-06-19,60,60,53,54
2022-06-26,56,56,50,53
2022-07-03,52,54,49,51
2022-07-10,50,52,49,51
2022-07-17,50,51,48,49
2022-07-24,50,52,49,50
2022-07-31,51,53,50,53
2022-08-07,52,52,50,51
2022-08-14,51,55,51,55
2022-08-21,55,56,54,55
2022-08-28,54,56,53,54
2022-09-04,53,54,48,49
2022-09-11,49,50,47,50
2022-09-18,51,51,45,46
2022-09-25,45,46,43,43
2022-10-02,43,45,43,43
2022-10-09,44,46,44,44
2022-10-16,44,46,42,45
2022-10-23,45,47,44,46
2022-10-30,46,48,46,47
2022-11-06,47,49,45,49
2022-11-13,48,53,47,53
2022-11-20,52,52,49,50
2022-11-27,49,51,48,51
2022-12-04,50,51,49,51
2022-12-11,51,51,50,50
2022-12-18,50,52,48,49
2022-12-25,49,50,48,50
2023-01-01,50,51,49,50
2023-01-08,50,55,50,55
2023-01-15,55,58,54,58
2023-01-22,58,58,55,57
2023-01-29,57,59,55,58
2023-02-05,58,60,57,60
2023-02-12,60,60,58,59
2023-02-19,59,60,57,58
2023-02-26,57,57,56,57
2023-03-05,57,58,56,58
2023-03-12,58,58,53,53
2023-03-19,52,53,49,50
2023-03-26,50,52,50,51
2023-04-02,52,54,51,54
2023-04-09,55,56,53,54
2023-04-16,55,57,54,56
2023-04-23,56,57,54,54
2023-04-30,55,55,52,54
2023-05-07,54,54,52,54
2023-05-14,54,54,51,52
2023-05-21,52,52,50,51
2023-05-28,52,52,49,50
2023-06-04,49,51,48,51
2023-06-11,51,54,51,51
2023-06-18,51,53,51,53
2023-06-25,52,52,50,51
2023-07-02,51,53,51,53
2023-07-09,53,53,51,53
2023-07-16,52,54,52,52
2023-07-23,52,53,52,53
2023-07-30,53,55,52,55
2023-08-06,55,56,54,54
2023-08-13,54,56,54,55
2023-08-20,55,55,53,54
2023-08-27,54,54,52,53
2023-09-03,54,55,54,55
2023-09-10,55,55,53,53
2023-09-17,54,54,52,53
2023-09-24,53,53,50,50
2023-10-01,50,51,50,51
2023-10-08,51,52,49,50
2023-10-15,50,51,49,49
2023-10-22,50,51,48,48
2023-10-29,48,49,47,48
2023-11-05,48,50,47,49
2023-11-12,49,49,47,49
2023-11-19,49,51,48,51
2023-11-26,51,51,51,51
2023-12-03,51,52,50,52
2023-12-10,52,52,50,50
2023-12-17,50,54,50,54
2023-12-24,54,55,54,55
2023-12-31,55,55,54,54
