Date,Open,High,Low,Close
2022-01-09,58,61,58,60
2022-01-16,60,61,59,61
2022-01-23,61,61,60,60
2022-01-30,59,60,58,60
2022-02-06,60,61,60,60
2022-02-13,61,62,60,60
2022-02-20,60,62,59,62
2022-02-27,62,62,59,62
2022-03-06,61,63,61,62
2022-03-13,62,62,57,57
2022-03-20,57,60,57,60
2022-03-27,60,61,60,61
2022-04-03,61,62,61,62
2022-04-10,62,64,61,63
2022-04-17,63,65,63,65
2022-04-24,64,67,64,65
2022-05-01,67,67,64,64
2022-05-08,65,65,62,64
2022-05-15,64,65,63,65
2022-05-22,65,66,59,60
2022-05-29,61,65,61,64
2022-06-05,64,64,62,62
2022-06-12,63,63,60,61
2022-06-19,60,62,58,59
2022-06-26,59,63,59,63
2022-07-03,62,64,62,64
2022-07-10,64,64,62,63
2022-07-17,62,63,61,62
2022-07-24,62,62,60,61
2022-07-31,61,64,61,64
2022-08-07,64,65,62,63
2022-08-14,63,63,62,63
2022-08-21,63,65,63,65
2022-08-28,64,64,62,63
2022-09-04,62,63,60,61
2022-09-11,61,62,60,62
2022-09-18,62,62,59,59
2022-09-25,59,60,58,58
2022-10-02,58,58,55,56
2022-10-09,56,57,54,54
2022-10-16,54,56,54,54
2022-10-23,55,56,54,55
2022-10-30,56,60,56,60
2022-11-06,60,60,58,59
2022-11-13,59,61,58,61
2022-11-20,61,61,60,61
2022-11-27,61,62,61,62
2022-12-04,62,64,61,64
2022-12-11,63,63,63,63
2022-12-18,63,64,62,62
2022-12-25,62,64,62,63
2023-01-01,63,64,63,63
2023-01-08,63,63,62,63
2023-01-15,63,63,60,61
2023-01-22,61,62,59,60
2023-01-29,60,61,59,60
2023-02-05,60,61,59,59
2023-02-12,59,60,58,59
2023-02-19,59,60,58,60
2023-02-26,59,60,59,59
2023-03-05,60,60,58,59
2023-03-12,59,60,58,59
2023-03-19,59,60,59,60
2023-03-26,60,61,59,60
2023-04-02,61,62,60,62
2023-04-09,62,63,61,62
2023-04-16,62,63,62,63
2023-04-23,63,64,63,64
2023-04-30,64,64,63,64
2023-05-07,64,64,63,64
2023-05-14,63,64,62,64
2023-05-21,64,64,62,62
2023-05-28,62,62,60,60
2023-06-04,60,61,59,61
2023-06-11,61,61,59,60
2023-06-18,60,62,60,61
2023-06-25,61,62,60,61
2023-07-02,61,61,59,60
2023-07-09,60,61,59,59
2023-07-16,59,61,58,60
2023-07-23,60,62,60,62
2023-07-30,62,63,61,62
2023-08-06,62,62,60,60
2023-08-13,60,61,60,61
2023-08-20,61,61,60,60
2023-08-27,60,60,59,60
2023-09-03,60,60,59,59
2023-09-10,59,59,58,58
2023-09-17,58,59,57,57
2023-09-24,57,58,57,57
2023-10-01,57,57,55,55
2023-10-08,55,56,51,53
2023-10-15,52,54,52,52
2023-10-22,53,55,52,54
2023-10-29,54,56,54,55
2023-11-05,55,57,55,56
2023-11-12,56,57,56,56
2023-11-19,56,57,56,57
2023-11-26,57,58,56,58
2023-12-03,58,58,57,58
2023-12-10,58,58,58,58
2023-12-17,58,60,57,58
2023-12-24,58,59,57,58
2023-12-31,58,58,58,58
