Date,Open,High,Low,Close
2022-01-09,269,271,265,267
2022-01-16,266,266,257,257
2022-01-23,256,258,252,254
2022-01-30,252,256,245,256
2022-02-06,255,262,254,260
2022-02-13,261,262,254,255
2022-02-20,255,256,250,250
2022-02-27,250,254,239,249
2022-03-06,244,245,231,235
2022-03-13,234,234,217,226
2022-03-20,226,239,223,238
2022-03-27,239,241,234,241
2022-04-03,241,251,239,249
2022-04-10,246,255,242,251
2022-04-17,251,253,248,250
2022-04-24,249,259,249,250
2022-05-01,249,256,247,249
2022-05-08,250,254,242,250
2022-05-15,247,250,241,245
2022-05-22,244,247,228,233
2022-05-29,235,251,233,251
2022-06-05,250,254,246,248
2022-06-12,249,249,237,237
2022-06-19,232,242,232,234
2022-06-26,236,248,234,247
2022-07-03,247,253,242,252
2022-07-10,251,254,249,253
2022-07-17,252,256,248,255
2022-07-24,255,256,252,253
2022-07-31,254,264,248,263
2022-08-07,262,265,257,259
2022-08-14,260,263,255,262
2022-08-21,262,267,261,266
2022-08-28,264,265,256,256
2022-09-04,255,258,251,254
2022-09-11,254,261,253,259
2022-09-18,260,261,251,254
2022-09-25,254,257,244,245
2022-10-02,245,246,230,230
2022-10-09,233,241,231,233
2022-10-16,233,249,233,243
2022-10-23,245,255,243,254
2022-10-30,255,274,253,274
2022-11-06,273,276,268,274
2022-11-13,275,281,269,271
2022-11-20,270,275,266,273
2022-11-27,274,275,272,275
2022-12-04,274,275,268,273
2022-12-11,271,274,269,272
2022-12-18,272,279,265,266
2022-12-25,266,269,263,267
2023-01-01,268,268,261,263
2023-01-08,263,269,259,269
2023-01-15,269,269,265,268
2023-01-22,270,275,262,268
2023-01-29,268,275,261,272
2023-02-05,271,272,261,264
2023-02-12,264,268,260,262
2023-02-19,263,270,263,269
2023-02-26,269,270,262,263
2023-03-05,265,269,261,269
2023-03-12,269,273,260,262
2023-03-19,260,270,260,267
2023-03-26,267,271,267,271
2023-04-02,272,280,270,279
2023-04-09,280,284,279,282
2023-04-16,283,289,281,288
2023-04-23,289,292,288,292
2023-04-30,292,296,289,295
2023-05-07,295,298,293,296
2023-05-14,297,298,293,296
2023-05-21,295,296,291,295
2023-05-28,295,296,284,286
2023-06-04,283,290,283,289
2023-06-11,290,290,280,286
2023-06-18,288,296,286,293
2023-06-25,293,297,289,289
2023-07-02,289,299,287,298
2023-07-09,297,298,291,292
2023-07-16,292,297,291,294
2023-07-23,295,299,292,295
2023-07-30,296,298,289,294
2023-08-06,293,294,286,287
2023-08-13,287,291,286,288
2023-08-20,288,289,280,281
2023-08-27,281,286,278,284
2023-09-03,284,286,279,280
2023-09-10,281,281,275,279
2023-09-17,279,285,277,278
2023-09-24,278,280,270,272
2023-10-01,270,271,261,263
2023-10-08,262,262,245,248
2023-10-15,247,253,245,248
2023-10-22,249,262,248,258
2023-10-29,256,259,254,255
2023-11-05,260,268,254,267
2023-11-12,268,270,265,267
2023-11-19,267,277,267,275
2023-11-26,275,282,275,282
2023-12-03,282,286,278,285
2023-12-10,284,288,283,285
2023-12-17,285,295,285,287
2023-12-24,288,292,287,291
2023-12-31,291,296,290,296
