Date,Open,High,Low,Close
2022-01-09,338,343,322,331
2022-01-16,325,336,315,331
2022-01-23,323,327,303,303
2022-01-30,297,309,289,301
2022-02-06,300,328,230,237
2022-02-13,237,238,216,219
2022-02-20,219,221,205,206
2022-02-27,202,211,190,210
2022-03-06,207,213,198,200
2022-03-13,200,200,186,187
2022-03-20,187,216,185,216
2022-03-27,214,225,207,221
2022-04-03,222,231,219,224
2022-04-10,225,236,218,222
2022-04-17,218,222,210,210
2022-04-24,210,218,183,184
2022-05-01,182,212,169,200
2022-05-08,201,224,200,203
2022-05-15,199,202,184,198
2022-05-22,197,205,187,193
2022-05-29,195,196,176,195
2022-06-05,194,200,185,190
2022-06-12,193,202,175,175
2022-06-19,170,172,159,163
2022-06-26,165,170,154,170
2022-07-03,171,171,155,160
2022-07-10,158,172,157,170
2022-07-17,167,167,157,164
2022-07-24,166,183,165,169
2022-07-31,169,170,154,159
2022-08-07,157,172,155,167
2022-08-14,168,183,166,180
2022-08-21,178,181,167,167
2022-08-28,165,170,159,161
2022-09-04,160,167,155,160
2022-09-11,160,169,156,169
2022-09-18,167,171,144,146
2022-09-25,145,149,138,140
2022-10-02,140,142,134,135
2022-10-09,137,142,132,133
2022-10-16,133,136,122,126
2022-10-23,130,137,125,130
2022-10-30,127,138,96,99
2022-11-06,98,99,88,90
2022-11-13,94,114,93,113
2022-11-20,110,118,109,112
2022-11-27,111,112,108,111
2022-12-04,110,124,108,123
2022-12-11,121,124,112,115
2022-12-18,115,124,113,119
2022-12-25,116,120,112,118
2023-01-01,117,121,115,120
2023-01-08,122,130,122,130
2023-01-15,131,137,127,136
2023-01-22,136,139,132,139
2023-01-29,139,153,138,151
2023-02-05,149,197,146,186
2023-02-12,186,193,173,174
2023-02-19,178,181,169,172
2023-02-26,174,178,167,170
2023-03-05,171,186,169,185
2023-03-12,188,190,178,179
2023-03-19,177,205,174,195
2023-03-26,198,207,193,206
2023-04-02,204,212,197,211
2023-04-09,208,216,208,216
2023-04-16,214,222,210,221
2023-04-23,219,220,209,212
2023-04-30,213,241,207,240
2023-05-07,238,244,229,232
2023-05-14,231,238,230,233
2023-05-21,236,248,235,245
2023-05-28,245,262,244,262
2023-06-04,265,275,258,272
2023-06-11,270,276,258,264
2023-06-18,267,287,265,281
2023-06-25,278,289,276,288
2023-07-02,288,289,277,286
2023-07-09,286,298,284,290
2023-07-16,295,316,287,308
2023-07-23,307,318,291,294
2023-07-30,295,326,288,325
2023-08-06,323,325,309,310
2023-08-13,313,317,300,301
2023-08-20,300,307,274,283
2023-08-27,283,299,276,285
2023-09-03,288,301,285,296
2023-09-10,297,307,292,297
2023-09-17,301,312,298,300
2023-09-24,298,308,293,299
2023-10-01,295,310,286,300
2023-10-08,302,316,298,315
2023-10-15,312,330,311,314
2023-10-22,318,325,306,308
2023-10-29,309,318,279,296
2023-11-05,299,318,296,314
2023-11-12,315,329,314,328
2023-11-19,326,338,325,335
2023-11-26,334,342,334,338
2023-12-03,336,339,320,324
2023-12-10,317,333,313,332
2023-12-17,329,338,320,334
2023-12-24,337,357,337,353
2023-12-31,354,361,351,353
