Date,Open,High,Low,Close
2022-01-09,335,338,310,314
2022-01-16,309,323,303,310
2022-01-23,304,313,295,296
2022-01-30,292,308,276,308
2022-02-06,308,315,299,305
2022-02-13,306,311,294,295
2022-02-20,293,300,286,287
2022-02-27,285,297,271,297
2022-03-06,294,303,287,289
2022-03-13,288,289,270,280
2022-03-20,280,301,275,300
2022-03-27,298,305,294,303
2022-04-03,304,315,304,309
2022-04-10,310,315,296,296
2022-04-17,291,292,279,279
2022-04-24,278,293,273,274
2022-05-01,273,290,270,277
2022-05-08,277,290,271,274
2022-05-15,270,273,250,261
2022-05-22,259,268,246,252
2022-05-29,255,273,253,273
2022-06-05,272,277,261,270
2022-06-12,272,274,252,252
2022-06-19,245,255,241,247
2022-06-26,250,267,249,267
2022-07-03,268,268,252,259
2022-07-10,256,269,254,267
2022-07-17,265,266,245,256
2022-07-24,259,265,253,260
2022-07-31,261,282,249,280
2022-08-07,277,283,272,282
2022-08-14,284,291,277,291
2022-08-21,291,294,285,286
2022-08-28,282,282,267,268
2022-09-04,265,267,254,256
2022-09-11,256,265,251,264
2022-09-18,265,267,242,244
2022-09-25,242,247,235,237
2022-10-02,237,242,232,232
2022-10-09,235,250,233,234
2022-10-16,233,237,219,228
2022-10-23,235,243,234,242
2022-10-30,243,251,225,235
2022-11-06,233,235,213,221
2022-11-13,221,247,221,247
2022-11-20,241,247,237,241
2022-11-27,241,248,240,247
2022-12-04,246,256,238,255
2022-12-11,252,253,242,245
2022-12-18,247,263,243,244
2022-12-25,244,245,233,238
2023-01-01,238,241,234,239
2023-01-08,243,245,219,224
2023-01-15,226,239,226,239
2023-01-22,237,242,230,240
2023-01-29,241,249,230,248
2023-02-05,244,264,242,258
2023-02-12,257,276,254,263
2023-02-19,267,274,256,258
2023-02-26,254,256,248,249
2023-03-05,252,255,245,255
2023-03-12,256,260,247,248
2023-03-19,247,283,245,279
2023-03-26,276,281,269,280
2023-04-02,280,289,272,288
2023-04-09,286,292,282,291
2023-04-16,289,289,281,286
2023-04-23,289,291,283,285
2023-04-30,282,308,275,307
2023-05-07,306,311,303,310
2023-05-14,310,313,306,308
2023-05-21,309,319,307,318
2023-05-28,318,333,312,332
2023-06-04,335,337,324,335
2023-06-11,335,338,322,326
2023-06-18,328,351,325,342
2023-06-25,339,342,332,335
2023-07-02,333,342,328,340
2023-07-09,339,342,334,337
2023-07-16,334,351,327,345
2023-07-23,345,366,339,343
2023-07-30,345,351,329,338
2023-08-06,336,338,325,327
2023-08-13,328,331,319,321
2023-08-20,321,325,311,316
2023-08-27,317,332,317,322
2023-09-03,325,331,321,328
2023-09-10,329,336,328,334
2023-09-17,337,340,329,330
2023-09-24,327,330,315,317
2023-10-01,316,319,309,315
2023-10-08,316,329,311,327
2023-10-15,324,333,323,327
2023-10-22,331,336,325,326
2023-10-29,325,346,324,329
2023-11-05,333,354,331,352
2023-11-12,353,370,353,369
2023-11-19,368,376,365,369
2023-11-26,371,379,371,377
2023-12-03,376,384,371,374
2023-12-10,369,374,362,374
2023-12-17,368,377,364,370
2023-12-24,369,376,368,374
2023-12-31,375,377,372,376
