Date,Open,High,Low,Close
2022-01-09,29,30,27,27
2022-01-16,26,28,25,26
2022-01-23,26,26,23,23
2022-01-30,22,24,20,22
2022-02-06,23,25,23,24
2022-02-13,24,26,23,23
2022-02-20,23,26,23,23
2022-02-27,23,24,20,24
2022-03-06,23,24,22,22
2022-03-13,22,23,20,22
2022-03-20,21,26,21,26
2022-03-27,26,28,25,27
2022-04-03,27,28,26,26
2022-04-10,26,27,23,23
2022-04-17,22,22,21,21
2022-04-24,21,22,19,19
2022-05-01,19,20,18,18
2022-05-08,18,20,17,18
2022-05-15,18,18,15,17
2022-05-22,17,18,15,16
2022-05-29,16,18,15,18
2022-06-05,18,19,18,18
2022-06-12,19,19,16,16
2022-06-19,16,16,15,15
2022-06-26,16,17,15,17
2022-07-03,17,17,14,14
2022-07-10,14,16,14,15
2022-07-17,15,15,14,15
2022-07-24,16,18,16,17
2022-07-31,17,18,16,18
2022-08-07,18,19,17,18
2022-08-14,17,18,16,18
2022-08-21,18,19,17,17
2022-08-28,17,17,16,16
2022-09-04,16,16,13,13
2022-09-11,13,14,13,14
2022-09-18,14,14,12,13
2022-09-25,13,14,12,12
2022-10-02,12,12,11,12
2022-10-09,12,13,12,12
2022-10-16,12,12,10,11
2022-10-23,11,12,11,12
2022-10-30,12,13,12,13
2022-11-06,13,14,12,14
2022-11-13,14,16,13,16
2022-11-20,16,16,15,15
2022-11-27,15,16,15,16
2022-12-04,16,17,15,16
2022-12-11,16,17,15,17
2022-12-18,17,18,16,16
2022-12-25,16,16,14,15
2023-01-01,15,15,13,14
2023-01-08,14,15,14,14
2023-01-15,15,16,15,16
2023-01-22,16,17,16,17
2023-01-29,18,20,17,20
2023-02-05,19,21,18,21
2023-02-12,20,23,20,21
2023-02-19,21,23,20,21
2023-02-26,21,23,20,23
2023-03-05,23,23,22,23
2023-03-12,23,24,22,22
2023-03-19,22,26,22,25
2023-03-26,25,27,25,26
2023-04-02,26,27,25,27
2023-04-09,27,28,26,27
2023-04-16,26,27,26,26
2023-04-23,26,28,26,27
2023-04-30,27,27,26,27
2023-05-07,27,29,27,28
2023-05-14,28,29,28,28
2023-05-21,28,31,28,31
2023-05-28,30,39,29,38
2023-06-04,40,41,37,39
2023-06-11,38,39,37,38
2023-06-18,39,43,38,42
2023-06-25,42,43,42,42
2023-07-02,42,42,40,42
2023-07-09,42,43,41,42
2023-07-16,42,48,41,45
2023-07-23,46,47,44,44
2023-07-30,44,47,44,46
2023-08-06,46,47,43,44
2023-08-13,45,45,40,40
2023-08-20,40,45,40,43
2023-08-27,44,50,44,46
2023-09-03,46,49,44,48
2023-09-10,48,48,45,45
2023-09-17,46,46,43,43
2023-09-24,42,44,40,41
2023-10-01,41,44,41,43
2023-10-08,44,45,43,45
2023-10-15,44,47,44,45
2023-10-22,45,46,41,41
2023-10-29,41,43,39,40
2023-11-05,41,45,39,45
2023-11-12,45,48,44,48
2023-11-19,48,49,48,49
2023-11-26,49,50,47,47
2023-12-03,47,48,46,46
2023-12-10,46,47,45,47
2023-12-17,47,49,45,48
2023-12-24,49,50,48,48
2023-12-31,48,49,48,49
