Date,Open,High,Low,Close
2022-01-09,259,271,254,257
2022-01-16,252,259,242,245
2022-01-23,238,243,231,232
2022-01-30,227,232,220,226
2022-02-06,225,239,225,230
2022-02-13,225,234,216,218
2022-02-20,217,226,216,220
2022-02-27,217,221,204,213
2022-03-06,212,218,196,198
2022-03-13,195,199,178,190
2022-03-20,194,210,192,209
2022-03-27,210,214,205,213
2022-04-03,215,225,213,221
2022-04-10,229,232,216,219
2022-04-17,219,226,218,219
2022-04-24,219,225,210,210
2022-05-01,209,215,204,209
2022-05-08,209,215,194,197
2022-05-15,192,196,183,193
2022-05-22,192,193,181,189
2022-05-29,188,201,186,201
2022-06-05,195,198,187,189
2022-06-12,192,194,180,181
2022-06-19,174,180,167,176
2022-06-26,183,192,181,191
2022-07-03,188,189,179,187
2022-07-10,185,194,184,193
2022-07-17,192,195,185,193
2022-07-24,198,204,194,200
2022-07-31,203,211,194,211
2022-08-07,213,217,210,211
2022-08-14,213,216,210,215
2022-08-21,214,215,205,207
2022-08-28,202,207,197,197
2022-09-04,198,200,190,191
2022-09-11,188,197,187,195
2022-09-18,200,202,195,196
2022-09-25,194,198,183,186
2022-10-02,187,191,183,185
2022-10-09,183,196,182,185
2022-10-16,184,186,176,180
2022-10-23,186,193,184,188
2022-10-30,189,199,189,198
2022-11-06,196,203,188,199
2022-11-13,200,218,198,216
2022-11-20,215,216,210,216
2022-11-27,214,218,213,218
2022-12-04,218,228,215,226
2022-12-11,226,227,218,220
2022-12-18,222,230,218,218
2022-12-25,218,218,209,211
2023-01-01,211,216,210,214
2023-01-08,216,224,213,224
2023-01-15,230,237,228,235
2023-01-22,237,242,236,242
2023-01-29,241,256,241,253
2023-02-05,253,270,246,260
2023-02-12,260,270,256,259
2023-02-19,261,268,260,266
2023-02-26,263,264,257,259
2023-03-05,260,273,258,271
2023-03-12,273,274,259,261
2023-03-19,258,265,252,259
2023-03-26,262,271,260,265
2023-04-02,268,272,264,270
2023-04-09,270,275,268,271
2023-04-16,270,286,270,285
2023-04-23,280,281,272,278
2023-04-30,278,280,274,278
2023-05-07,279,297,273,296
2023-05-14,297,297,290,296
2023-05-21,295,299,292,298
2023-05-28,298,302,283,290
2023-06-04,292,300,283,298
2023-06-11,298,299,294,297
2023-06-18,300,309,299,308
2023-06-25,306,309,305,307
2023-07-02,307,327,305,325
2023-07-09,325,326,311,314
2023-07-16,314,329,314,328
2023-07-23,328,329,317,318
2023-07-30,317,323,313,321
2023-08-06,322,322,311,311
2023-08-13,312,318,307,311
2023-08-20,310,317,301,305
2023-08-27,312,313,307,311
2023-09-03,312,322,305,308
2023-09-10,307,307,296,297
2023-09-17,298,306,297,300
2023-09-24,300,307,288,288
2023-10-01,287,300,285,295
2023-10-08,295,305,293,305
2023-10-15,300,314,297,312
2023-10-22,312,317,300,301
2023-10-29,300,305,296,298
2023-11-05,300,332,298,331
2023-11-12,333,340,330,339
2023-11-19,338,359,338,359
2023-11-26,361,368,360,367
2023-12-03,367,369,355,356
2023-12-10,354,368,353,366
2023-12-17,369,372,354,354
2023-12-24,346,349,334,334
2023-12-31,334,340,334,338
